Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Colombia,,,,1,1.2,1.4,1.6,1.8,1.6,1.9,2,2.4,2.4,2.1,2.7,1.9,3,3,2.9,2.9,2.9333,2.9667,3,3.35,3.7,3.2,3.5,3.3,3.3143,3.3286,3.3429,3.3571,3.3714,3.3857,3.4,3.9,4,4.4,3.8,4.4,3.7,4.4,4.2,4,4.2,4,4.1,4.4,3.9,4.7,4.3,4.1,4.8,4.3,4.2,4.2,4.3,4.6,4.3,4.3,4.4,4.3,,
"Costa Rica",,,,,,,,,,,,3.1,4.5,4.5,5.1,3.8,3.3,2.3,4.5,2.1,3.3,2.8,3.1,3.8,4.7,5.4,3.6,5,5.8,4,4.2,4.6,5.4,3.9,4.45,5,5.1,6.1,4.5,6.2,5.7,4.6,4.9,4.5,5.6,4.7,4.4,4.9,4.6,4.2,4.6,5.8,4.5,5.2,5.1,3.9,4.8,4,3.9,3.8,5.1,4.4,4.1,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,7.1,5.2,4.9,5.4,6.2,4.8,5.3,5.8,5.2,6,4.6,5,5.6,5.7,5.2,5.2,5.3,6,5.5,5.5,5.6,4.9,5.3,5,5.6,4.8,4.9,5.5
Cuba,,,,,,,,,,,,,,,4.9,5.025,5.15,5.275,5.4,4.8,5.1,4.6,4.3,4.5,5.5,4.5,4.9,4.4,4.7,4.5,4.7,5.3,4.8,4.9,4.4,4.8,4.8,5,4.3,4.8,4.6,4.4,4.5,4.5,4.8,4.5,4.5,4.4,5,4.5,4.2,4.1,4.5,4.5,4.2,4.6,4.1,3.8,4,4.2,4.5,3.9,4.1,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,7.1,6.9,7.1,7.8,7.7,7.3,6.3,7.3,6.9,7.1,6.6,7.1,7.3,7.2,6.4,6.3,6.5,6.6,6,5.7,5.1,5.5,5,4.9,4.9,5.1,5.4
Czechoslovakia,,,,4.9,4.8,4.6,5.8,6,5.8,6.3,5.8,5.9,6.1,6.2,6.2,6.8,6.8,6.1,6.8,6.8,6.6,6.9,6.4,6.5,7.3,6.5,7.3,6.8,7.1,7.6,7.1,7.1,6.9,6.2,6.8,6.5,6.8,6.6,6.6,6.6,7.1,6.8,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,7.1,6.8,6.8,7.2,7.4,7.8,7.8,8.7,7.7,8.8,8,8,9,8.2,8.4,8,7.4,7.1,7.2,8.1,8,6.8,6.5,6.7,6.9,7.2,6.4,7.6,7,6.7,7.1,7.7,6.6,7.3,7.1,7.1,7,6.9,6.9,6.4,6.2,6.4,6.5,6.1,5.3,5.6,6,6.3,5.6,5.4,5.4,4.7,5.2,5.1,4.7,5.8,5,4.2,4.6,5.5,4.1,
"Dominican Republic",,,,,,,,,,,,,,,,0.6,0.7,1.2,1.2,1,1.3,0.9,1.2,1.6,1.7,1.4,1.7,1.7,1.7,1.2,1.4,2.4,2,2.3,2.3,2.2,1.6,1.7,1.8,1.9,2,1.7,1.5,1.35,1.2,1.5,1.6,2.4,1.5,2.6,1.9,1.8,1.9,2,2.1,2.2,1.7,1.5,1.65,1.8,1.5,2.1,,
Ecuador,,,,,,,,,,,,,,,,,,,2.1,2,2.6,1.8,1.4,2.5,2,2.5,2.35,2.2,2.6,2.1,2.8,2.8,3.5,3.2,3.1,3.3,3.4,3.6,3.7,3.2,4,3.5,3.6,3.8,3.2,3.5,3.3,3.8,3.6,3.5,4,4,3.5,3.5,3.8,4.6,3.5,3.2,3.7,3.6,3.8,3.6,3.8,
Egypt,,,,,,0.8,0.8,0.6,0.9,0.9,0.8,1.1,1.1,1.1474,1.1947,1.2421,1.2895,1.3368,1.3842,1.4316,1.4789,1.5263,1.5737,1.6211,1.6684,1.7158,1.7632,1.8105,1.8579,1.9053,1.9526,2,2.0474,2.0947,2.1421,2.1895,2.2368,2.2842,2.3316,2.3789,2.4263,2.4737,2.5211,2.5684,2.6158,2.6632,2.7105,2.7579,2.8053,2.8526,2.9,3.8,4.4,4.5,4.5,4.2,4.3,4.1,4.5,4.6,4.3,4.5,,
