Country,2013,2014,2015,2016,2017
Albania,3.736204,3.557951398,3.203821841,2.759165347,2.73119092
Algeria,3.643963,3.540837405,3.357684091,3.352650752,3.392794132
Angola,3.942857,3.527076872,,,
Argentina,2.103496,1.97831607,1.932626593,2.128840164,2.097489119
Armenia,3.503626,3.314631747,3.521602673,3.926721107,3.731838703
Australia,3.657909,3.659830629,3.398013714,3.297408972,3.327465057
Austria,3.858289,3.642798931,3.054300869,2.89904804,2.870533705
Azerbaijan,3.731963,3.55889403,3.55889403,3.887776756,4.363525867
Bahrain,6.387097,6.493488492,6.57993059,6.075305682,6.075305462
Bangladesh,3.562515,3.493171866,3.503744562,3.710860626,3.923982143
Barbados,3.818729,3.669426321,3.5308,3.392132456,
Belgium,3.251117,3.063303117,3.009909474,3.279364456,3.21336937
Benin,2.500681,2.4852,2.469696999,2.711363697,2.554411173
Bhutan,3.920369,3.978272103,3.849096471,3.777385918,3.83037591
Bolivia,3.669409,3.617857113,3.455353467,3.188184159,
"Bosnia and Herzegovina",3.07369685,2.9618,2.849999905,2.892075047,2.559659243
Botswana,4.707736,4.718857848,4.620317863,4.499240519,4.455487728
Brazil,2.5306,2.421860694,2.026743232,1.830149473,1.818799734
Brunei,5.706032,5.4245,5.143,4.86153841,4.552693367
Bulgaria,3.362511,3.565324308,3.790472842,4.017893575,3.771274805
"Burkina Faso",3.04754,3.143209055,,,
Burundi,2.613706,2.628343898,2.628343898,2.898953544,3.030834675
Cambodia,4.394397,4.09369793,3.682278346,3.685289528,3.781102657
Cameroon,3.066769,3.358071258,3.246961704,3.162454007,3.110598803
Canada,4.393415,4.364196116,4.134347281,3.937435063,3.936223984
"Cape Verde",3.255431,3.166986174,2.924930486,2.916025627,3.11716795
Chad,1.940679,2.404765688,2.632583355,2.629087836,2.696106195
Chile,4.697142,4.233169647,3.715420825,3.674554546,3.522957802
China,4.115462,3.979200537,3.82375142,4.129271508,4.419476032
Colombia,3.17373,3.006302529,2.677489519,2.593642991,2.50861764
"Congo (Kinshasa)",,,,3.242105246,2.932581186
"Costa Rica",3.739946,3.79096632,3.302450072,2.977630657,3.196820021
"Ivory Coast",2.775401,3.352454297,3.293497676,2.925032308,
Croatia,2.329396,2.125662716,2.363109887,2.547986119,2.719045639
Cyprus,4.234761,4.4350021,4.660870567,4.649324274,5.006330013
