Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bahrain,,42.34658813,46.22533035,48.51327133,53.34690857,56.9701004,59.14561081,59.84069824,63.24343872,63.31293869,54.20127106,57.60015106,64.53827667,77.78282928,81.44895172,88.61154175,95.11296082,92.19101715,90.3972702,90.7675705,87.95175171,101.5655289,101.95858,105.2279587,108.2140884,108.2371674,106.8070984,101.2492981,99.43092346,97.83731842,99.95474243,101.4917297,99.88993073,99.91108704,100.6110306,101.4538269,101.1398392,98.3319,95.52394104,94.2338562,93.49665833,94.19786072,92.55647278,97.32772827,99.32642365,101.887352,
Bangladesh,,,,10.39947033,9.8065,9.2135,8.620550156,7.308869839,7.0634,6.817880154,8.956999779,6.200960159,8.0974,9.9938,11.89021969,11.51002979,12.61456966,12.71053982,12.96949959,13.14795017,13.68649006,17.2592,20.832,24.4047,27.9775,31.5502,35.1229,38.6957,42.2684288,46.4895401,48.80947876,51.33612823,52.96965027,52.72314835,47.45389175,46.99835968,47.39469147,48.1115799,47.58797073,50.4108696,53.08454895,54.53005981,57.04294968,60.6505394,64.0329,67.4152298,
Barbados,,78.8348465,80.21195984,80.4118576,76.29846954,82.41079712,83.08161926,83.61784363,88.59913635,89.58654022,95.84542847,88.39312744,89.48584747,88.56997681,89.91618347,92.72097015,91.9948,91.2687,90.5425,89.81635284,81.09957886,84.2907,87.4817,90.6728,93.8639,97.055,100.2461,103.4371,106.6282,109.8192978,105.5672226,103.7115326,104.370697,106.0140381,107.9734573,107.967308,107.0216675,106.0195236,105.7533112,104.076088,102.1566772,105.5288696,107.2462,108.9636,110.6809769,,
Belarus,,91.63233185,90.62358093,90.9416275,92.25232697,94.23242188,98.42868042,97.90778351,97.94638062,98.46296692,99.0267334,99.3971,99.7674,100.1378,100.5081,100.8784,101.2488,101.6191101,101.1399307,100.3971634,98.90648651,97.5195,96.1325,94.7455,93.3585,91.9715,90.5845,89.1975,87.81047821,89.9333,92.0561,94.179,96.3018,98.4246,100.5474,102.6703,104.7931,106.9159,109.0387497,107.7719727,105.2677231,104.485672,105.0755005,104.9513397,106.0989532,106.3973618,
Belgium,,79.78829193,81.02925873,81.68785858,82.13169861,82.15518951,82.22174072,84.69470215,87.55957031,89.21888733,90.89720917,92.80760956,94.67234039,95.48812103,97.74018097,100.3134384,101.4810028,101.8494873,102.7016525,103.1198425,103.4514313,103.3690872,103.8805771,145.9742432,148.7692261,151.3207855,150.6469727,149.2533,147.8597,146.466095,151.7825623,162.072464,164.7676697,166.7538757,106.0678635,106.5007935,106.7410889,105.9365082,104.7141113,104.1794891,104.2077713,104.7705383,104.9207764,173.7373352,175.3804932,177.7003632,
Belize,,,,,,,,,,,,,,,,,59.47080994,61.44739151,61.6573,61.8673,62.0772,62.28718948,64.4482,66.6091,68.7700882,68.11779022,67.6679,67.2179,66.768,66.31804657,69.77568054,72.35967255,75.461,78.56227875,80.72995758,77.72489166,78.43299103,77.43476868,77.30966187,76.87882996,78.2303772,78.42185974,79.51400757,81.80033112,81.70604706,81.79057312,
Benin,,2.565710068,3.21,3.854249954,4.35529995,5.372650146,5.1966,5.020549774,5.7405,6.4605,7.1805,7.9004,8.6204,9.3404,10.0603,10.78028965,9.037139893,8.445090294,8.8184,9.1918,9.5651,9.9385,10.3119,10.6852,11.0586,11.4319,11.8053,12.1786,12.552,12.92531967,13.3584404,14.77071953,15.99145985,16.66966057,17.88108063,20.4872,23.0934,25.6995,28.3057,30.9118,33.518,36.12411118,39.5256,42.92699814,43.85776138,46.81417847,
Bermuda,,88.15129089,80.46234131,91.45764923,86.14779663,88.02816772,87.82274628,98.35260773,97.04836273,95.84092712,100.9128876,100.0059,99.0989,98.1919,97.2849,96.3779,95.4709,94.5639,93.6569,92.7499,91.8429,90.936,90.029,89.122,88.215,87.308,86.401,85.494,84.587,83.68,82.773,81.86601257,81.31488037,83.89975739,87.35434723,85.94072723,81.01045227,82.096,83.1815,84.2671,85.35262299,83.46627808,81.07129669,80.05780029,77.43331146,75.53076935,
Bhutan,0.161980003,0.406159997,0.495510012,0.7473,0.99901998,1.0853,1.1716,1.25793004,1.6928,2.1277,2.5626,2.9975,3.4324,3.867239952,4.224999905,5.4049,6.5847,7.7646,8.9444,10.1243,11.3041,12.484,13.6638,14.8437,16.0235,17.2034,18.3832,19.5631,20.74291039,23.62068939,26.93280983,30.44153023,33.5768,36.7121,39.8473,42.9826088,46.52425003,51.12081909,54.99090958,61.78718185,66.65628052,71.01908112,75.77340698,79.90200806,87.05632782,,
Bolivia,,22.68522072,24.3047,25.9241,27.5436,29.163,30.7825,32.402,34.0214,35.6409,37.2603,38.8798,40.4992,42.1187,43.7382,45.3576,46.9771,48.5965,50.216,51.8354,53.4549,55.0744,56.6938,58.3133,59.9327,61.5522,63.1716,64.7911,66.41055298,71.87539673,68.0313797,71.46690369,76.56971741,79.54727173,82.72736359,84.3270874,84.2315979,84.39040375,84.34040833,83.3602829,82.61109161,82.12786865,82.6411972,84.37351227,84.9471283,85.68833923,
Botswana,5.679279804,6.800630093,7.577539921,11.16687012,13.16020966,15.13568974,17.21565056,18.80798912,18.93096924,19.27269936,20.19285011,22.52181053,22.5425,22.56310081,26.5655899,29.81594086,31.19698906,31.81468964,31.3913002,37.50336075,41.86970901,51.97365952,50.93231964,54.72225952,52.58177185,59.62911987,64.9365,70.2439,75.55136108,75.97210693,77.62935638,76.58798218,77.80168152,78.35462952,79.57256317,79.73445129,82.72438812,83.64290619,80.28118896,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.1203995,107.3284378,107.3514404,106.2145386,103.5263,100.83815,102.6016083,102.1236267,100.9889,99.85424042,99.51267242,106.1485291,105.7856674,102.1841583,
Brunei,49.45121002,51.53802109,54.20372009,54.83784866,55.60997009,58.0914917,61.06272125,59.71871948,60.4348793,61.68415833,62.7999115,63.98497009,65.66181946,68.9457016,67.36257935,68.8587,70.3548,71.8509,73.347,74.8431,76.3392,77.83527374,78.89739227,80.05010223,79.56526184,80.8721,82.1789,83.4858,84.79257965,88.32717896,87.99198914,87.64093018,88.31355286,90.29157257,94.45839691,98.04675293,99.55612946,97.69880676,97.14163971,98.74810028,99.65058899,100.8855896,106.4367371,105.4968567,99.10092163,96.28240204,
Bulgaria,,89.60578156,90.92694092,92.26078796,94.00492859,95.69364929,90.04382324,93.66471863,91.34764099,88.58180237,88.9167099,89.93907166,90.81713104,91.62513733,91.92897034,93.17253876,98.84207153,99.92401886,101.67836,102.13797,98.94268799,98.12866974,96.35501862,93.20545197,90.30004883,92.08409882,92.70113373,92.44970703,91.13899231,91.05274963,91.53209686,92.54621887,94.11856079,85.77174377,87.52918243,88.4061203,89.3766098,89.69117737,89.04165649,87.85047913,88.31575012,90.76320648,91.06906891,96.47841644,99.04419708,97.38796234,
"Burkina Faso",,0.727779984,0.737020016,0.83288002,0.988170028,1.060220003,1.113790035,1.129240036,1.2704,1.411460042,1.816200018,1.79132998,2.09800005,2.033159971,2.226560116,2.692939997,3.067430019,3.4223,3.7771,4.1319,4.4867,4.8415,5.1964,5.5512,5.906000137,6.2157,6.5254,6.8351,7.1448,7.454529762,8.234869957,8.45386982,9.1182,9.78260994,10.84370041,11.82252026,12.60505962,13.63881016,16.06675911,17.27607918,18.92724991,20.86515045,23.20274925,25.9647007,28.22839928,32.22486115,
Burundi,,0.716250002,0.785380006,0.712159991,0.993139982,1.270840049,1.39696002,1.481289983,1.538540006,1.626289964,1.672719955,1.885100007,2.297940016,1.99040997,2.143100023,2.477349997,2.612119913,3.044850111,3.250010014,3.653150082,3.971080065,4.259829998,4.626969814,5.229829788,5.5916,5.9533,6.315,6.6767,7.0384,7.4002,7.7619,8.1236,8.4853,8.847040176,9.928099632,10.66991043,11.65297031,12.20925045,14.2253,16.24134064,18.68815041,21.20647049,23.71059036,28.44791985,34.82329941,40.52444077,
