Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,4.9,4.9,4.4333,3.9667,3.5,3.8,1.7,3.5,3.3,3.5,2.7,3.4,3.3,3.3,2.9,3.8,2.3,3.2,2.3,1.1,2,2.4,,,,
Argentina,,,,,,,,,,,,,,,,,4.3,5.3,5.5,5.6,5,5.0286,5.0571,5.0857,5.1143,5.1429,5.1714,5.2,5.2,5.6,5.4,5.2,5,5,5.4,5.1,5,5,5.3,5.3,5.3,5.1,5.1,4.9,5.1,4.6,5,4.8,4.5,4.6,4.5,4.4,4.2,4.2,4.1,4,3.8,3.5,3.5,3.3,3.2,3,2.9,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,3.8,4.3333,4.8667,5.4,4.4,5.4,5.1,5.9,5.9,7.1,7.9,7.1,6.7,7.2,7.2,5.7,5.9,6.9,5.7,5.7,6.4,4.8,5.2667,5.7333,6.2,6.05,5.9,5.2,4.7,4.5,5.3,
Australia,2.3,1.9,1.6,1.8,1.6,1.5,1.8,1.7,1.9,1.8,1.8,1.7,1.8,1.8,2,1.6,2,2.1,2,1.9,2,1.8,1.9,1.8,2.5,2.3,2.3,2.2,2.3,2.1,2,2.4,2,2.1,2.4,2.2,2.1,2.3,1.9,2.1,2.2,2.1,2.2,1.9,1.7,1.7,1.8,1.8,1.4,1.5,1.5,1.5,1.4,1.3,1.2,1.1,1,1.1,1.1,1.1,1.1,0.8,,
Austria,,,,,,3.6,3.2,3.6,3.8,2.9,3.6,3.7,3.7,3.6,3.8,3.9,3.8,4.1,3.2,3.6,3,3.1,3,3.5,3.6,3.6,3.9,3.2,3.6,3.6,3.9,4.2,3.8,3.8,3.3,3.3,4,3.3,3.5,3.7,4.1,3.8,3.4,3.5,3.1,3.3,2.9,2.9,2.8,2.8,2.7,2.6,2.6,2,2.3,1.9,1.7,2,1.6,1.6,1.4,1.5,1.7,1.6
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,6.6,6.1,5.6,5.1,5.2,5.8,5.4,4.9,2.4,2,5,4.4,3.2,3.9,4.1,3.9,5.4,5,2.8,4.7,4.3,3.3,2.7,2.4,2.1,1.8,,,,,,
Barbados,,,,,,,,,,,,1.2,1.6,4.9,3.5,2.45,1.4,1.65,1.9,4.4,0.9,1.7,2.5,3.5,0.6,0.9,2.7,0.9,0.7,1.8,0.5,3.7,3.2,2.3,0.4,2.2,3.5,3.4,3,4.8,3.4,4.3,4.2,4.7,0.6,0.9833,1.3667,1.75,2.1333,2.5167,2.9,0.5,0.85,1.2,1.9,0.5,3.4,0.3,0.8,2.2,1.4,2.8,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,5,5.6667,6.3333,7,6.2,7.3,6.8,8.1,7.6,8,9,9,9.7,9.4,9.6,9.8,10.6,9.4,8.2,9.2,8.7,7.7,7.425,7.15,6.875,6.6,5.9,5.5,5.5,5.5,,
Belgium,,,,,3.4,3.2,3.6,3.2,3.8,4.3,4,3.7,4.4,4.6,4.3,4.3,5.1,5.7,4.9,4.4,4.7,4.8,4.1,4.8,4.2,4.7,4.6,4.6,4.9,4.6,4.1,4.7,4.8,4.1,5,4.7,4.6,4.7,4.7,5.5,4.4,4.4,4.3,4,4,4.1,3.9,3.9,3.4,3,3.2,2.7,2.7,2.8,2.6,2.4,2.3,2,1.8,2,1.8,1.6,1.6,
Belize,,,,,,,,,,,,,,,3.5,3.41,3.32,3.23,3.14,3.05,2.96,2.87,2.78,2.69,2.6,2.6,2.7,2.8,2.9571,3.1143,3.2714,3.4286,3.5857,3.7429,3.9,3.1333,2.3667,1.6,2.4333,3.2667,4.1,3.56,3.02,2.48,1.94,1.4,1.9,2.4,2.9,3.5,4.1,3.45,2.8,1.5,1,1.4,3.2,2.4,5.3,4.85,4.4,2.9,3.8,
