Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Israel,-2.9,-2.7,-0.847,-2.8,-5.13,-4.095,-4.009,-4.662,-3.18,-3.55
Italy,-4.1,-4.4,-1.9,-2.734,-3.937,-4.598,-3.946,-3.03,-3.033,-3.035
Jamaica,-3.4,-5.4,-5.5,-4.5,-10.8,-5.759,-6.516,-3.991,0.059,-0.449
Japan,-4.8,-4.3,-3.385,-5.552,-11.4,-9.5,-10.069,-10.176,-8.361,-7.682
Jordan,-5.3,-4.4,-5.4,-4.9,-11.8,-5.359,-6.172,-8.169,-5.261,-10.011
Kazakhstan,5.3,6.4,3.7438,1.087571509,-2.01727,1.509,5.753,4.679,4.953,1.928
Kenya,0.1,-3.5,-1.7,-6.1,-5.4,-6.177,-4.149,-5.273,-6.159,-6.782
"South Korea",1.9,1.8,2.738,1.115,1.745,2.375,2.323,1.912,0.996,0.308
Kuwait,36.9,25.7,43.8,25.8,18.9,17.495,31.04,30.62,28.929,25.517
Kyrgyzstan,-3.9,-2,-0.4,0.636975794,-3.84603,-6.071,-4.785,-5.82,-3.756,0.234
Laos,,,,,,,,-2.468,-4.678,-3.849
Latvia,-0.22,0.42,-1.7727,-3.965362885,-8.93214,-7.894,-3.412,0.135,-1.33,-1.662
Lebanon,,,,,-12.3,-7.168,-5.572,-8.96,-9.45,-7.146
Lesotho,4.2,2.7,7.7,10.8,-4.1,-8.126,-10.459,5.857,3.015,-2.354
Liberia,,,,,,,-3.388,-0.478,-2.4825,-4.487
Libya,,42.1,40.2,34.5,9.6,7.905,6.21,20.861,1.607,
Lithuania,-0.5,-0.3,-1.2,-3.218881013,-8.88988,-7.554,-5.237,-2.967,-2.096,-0.737
Luxembourg,-1,-1.4,1.135,1.39,-0.735442527,-1.671,-0.718,-1.906,0.012,0.5
"Macedonia (F.Y.R.O.M.)",0.3,-0.6,0.6,-1.404776239,-2.85085,-2.488,-2.554,-3.843,-3.978,-4.209
Madagascar,-4.7,-4.7,-3.5,-4.5,-2.3,-1.132,-1.591,-3.061,-1.544,-2.424
Malawi,,,-1.5,-2.7,-5.4,-1.1,-7.894,-4.648,-6.66,-5.76
Malaysia,-3.8,-3.498,-3.22,-4.7,-7,-5.064,-5.051,-4.287,-4.628,-3.679
Mali,-3.2,-1.7,-1,-5.4,-4.7,-1.919,-1.326,-1.136,-2.659,-3.967
Malta,-3.1,-2.55,-2.7,-4.146,-3.075,-3.818,-2.957,-2.981,-2.894,-2.242
