Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,1.3,1.7,2.1,2.5,,,,,,,
Albania,3.3,3.4,3.5,3.8,4.1,4.4,4.2,3.9566,3.713244868,4.004339201,3.822348334
Algeria,4.1,4.2,4,3.7,4.3,4,3.7,4.1,4.079481083,4.109449776,4.160348855
Andorra,,,,7.6,,,,,,,
Angola,2.9,3,2.9,2.9,3,3.2,3.0157,2.8314,2.647070103,,
Anguilla,,,,7.8,,,,,,,
"Antigua and Barbuda",,,,7.8,,,,,,,
Argentina,4.3,4.4,4.4,4.4,4.7,4.6,4.6,4.4,3.998160931,4.122169843,4.56832971
Armenia,3.6,3.6,3.7,3.8,3.9,4.4,4.6,4.4303,4.260678981,4.203203337,4.126095139
Aruba,,,,7.4,,,,,,,
Australia,8.2,8.1,8.1,8.2,8,7.8,7.9,7.8,7.713877092,7.931164831,8.243531535
Austria,8,8,8.1,8.2,7.9,7.8,7.8,7.8,7.554122657,7.5912088,8.012189422
Azerbaijan,3.5,3.3,3.4,4,4,4.4,4.5,4.2937,4.087458267,4.080067151,3.94634845
Bahamas,,,,7.6,,,,,,,
Bahrain,5.2,5.1,5.8,6.2,6,6.7,6.5,6.1588,5.817636752,5.971460496,6.156837914
Bangladesh,2.6,2.6,2.6,2.9,3.6,3.6,3.5,3.4,2.564153229,2.777380374,3.117020621
Barbados,6.7,6.6667,6.6333,6.6,,,,,,,
Belarus,3.7,4.6333,5.5667,6.5,,,,,,,
Belgium,7.4,7.4,7.5,7.5,7.5,7.5,7.5,7.5,7.364052373,7.453703534,7.838800838
Belize,,,,6.2,,,,,,,
Benin,4.6,4.6,4.7,4.6,4.7,5.1,5,4.8,4.654,4.50796511,4.582626977
Bermuda,,,,7,,,,,,,
Bhutan,,,,7.2,,,,,,,
Bolivia,3.5,3.6,3.6,3.4,3.9,4.4,4.7,4.5,4.245465348,4.116803367,3.970600059
"Bosnia and Herzegovina",3.3,3.4,3.3,3.6,3.7,4.3,4.4,4.3072,4.2144,4.12167104,3.916924645
Botswana,6.2,5.8,5.8,6,6.3,6.3,6.3,6.3,5.926130026,5.932470426,6.125847634
Brazil,4.9,4.9,4.9,5.1,5.3,5.5,5.6,5.5,5.098780879,5.144831191,5.433806456
Brunei,,,,4.3,4.6,5.7,5.7,5.4329,5.1658,4.8988,4.631690791
Bulgaria,4.9,4.9,5.1,5.2,5.3,5.4,5.5,5.3,4.934873208,5.018897288,4.81267784
"Burkina Faso",4.8,4.8,4.7,4.6,4.4,5,5.1,4.7,4.143234643,,
"Burma (Myanmar)",1.4,1.3,1.2,1.1,1.3868,1.6736,1.9604,2.2472,2.534003147,2.760192803,
Burundi,3.1,3.1,3.2,3.3,3.2,3.4,3.4,3.6,3.320322294,3.440906078,3.429972441
Cambodia,3.8,3.7333,3.6667,3.6,,,,,,,
Cameroon,3.7,3.8,3.8,3.8,4.2,4.3,4.3,4.3,3.906217,4.048382116,4.293566629
Canada,7.8,7.8,7.9,8,8,8,8,8,7.929171787,8.014555153,8.178866012
"Cape Verde",,,,7,,,,,,,
