Country,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.27000046,19.345,19.42000008,18.72999954,18.78000069,19.18000031,19.54000092,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.14999962,,,,,,,,
Australia,,,,,,,,,,,,,,,11.59000015,15.39000034,15.34000015,15.63000011,15.52999973,15.27000046,15.09000015,15.59000015,14.93000031,14.42000008,14.59000015,14.69999981,14.80000019,14.38000011,14.10000038,14.32999992,13.61999989,13.26000023,13.40999985,13.10000038,13.30000019,12.97000027,12.68000031,12.25,12.59000015,12.60000038,12.64000034
Austria,,,,,,,,,,,,,,,15.39000034,14.68999958,14.18999958,13.76000023,13.85000038,14.07999992,14.27000046,13.28999996,13.10000038,13.09000015,12.51000023,12.26000023,12.10999966,11.51000023,9.859999657,10.39999962,10.52999973,11.47000027,11.10000038,11.14999962,11.21000004,10.68000031,10.47999954,10.55000019,10.52000046,10.38000011,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.369999886,,,,,,,
Belgium,,,,,,,,19.22999954,21.53000069,20.53000069,19.09000015,17.27000046,16.63999939,17.54999924,17.04000092,15.35000038,16.39999962,15.96000004,15.32999992,16.37000084,15.84000015,15.06000042,15.01000023,16.01000023,13.77000046,13.02999973,13.47999954,12.73999977,11.67000008,12.26000023,11.81000042,11.53999996,10.77000046,11.27999973,10.78999996,10.47999954,10.48999977,10.71000004,10.85999966,11.07999992,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,12.89999962,11.64999962,12.14000034,12.35000038,12.55000019,11.06999969,10.05000019,9.399999619,9.819999695,9.819999695,10.09000015,9.399999619,8.81000042,9.069999695,9.329999924,8.819999695,
Canada,8.609999657,8.840000153,9.039999962,9.180000305,9.010000229,8.880000114,9.449999809,9.739999771,9.970000267,10.36999989,9.579999924,9.670000076,9.779999733,9.81000042,9.859999657,10.06000042,10.59000015,11.19999981,11.43999958,11.61999989,12.22999954,13.22000027,13.32999992,12.90999985,12.34000015,11.18999958,11.51000023,11.40999985,11.28999996,11.48999977,11.39999962,11.43999958,11.40999985,11.89000034,11.55000019,11.48999977,11.47999954,11.78999996,11.68999958,11.93000031,11.75
"Costa Rica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.07999992,16.18000031,17.26000023,17.19000053,16.38,15.56999969
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,21.62000084,22.85000038,23.12000084,24.31999969,21.25,19.05999947,19.20000076,19.04999924,21.20999908,21,18.09000015,15.46000004,12.35000038,12.18999958,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,16.46999931,15.97000027,15.88000011,15.69999981,15.68999958,16.05999947,14.82999992,13.17000008,12.86999989,14.02999973,12.98999977,12.06000042,11,11.48999977,12.43000031,11.63000011,
"Czech Republic",,,,,,,,,,,,,,,,,,6.210000038,6.75,8.039999962,7.909999847,7.980000019,9.010000229,9.68999958,9.949999809,10.35999966,10.47000027,11.69999981,11.05000019,10.40999985,10.85999966,10.55000019,10.61999989,11.39999962,12.15999985,12.89000034,13.43999958,13.52000046,12.85000038,12.77999973,
Denmark,,,,,,,,9.840000153,9.199999809,8.56000042,8.149999619,7.820000172,7.019999981,6.960000038,7.190000057,7.090000153,7.190000057,7.019999981,6.980000019,6.239999771,6.070000172,5.909999847,6.329999924,5.96999979,5.730000019,4.699999809,5.170000076,5.739999771,5.150000095,5.400000095,5.789999962,5.309999943,4.980000019,5.409999847,5.590000153,5.449999809,5.559999943,5.590000153,5.53000021,5.360000134,5.940000057
Estonia,,,,,,,,,,,,,,,,,,,,4.769999981,5.019999981,4.960000038,6.230000019,6.510000229,6.320000172,4.239999771,4.300000191,5.349999905,5.420000076,4.880000114,4.760000229,5.5,4.929999828,5.230000019,5.349999905,5.190000057,5.150000095,5.860000134,5.659999847,6.599999905,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,45.18999863,42.785,40.38000107,38.2667,36.1533,34.04000092,43.56000137,,,,,,,,
Finland,,,,,,,,,,,,,,,11.28999996,10.85999966,10.68999958,10.81000042,11.06000042,10.98999977,11.22000027,9.550000191,8.850000381,9.569999695,8.869999886,8.899999619,9,8.75,8.300000191,8.479999542,8.460000038,8.239999771,8.569999695,9.039999962,8.979999542,8.800000191,8.869999886,8.800000191,9.329999924,9.460000038,
France,,,,,,,,15.64999962,15.76000023,14.96000004,14.36999989,13.88000011,13.51000023,12.85000038,12.69999981,12.48999977,12.22999954,11.18999958,11.01000023,10.75,10.02000046,9.760000229,9.220000267,8.930000305,8.279999733,7.929999828,7.699999809,8.130000114,7.769999981,7.429999828,7.769999981,7.380000114,7.349999905,7.309999943,7.590000153,7.769999981,7.659999847,7.71999979,8.149999619,8.210000038,8.430000305
Germany,,,,,,,,13.13000011,13.10000038,11.52999973,11.31999969,10.97999954,10.86999989,10.22000027,9.699999809,7.940000057,8.090000153,8.329999924,8.369999886,8.5,7.989999771,8.119999886,8.159999847,7.78000021,7.829999924,8.520000458,8.289999962,8.25,8.81000042,9.420000076,9.25,9.239999771,8.850000381,8.449999809,8.430000305,8.5,8.350000381,8.109999657,7.989999771,7.75,
Greece,,,,,,,,55.31000137,54.84000015,53.99000168,53.84999847,53.29000092,51.24000168,49.84999847,48.00999832,45.31999969,45.88999939,44.90000153,45.18999863,43.77000046,43.68999863,42.38000107,41.29999924,39.29999924,38.95000076,35.75999832,35.29999924,35.13000107,31.67000008,31.77000046,31.62000084,30.65999985,30.70000076,30.54999924,31.04000092,31.42000008,31.39999962,31.90999985,30.43000031,29.61000061,
Hungary,,,,,,,,,,,,,,,,,16.35000038,13.71000004,13.01000023,12.98999977,12.73999977,12.52999973,11.67000008,11.26000023,10.51000023,10.30000019,10.06999969,9.239999771,10.31999969,9.800000191,9.090000153,9.220000267,8.56000042,9.180000305,8.93999958,8.539999962,8.720000267,8.229999542,7.789999962,7.989999771,
Iceland,,,,,,,,,,,,,,,,12.02000046,11.81999969,10.73999977,10.43999958,10.42000008,10.94999981,11.56999969,11.52000046,11.39999962,11.31999969,9.670000076,9.460000038,7.170000076,8.369999886,7.289999962,7.5,7.460000038,7.139999866,7.349999905,8.279999733,8.340000153,8.420000076,8.170000076,7.849999905,7.440000057,7.480000019
