Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Benin,,,,,,,21.71839,20.02033,21.22472,22.25291,22.59132,21.48669,21.10032,20.44308,20.60276,21.02875,22.78094,22.59314,23.32913,28.01544,26.49917,27.08414,27.4035,27.7229,28.04232,28.99478,29.91627,32.0041,33.67797,36.33993,43.23906,49.13386,43.7292,38.32451,38.63935,33.24214,27.07123,25.06084,26.14969,26.71295,
Bermuda,,,14.41429,14.1122,13.8101,13.508,13.2059,12.9038,12.6017,12.2996,11.9975,11.6954,11.3933,11.0912,10.7891,10.487,10.1849,9.8828,9.5807,9.2786,8.9765,8.6744,8.3723,8.0702,7.7681,7.466,7.16393,6.78689,6.98214,7.54386,7.3519,7.1599,6.9679,6.7759,6.584,6.392,6.2,8.2549,6.48333,8.58696,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,22.3125,22,22.375,22.5222,22.6694,22.8167,22.9639,23.11111,17.2135,11.31579,11.30769,9.81081,8.34177,12.45902,11.29258,11.62121,11.25517,
Bolivia,,,,,,,,,,34.82879,45.4272,56.02557,54.84598,41.03495,31.82453,41.8418,41.8409,41.84,41.8392,41.8383,41.8374,41.8365,41.8357,41.8348,41.8339,42.4807,43.58749,43.95414,40.89413,40.89689,40.2125,39.5282,38.84378,,,,,,,,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.55736,13.002,13.17323,13.57998,14.55685,14.03763,14.09603,13.9685,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.19823,14.44853,15.52885,12.92751,12.3818,11.8361,11.29032,,,
Brazil,21.44538,21.38728,20.74596,20.87246,23.02364,22.71411,23.10281,23.03382,23.64302,22.66238,23.01972,24.21917,23.68102,23.32104,22.89541,21.7594,20.62345,21.5935,21.20383,20.71061,20.0236,19.33663,19.07165,18.6728,18.274,17.8751,17.4763,17.0774,16.6786,16.2798,15.8809,15.4821,15.08324,13.9082,13.07778,12.28107,11.47954,10.77064,17.10287,,
"British Virgin Islands",11.375,15.5,17.4545,19.4091,21.36364,20.6485,19.93333,14.3476,8.7619,12.66667,12.3578,12.049,11.7401,11.4312,11.1224,10.8135,10.5047,10.1958,9.8869,9.5781,9.26923,10.2975,11.3258,12.3541,13.38235,13.43902,13.27907,13.65217,12.58,13.53061,14.17778,14.51111,14.0741,13.637,13.2,12.068,10.9359,,,,
Brunei,,,,25.10377,21.17057,20.8642,19.54261,20.75862,21.86012,21.08815,22.0082,20.30102,20.25935,20.3375,20.4157,20.4939,20.57206,20.95329,21.80112,21.17984,21.83333,21.6731,21.5129,21.35272,19.97527,20.50103,21.50855,20.16637,19.5434,23.01744,19.23596,18.65869,21.15315,19.56271,21.82718,19.63664,12.07493,13.59813,13.43711,17.01781,
Bulgaria,17.05048,16.26652,15.24625,15.03048,14.70217,14.72768,14.51248,14.00031,13.79219,13.36774,13.07814,12.48597,12.15722,12.01703,11.76216,11.21641,10.55668,9.23498,9.59869,9.6582,10.23652,10.64186,10.57744,10.68457,11.3243,11.27836,11.43006,11.41059,11.76673,11.49663,11.48245,11.45731,11.44767,11.43057,11.80169,12.02208,12.29878,12.49293,12.69734,12.82018,
"Burkina Faso",53.11111,26.15789,26.0196,25.8814,25.7432,25.6049,25.46667,26,25.51852,28.61404,25.8381,26.24444,26.70056,27.82587,31.0995,25.52511,28.25417,29.77647,29.41852,28.37037,28.68091,35.94488,40.20095,40.91837,38.9939,37.0694,35.1448,33.2203,31.2958,29.3713,27.4468,25.5223,23.59779,23.5255,23.4532,23.3809,23.30854,23.55877,24.66874,,
Burundi,,,,,,,,45.6087,51,45.96552,57.84,55.4375,44.79545,46.6936,48.59184,46.5383,44.4848,42.4313,40.3778,38.3243,36.2708,34.2173,32.1638,30.1103,28.05682,27.5,32.9697,32.08108,29.8705,27.98113,28.4264,28.87173,36.77449,34.8587,32.94283,34.0773,35.39198,32.96333,33.8499,35.26698,
