Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Angola,,,,,,,,,,,,,,,,0.172309,0.241233
Argentina,,,,,,,0.1,0.3,0.2,0.198172,2.141158,2.986692,4.388013,7.664908,10.813534,13.968043,15.218903
Australia,,,,,,0.4,1.3,1.4,2.5,3.498169,4.738898,5.497122,5.96329,5.258694,4.468171,4.296319,4.296319
Austria,,,,,,,,0.3,1.5,2.301282,2.735454,2.856167,3.46967,2.901586,3.741637,4.020484,3.708288
Belgium,,,,,,,,,0.4,1.278843,3.430185,5.302132,4.673267,4.906154,5.573129,5.724522,5.812012
Bolivia,,,,,,,,,,,,,0.753921,1.06957,1.5,2.03125,2.1875
Brazil,184,198,217,249,252,276,306,389,466,412.71,444.07,362.35,376.91,435.69,445.1,478.85,460.44
Bulgaria,,,,,,,,,,,,,0.189557,0.315549,0.435059,0.735335,0.827548
Canada,3.7,3.9,4,4,4,4.4,4.4,14,15,22.629422,23.646972,27.824883,29.415954,29.03227,29.509361,29.788584,30.397377
China,,,5,14,17,21,28,29,34,42.494993,42.719014,44.218229,49.115514,50.559736,50.852686,53.041196,54.219541
Colombia,,,,,,0.5,4.6,4.7,4.4,2.958058,3.429581,3.965247,4.861793,5.101128,5.244342,7.482679,7.655274
"Congo (Brazzaville)",,,,,,,0.1,,,,,,,,,,
"Costa Rica",,,0.8,1,1.3,2.1,2.1,2.9,2.4,2.1146,1.8293,1.5439,1.258557,1.323877,1.330687,1.478541,1.57095
Cuba,1.1,1,1,1,1,0.8,0.5,0.4,0.3,5.213416,5.251105,5.147668,5.302273,4.988264,4.942754,2.24002,1.809247
"Czech Republic",,,,,,0.02,0.3,0.6,1.3,1.960953,2.068881,1.182802,2.225079,2.162975,2.182059,2.459989,2.806318
Denmark,,,,,,,,,,,0.086162,0.120626,0.10396,0.10459,0.062151,0.04187,0.066395
Ecuador,,,,,,,,0.3,0.2288,0.1577,0.086493,0.10815,0.064886,0.175454,0.268456,0.378548,0.773505
Egypt,,,,,,,,,,0.689237,0.861546,0.947701,0.861546,0.775391,0.172309,0.516928,0.603082
"El Salvador",,,0.3,0.4,0.4,1.5,5.8,4.7,4.6,,,,,,,,
Swaziland,,,,,,,,,,0.430773,0.430773,0.551389,0.827084,0.827084,0.775391,0.809853,0.775391
Ethiopia,,,,,,,,,0.1,0.086493,0.032435,0.097321,0.139444,0.166756,0.210732,0.295722,0.354031
Finland,,,,,0.05,0.2,0.4,0.6,0.9,0.044395,0.141639,0.196288,0.350708,0.415274,0.39979,0.41376,0.405767
Czechoslovakia,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,
"Serbia and Montenegro",,,,,,--,--,--,--,--,--,--,--,--,--,,
"Soviet Union",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,
Yugoslavia,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,
France,2,2,2,1.7,1.7,2.5,5,9.3,16,15.441527,16.790599,16.985475,15.704729,16.208816,16.363083,16.481414,15.570773
Germany,,,,,0.4,2.8,7.4,6.8,10,12.511416,13.279629,12.441634,13.331135,14.325084,15.099447,15.492265,15.442258
"East Germany",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"West Germany",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Guatemala,,,,,,,1.3,2.9,2.9,2.6747,2.4495,2.2242,1.998957,2.050654,2.401482,2.688791,3.037681
Hungary,,,,,,0.1,0.6,0.5,2.4,1.395236,1.860195,1.748185,4.077107,4.822229,4.846879,7.090248,7.201452
India,2.9,3,3.2,3.3,3.5,3.7,4.1,4.5,5,1.723236,0.861618,6.28981,5.255869,6.58276,6.031325,11.804165,19.127917
Indonesia,,,,,,,0.1,0.2,0.2,,,,,,,,
Iran,,,,,,,,,,0.396311,0.37908,0.413542,0.448004,0.482466,0.516928,0.551389,0.516928
Ireland,,,,,,,0.02,0.1,0.2,0.1258,0.051697,0.051697,0.11201,0.045532,0.046004,0.030992,0.048744
Italy,,,,,,0.1,2.2,1,1,1.394459,1.736975,1.37558,1.021883,1.207604,0.624099,0.72195,1.067864
