Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,13,13,13,13,13,13,13,13,13,13,13,13
Albania,22,22,22,22,22,22,21.5,21,20.5,20,18,16
Algeria,18,18,18,18,18,18,18,18,18,18,17,17
Angola,12,12,12,10,10,10,10,10,10,10,10,10
"Antigua and Barbuda",13,16,16,16,16,16,16,16,16,16,16,16
Argentina,21,21,21,21,21,21,21,21,21,21,21,21
Armenia,25,23,23,21,21,21,20,20,20,20,18,18
Australia,10,10,10,10,10,10,10,10,10,10,10,10
Austria,10,10,10,10,11,11,11,11,11,11,11,11
Azerbaijan,23,23,23,23,23,23,23,23,25,24,18,18
Bahamas,,,16,16,16,16,16,16,16,16,16,16
Bahrain,,,9,9,9,9,9,9,9,9,9,9
Bangladesh,11,11,11,14,14,14,14,14,14.2,14.2,14.2,14.2
Barbados,,,,,,,9,9,9,9,9,9
Belarus,19,19,19,19,17,17,17,16,16,16,16,16
Belgium,10,10,10,10,10,10,10,10,10,10,10,10
Belize,15,15,15,15,15,15,15,15,15,15,15,15
Benin,10,10,10,10,10,10,10,9,13,13,13,13
Bhutan,21,21,21,21,21,21,21,21,21,21,21,21
Bolivia,10,10,10,10,10,10,10,10,12,12,12,12
"Bosnia and Herzegovina",13,13,13,15,15,15,15,15,15,15,15,15
Botswana,19,19,19,19,19,19,19,19,18,18,18,17
Brazil,20,20,20,20,19,19,19,19,18.2,18.2,18.2,18.2
Brunei,,19,19,16,16,16,16,16,16,16,16,18
Bulgaria,15,15,17,16,16,16,16,16,16,16,16,16
"Burkina Faso",29,29,29,14,14,14,14,14,14,14,14,14
Burundi,20,20,20,20,20,20,20,18,14,14,14,14
"Cape Verde",16,16,16,16,16,16,16,16,16,16,16,16
Cambodia,20,20,20,20,20,20,20,20,20,20,20,20
Cameroon,10,10,10,10,12,12,12,12,14,15,15,15
Canada,11,11,11,11,11,11,12,12,12,12,12,12
"Central African Republic",15,15,15,15,15,15,15,15,15,15,15,15
Chad,12,12,12,12,12,12,12,13,13,13,13,13
Chile,15,15,15,15,15,15,13,13,13,13,13,13
China,30,30,30,30,30,30,29,25,22,22,22,22
Colombia,12,12,12,11,10,10,10,10,10,10,10,10
