Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Greece,5.12624939,4.636129313,4.114981215,3.621190831,3.225562302,2.482736946,2.159500297,2.338966259,2.35539252,2.118396433
Guatemala,3.074455533,2.955222664,2.466045426,2.185288353,2.324283419,2.337697725,2.418101293,2.405286897,2.578953346,2.926244671
Guinea,,,,,,2.151764,1.823969655,1.592808681,1.592808681,
Guyana,3.743112245,3.372967955,2.990486679,2.823065735,3.189766482,3.3183482,3.42954311,3.604233007,3.580285384,
Haiti,,,,,1.614565,1.588470488,2.044959707,2.293597464,2.229235159,
Honduras,2.441232217,2.634398008,2.29912295,1.97041425,2.153869767,2.037429309,2.033100034,2.49503624,2.677861298,2.495911337
"Hong Kong",6.001207424,5.791173714,5.308053,5.157282163,5.441745574,5.717377187,5.848979295,5.69865192,5.569742106,5.569742106
Hungary,4.30167757,3.622241247,3.016246106,2.590298742,2.750095669,2.687183218,2.70824887,2.769368267,3.000172642,3.123656255
Iceland,5.741857923,4.805325645,2.8112352,1.929674185,2.499760689,3.020110002,3.438094707,3.730449822,3.978767982,4.290953834
India,5.735267992,5.416645398,5.043209557,4.694474933,4.679849042,4.596900508,4.568814465,3.987043366,3.982745369,4.396140732
Indonesia,6.005115772,5.190885448,4.713685598,4.601134884,4.4147783,4.359067891,4.347182846,4.283143519,4.223022162,4.434217732
Iran,,,,3.279644,3.402346054,3.476906745,3.166301451,2.977487183,2.967874698,2.965088859
Ireland,5.230296174,4.69789816,3.433052165,2.756182271,2.893732876,3.062296148,3.139752865,3.289385526,3.751066898,3.819540857
Israel,5.658234519,5.254572684,4.296669077,4.02483998,4.554922586,4.240441729,3.748845116,3.888442246,4.180029684,4.621435625
Italy,4.752935235,4.323321612,3.694443935,3.456269323,3.647769888,3.408119398,3.128054465,3.231822819,3.384073551,3.440198719
Jamaica,5.141478805,4.5839545,4.105787389,3.891534168,4.053014983,4.089959685,4.270106468,4.289264941,4.281126118,4.636474756
Japan,5.851629432,5.325284699,4.546337749,4.385980096,4.761438204,4.636848511,4.668616023,4.861705869,5.095802809,5.179736866
