Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7
Algeria,,,,,,,,,,,,,,,28,27.5,27,26.5,26,25.5,25,24.5,24,23.5,23,22.5,22,21.5,21,20.5,20,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
Argentina,3,3,3,3,3,3,3,3,3,3,3.4,3.8,4.2,4.6,5,5,5,5,5,5,5,4.4,3.8,3.2,2.6,2,1.8,1.6,1.4,1.2,1,1.2833,1.5667,1.85,2.1333,2.4167,2.7
Armenia,,,,,,,,,,,,,,,19,19.8125,20.625,21.4375,22.25,23.0625,23.875,24.6875,25.5,26.3125,27.125,27.9375,28.75,29.5625,30.375,31.1875,32,31.1667,30.3333,29.5,28.6667,27.8333,27
Australia,6,5.9286,5.8571,5.7857,5.7143,5.6429,5.5714,5.5,5.4286,5.3571,5.2857,5.2143,5.1429,5.0714,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.8167,4.6333,4.45,4.2667,4.0833,3.9
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9
Azerbaijan,,,,,,,,,,,,,,,12,14.875,17.75,20.625,23.5,26.375,29.25,32.125,35,37.875,40.75,43.625,46.5,49.375,52.25,55.125,58,52.5333,47.0667,41.6,36.1333,30.6667,25.2
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8
Belarus,,,,,,,,,,17,14.6,12.2,9.8,7.4,5,6.8333,8.6667,10.5,12.3333,14.1667,16,16.4,16.8,17.2,17.6,18,19,20,21,22,23,22.4167,21.8333,21.25,20.6667,20.0833,19.5
Brazil,,,,,,,,,,5,4.9375,4.875,4.8125,4.75,4.6875,4.625,4.5625,4.5,4.4375,4.375,4.3125,4.25,4.1875,4.125,4.0625,4,3.6,3.2,2.8,2.4,2,1.9,1.8,1.7,1.6,1.5,1.4
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
