Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,464,474,483,493,503,513,523,534,544,555,566,580,594,608,623,638,653,669,685,701,718,740,762,785,809,833,858,884,911,939,967,1001,1048,1079,1102,1119,1156,1190,1211,1233,1238,1210,944,901,1001,981,962,955,935,918,921,921,920,926,931,932,935,939,902,910,904,948,959,917,925,973,1043,1056
Algeria,1700,1717,1733,1750,1767,1784,1801,1819,1837,1854,1872,1885,1898,1911,1924,1937,1950,1963,1976,1990,2003,2074,2086,2088,2154,2293,2423,2417,2876,3121,3253,3380,3594,3758,3887,4018,4149,4280,4425,4570,4695,4852,4968,5042,5154,5436,5625,5815,5993,6077,6240,6597,6900,6684,7798,8044,8869,8594,9145,9472,9735,9599,10170,10788,10239,10594,10737,10880
Angola,2200,2230,2259,2289,2320,2351,2382,2414,2446,2478,2511,2542,2573,2604,2635,2667,2700,2732,2766,2799,2833,2872,2912,2952,2993,3034,3076,3118,3161,3205,3249,3298,3348,3398,3449,3501,3553,3607,3661,3716,3772,3874,4015,4206,4334,4461,4570,4689,4816,4962,5121,5276,5425,5622,5804,5971,6125,6282,6479,6733,6991,7231,7488,7759,8054,8356,8649,8945
Argentina,7000,7110,7223,7337,7453,7570,7672,7776,7881,7987,8095,8198,8302,8407,8514,8622,8728,8835,8943,9053,9164,9251,9340,9429,9772,9835,9842,10109,10201,10379,10410,10434,10599,10926,11181,11262,11595,11836,12070,12176,12510,12905,13114,13023,13527,12932,13177,14185,14761,14901,14924,14588,13776,14471,15516,16273,17144,17703,18026,18118,18488,18957,19357,19523,19815,20222,20488,20756
Armenia,482,499,516,534,553,572,592,612,633,656,678,700,723,746,771,796,822,848,876,904,934,970,1008,1048,1089,1131,1176,1222,1270,1320,1371,1403,1436,1470,1504,1540,1561,1575,1606,1584,1622,1663,1570,1536,1480,1469,1428,1365,1331,1292,1272,1259,1101,1102,1076,1092,1087,1096,1112,1084,1179,1169,1167,1159,1134,1073,1081,1086
Australia,3346,3400,3455,3512,3569,3627,3686,3734,3767,3813,3932,3943,4038,4153,4302,4432,4592,4736,4852,4987,5176,5298,5426,5543,5570,5591,5664,5715,5755,5886,6036,6083,6010,6050,6290,6508,6675,6844,7085,7384,7495,7401,7321,7368,7572,7824,7973,8053,8169,8336,8539,8725,8929,9128,9319,9583,9885,10193,10452,10596,10776,10999,11159,11266,11397,11614,11801,12076
Austria,3354,3352,3350,3348,3346,3344,3341,3374,3383,3398,3427,3446,3430,3406,3401,3378,3350,3295,3252,3246,3253,3288,3313,3359,3403,3377,3389,3427,3441,3458,3486,3464,3425,3415,3411,3418,3420,3434,3446,3490,3561,3605,3621,3602,3601,3589,3602,3629,3666,3721,3756,3783,3780,3805,3828,3874,3941,4014,4090,4073,4102,4166,4210,4224,4263,4291,4348,4382
Azerbaijan,1412,1449,1486,1524,1563,1603,1644,1686,1730,1774,1819,1848,1878,1908,1938,1969,2000,2032,2064,2097,2131,2221,2314,2412,2514,2620,2731,2846,2966,3092,3222,3307,3394,3483,3575,3669,3742,3853,3868,3917,3907,3938,3927,3919,3831,3812,3890,3898,3905,3907,3909,3920,3932,3953,4019,4062,4111,4162,4216,4272,4329,4375,4445,4521,4603,4672,4697,4730
Bahrain,33,34,35,36,37,38,39,40,41,42,43,44,46,47,48,50,51,53,54,56,57,60,65,70,77,83,92,102,112,121,131,138,144,149,155,161,168,177,186,195,204,212,215,220,225,230,234,238,241,265,276,291,325,352,401,471,491,527,652,671,703,722,735,737,736,741,749,760
Bangladesh,17543,17727,17914,18102,18292,18485,18679,18875,19074,19274,19477,19698,19921,20147,20375,20606,20840,21076,21315,21557,21801,21628,21422,21226,22198,21500,22569,22316,23192,25297,25862,26339,26947,27668,28435,29548,31258,31945,33057,33397,35165,36753,37102,38208,39341,40486,41615,42457,43283,44107,44895,46161,47540,48927,49534,50057,50400,51832,53300,54781,56301,57192,58515,59851,61014,62368,63671,64981
