Country,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,,,,,,,,,,,42.1028,41.81408,43.22781,44.84066,45.82628,43.66587,43.93467,43.31741,41.53532,41.41585,42.11276,45.28867,44.31299,38.22999,37.1448,37.6066,38.0684,38.5302,38.992,39.4538,39.9156,40.3774,40.8392,41.301,41.7628,42.2246,42.6864,43.1482,43.60995,36.2701,36.53529,34.83938,31.527,40.81364,36.73118,43.95626,44.26174,43.7418,43.22195,43.51464,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,31.99979,31.80377,33.37413,33.9487,34.5233,35.09782,57.89513,51.77851,45.12606,42.37336,43.04611,44.02241,45.98842,44.51731,43.8975,49.68204,48.0036,48.47159,47.45324,47.10123,47.81252,46.90583,46.82737,45.1333,43.43926,42.72004,44.13451,43.92735
Algeria,,,,,42.06847,41.65212,42.33125,42.38736,41.99432,41.77889,42.54914,41.74757,41.91981,40.63395,39.80884,40.15498,37.88707,38.02658,38.0981,38.1696,38.2411,38.31254,37.65117,39.69166,39.66605,40.7704,39.53288,39.06555,38.49699,39.8167,39.59236,39.46863,44.15146,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,51.88937,52.29757,52.37721,51.14269,51.4125,51.6823,51.9521,52.2219,52.4917,52.7615,53.0313,53.3011,53.5709,53.8407,54.1105,54.3803,54.6501,54.9199,55.1897,55.4595,55.7293,55.9991,56.2689,56.53875,59.95359,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,43.72546,44.71861,44.93142,45.86467,46.61601,47.84158,47.18038,47.03,46.8796,46.72927,46.69301,46.71766,47.19055,45.76187,48.64255,48.46159,48.73997,49.52699,50.27928,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.89709,55.2644,57.23566,57.26552,47.38934,47.3462,47.3031,47.2599,47.2168,47.1736,47.1305,47.0873,47.0442,47.0011,46.9579,46.9148,46.8716,46.8285,46.78535,47.30366,46.73887,
Australia,31.21509,31.41767,31.30972,31.21114,31.38076,31.6486,31.48268,31.52493,31.48862,31.7094,31.63157,31.48536,31.5488,31.13736,31.32969,31.95729,32.21091,32.57862,32.78077,33.28641,33.87326,34.32359,34.58547,35.09187,35.64579,35.22764,35.4126,35.5976,35.7826,35.9675,36.1525,36.3375,36.5225,36.70745,36.29152,37.29487,36.63002,36.83205,36.71607,37.91947,38.2362,38.553,38.8697,39.1864,39.50317,40.46966,40.28794,40.77328,40.7624,40.75143,41.84225,41.79218,42.08381
Austria,34.45959,34.88138,34.91764,34.80236,35.03024,35.33554,35.34865,34.48732,34.47164,34.14618,33.28799,33.61358,34.39132,34.15167,33.77053,33.61154,33.91245,34.02757,34.31029,34.69712,34.88899,34.95205,35.04438,35.01671,35.26474,34.89706,35.29848,35.86565,35.6848,35.80621,35.83694,35.827,35.08221,35.27314,35.6405,35.61961,35.76928,36.21116,35.49728,35.53971,35.74142,35.47319,35.97826,35.83218,35.5322,35.5134,36.00354,36.36176,36.6644,36.96703,36.81108,36.61083,36.49079
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1134,47.72527,48.753,49.7807,50.80835,51.63882,54.28752,55.76816,54.90151,56.49376,56.56311,54.74912,53.50387,53.30719,51.54519,51.2924,51.00781,48.27523,48.6195,48.9638,47.32763,46.66876,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,48.76325,50.37609,51.20242,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,41.08242,41.7562,42.34056,40.16124,41.82878,42.13571,44.26857,42.101,43.02108,44.76688,45.90559,44.26439,43.09069,42.43657,43.54818,44.3872,45.09363,43.93433,45.26987,46.10342,45.88322,46.44153,47.8048,47.71962,48.87889,49.2394,49.3936,49.5477,49.7019,49.856,50.0102,50.16435,,,,,,,,,,,,,,,,,
Barbados,,,,,,,,45.34386,44.75164,44.52801,45.03246,44.73859,46.12054,45.34796,45.79673,45.02945,44.08222,42.92233,44.70159,40.96637,41.64944,43.87621,44.167,42.74328,43.28394,43.91462,44.03524,45.86148,47.32656,46.56534,46.44742,44.76415,44.97816,45.22289,45.03529,,,,,,,,,,,,,,,,,,
Belgium,35.3096,35.0344,34.64634,34.90077,35.31025,35.21143,34.61687,34.10572,34.29202,34.68713,35.27956,35.27226,35.59688,35.79869,36.28633,36.34657,37.18906,37.42329,37.8789,37.9739,38.10928,38.26157,38.53935,38.44315,38.81703,38.85767,38.7435,38.6293,38.5152,38.401,38.2868,38.1727,38.0585,38.64928,39.08954,38.83825,38.43372,38.49863,38.97254,39.08654,40.00393,40.08233,40.49968,40.30519,40.034,40.75335,41.39602,41.27438,41.8652,42.45606,42.83645,42.63099,42.63718
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.73275,46.89636,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,51.60152,51.99121,51.68168,52.14938,50.82212,50.43629,48.92091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,42.97998,42.01955,44.94854,43.0895,44.10135,46.9394,47.53013,48.93211,45.39879,44.44381,44.03327,44.66988,46.08434,49.66142,53.25032,51.70338,50.38821,51.03722,48.51065,49.03676,48.8393,50.86973,50.47551,50.90593,51.0686,51.08419,50.83965,50.05827,50.66752,50.86305,51.42066,51.69843,,,,,,,,,,,,,,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.45079,43.6656,44.88045,45.53148,45.35726,45.15678
Botswana,,,,,,,,,,,,,,,,,,,48.89561,48.26716,48.02085,47.32423,47.4402,47.56991,48.1033,48.34978,48.91204,48.21066,48.10092,48.85575,48.15867,47.98515,49.40268,49.70051,48.29405,51.422,50.6942,49.96635,49.65213,46.16811,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.69511,49.15447,49.01973,48.82216,48.67847,49.27567,49.68758,49.61704,49.93118,49.61347,49.47568,49.62344,49.39613,49.77061,48.67102,48.04359,47.99957,47.6954,47.4244,47.15342,47.06346,47.15552,47.57515
Bulgaria,32.54379,32.14819,30.85087,31.38303,31.19494,30.73234,31.20607,30.53728,30.58344,30.44488,29.61106,29.53753,29.69964,29.79569,30.03154,29.91476,30.37539,29.58376,29.61222,29.59851,29.93763,29.74253,29.60273,29.76731,30.26987,29.44217,29.10565,29.25618,32.95168,36.93484,38.57763,41.35992,39.57145,40.53407,40.805,41.07589,41.4458,42.56776,42.5858,42.49389,42.47925,42.62179,42.51657,42.03854,42.62281,43.06036,42.54922,43.12123,42.9042,42.68723,42.44886,41.88493,41.55644
"Burkina Faso",,,,,,,,,,,,51.8173,49.61021,48.51109,45.22626,43.97765,45.2526,43.88577,44.4953,45.46312,46.26165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,53.84303,53.03655,52.67678,51.09393,49.54764,47.80436,47.84031,47.49231,46.27989,47.99831,48.5935,49.1886,49.78379,49.4636,49.1435,48.8233,46.71942,47.58856,51.0863,52.5074,52.10285,52.402,52.7011,53.0002,53.2993,53.5984,53.8975,54.1966,54.4957,54.7948,55.0939,55.393,55.6921,55.9912,56.2903,56.5894,56.88845,56.00499,58.04036,57.47851,56.8399,56.20126,55.40918,,
"Ivory Coast",,,,48.88691,48.18087,47.73232,46.33097,46.02026,46.12602,46.3027,46.83048,47.41404,48.85112,48.3767,49.27716,48.99074,49.03357,49.10368,50.03743,50.32118,49.39288,49.4873,49.5817,49.6761,49.7705,49.8649,49.9593,50.0537,50.1481,50.2425,50.3369,50.4313,50.50532,52.02884,51.70507,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.49067,55.7751,59.05957,56.4022,53.7449,51.0875,48.4302,45.77281,,,,,,,,,,,,,,,
Cameroon,,,,,,,,49.01963,46.74101,45.5414,45.734,45.9266,45.68618,47.84295,47.24788,45.65517,46.92851,47.32764,48.03753,49.54248,51.35493,52.95237,53.2692,53.5861,53.903,54.2198,54.53668,51.6787,54.82606,55.52253,55.29737,55.28466,56.89711,56.61025,56.23901,56.71373,56.44206,55.88566,54.45789,55.12987,,,,,,,,,,,,,
Canada,36.04311,35.70568,35.39674,34.87344,34.7884,35.19568,35.11864,35.43122,35.54289,35.65488,35.40548,35.15593,35.18367,35.3083,35.60091,35.1998,34.55618,34.69152,35.20015,36.57158,37.24142,37.33605,37.34646,37.34382,37.0226,36.7063,36.92219,37.13696,37.59497,37.56618,38.30565,38.33849,38.16969,37.94672,38.11684,37.88969,38.13941,38.47295,38.52315,38.56603,38.53853,38.47107,37.96469,37.89778,38.45749,38.9568,38.93808,39.30339,39.0311,38.75886,38.75471,38.82661,38.85135
"Central African Republic",,,,,,,,,,,50.17403,50.0041,51.09912,48.91185,50.07904,49.18054,44.1186,39.05656,44.49792,40.13668,48.81362,48.7885,48.76333,44.63134,46.92318,48.20561,49.26162,49.21357,50.64744,52.19269,52.90024,,,,,,,,,,,,,,,,,,,,,,
Chile,47.03192,45.60198,45.57219,44.86369,43.6185,44.94079,42.64907,44.43826,43.11997,40.72732,40.34115,41.54321,42.2839,44.38064,44.78251,44.7712,45.34896,45.69558,46.54249,47.35226,48.93735,49.45808,49.57896,49.96329,49.14756,48.28279,47.37919,47.13661,46.95724,46.55053,46.41492,46.29073,46.55191,46.7574,47.05835,48.80136,48.21281,47.73074,48.59587,48.91033,48.88744,49.86966,50.32172,47.99688,,,,,,,,,
China,,,,,,,,,,,,,,,31.94268,32.55683,33.05743,32.93481,32.53362,33.90872,34.19833,34.86346,35.74501,35.6713,36.0844,36.4975,36.9106,37.3237,37.7367,38.1498,38.5629,38.976,39.3891,39.8022,40.2153,40.6284,41.0415,41.4546,41.8676,42.2807,42.69382,41.62623,40.9967,40.72797,40.03078,38.86947,39.99828,38.77893,,,,,
"Hong Kong",,,,,,,,,,,26.40913,28.44909,26.78264,21.26543,21.15771,22.75058,21.88877,20.97086,21.50826,23.36647,22.86806,21.85905,24.2099,23.48293,24.01316,24.74599,26.62211,28.84183,30.46249,31.90132,34.35313,35.61479,36.45338,38.06499,39.86066,39.95502,40.77176,41.25417,42.29523,43.0593,43.03629,43.96896,42.16225,39.29633,41.40471,38.95173,40.75428,40.27874,40.4767,40.6747,42.0064,42.81004,42.84028
