Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bangladesh,9.568393213,9.166396313,9.25258005,9.927137222,9.85850298,10.33755728,10.28250887,10.51892895,10.64156574,10.92292862,10.54905174,10.05878644,9.845892629,10.60674787,10.53532246,10.55172956,10.5442524,10.9970226,10.60149535,9.47731675,9.561182394,9.005134558,8.654390582,8.382205025,8.214684733,7.710435219,7.84281458,8.365181584,8.770039648,8.848887349
Barbados,0.144849173,0.147968655,0.165905877,0.182047482,0.133892617,0.111676004,0.076075212,0.077745033,0.070594699,0.072555927,0.041748391,0.06492513,0.056843296,0.064980188,0.029455697,0.016030827,0.018078669,0.020680721,0.023727307,0.019540065,0.009900137,0.007510425,0.00835482,0.010850534,0.009116982,0.004886147,0.00288089,0.000349578,0.002672679,0.002499546
Belarus,2.529669934,2.74053999,2.583544931,2.670611708,2.359851146,2.648045872,2.546823052,2.160657208,1.996505996,1.961224814,1.981689221,1.988290629,1.887964807,1.659771149,1.465939132,1.371298766,1.190102351,1.015044966,0.85642177,0.798473106,0.741292868,0.781796603,0.674570816,0.60695926,0.546177573,0.574683935,0.503424321,0.411690383,0.500336771,0.490423147
Belgium,1.232216894,1.235862637,0.870104888,1.316610218,1.439639363,1.742604378,1.588255742,1.468672881,1.533539628,1.347463134,1.384595986,1.167988531,1.815629485,1.839646274,1.847716075,1.589819268,1.371778485,1.301335102,1.115101488,1.151501518,1.116966878,1.010678536,1.110682638,1.236143531,1.296829988,1.170436619,1.041452746,0.960311221,1.149394462,1.168461412
Belize,0.861986536,0.794866663,0.77587997,0.744575901,0.826179508,1.001527108,0.984293868,0.939425879,1.123686119,1.455904235,1.421862105,1.429139231,1.258166448,1.34354775,1.053546905,0.93018821,0.95407067,0.845119845,0.707198778,0.6334613,0.73027612,0.81095087,1.036043283,0.922119113,0.839703282,0.693601543,0.757896531,0.737520557,0.860719691,0.873970015
Benin,2.142184534,2.135817509,2.030579649,1.950283365,1.735865089,1.726140715,1.764339161,1.824116865,1.818454904,1.729909478,1.440133786,1.335230605,1.056503243,0.997495391,1.030895661,1.41980729,2.046632362,2.10493733,1.835666112,1.504882145,1.783976816,2.117744462,2.374164709,2.634356602,2.666026362,2.80801273,2.404072047,2.364787166,2.863089192,2.987708815
Bermuda,1.749680212,1.638267112,1.584219523,1.622052893,1.698990828,1.623685224,1.656455903,1.708009802,1.728976178,1.623065612,1.500201672,1.460944828,1.435573333,1.330765618,1.191010183,1.171904102,1.144463843,1.139886567,1.06030099,1.093350013,0.983454669,0.96165218,0.803296776,0.773529764,0.753451151,0.834063242,0.873202837,0.885132287,0.741284794,0.711876914
Bhutan,12.00899272,12.23390496,11.8624969,12.29432461,12.52085628,13.34597542,13.41390431,13.71147863,13.91713631,14.27915263,13.8525661,12.58729097,12.2111251,12.85621589,13.62401739,13.49716585,13.87016469,15.44446128,15.8928885,14.92842812,13.9098792,14.55435037,15.54463709,15.21992052,13.69022133,13.34942962,14.70534152,15.8270856,14.54608973,14.5325905
Bolivia,1.373416556,1.252158894,1.156609344,0.993354322,1.105121102,1.005074152,0.824604665,0.591350942,0.618310187,0.619134202,0.512865217,0.445394616,0.499717958,0.56451655,0.665109068,0.823264712,0.921850746,0.914944851,0.574037835,0.55121947,0.660500873,1.089751198,1.416111057,1.027473651,0.957797076,0.986414679,1.515813116,1.519855239,1.700062675,1.866780493
"Bosnia and Herzegovina",3.263841889,3.385683058,3.220722657,3.53507027,3.494076445,3.396019485,2.97542693,2.893434931,2.481312762,2.230392239,1.990299982,2.030602502,2.365322729,2.384847182,2.323337228,1.995131828,1.913666824,1.825454692,1.654402264,1.528516963,1.544708899,1.688904623,1.795889049,1.814411232,1.779893539,1.518777057,1.434201195,1.283340112,1.530570765,1.52947597
