Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Peru,,,,,,,,,,,,,,,,,,,,,,,,17182,12847,,
Poland,,,,,,,,,,,,,,,,,,,,57092,60589,61466,55915,53412.5,50910,53070,
Portugal,,,,,,,,,,139148,146020,150387,141236,137496,135763,131498,135763,133615,126667.1667,119719.3333,112771.5,105823.6667,98875.8333,91928,,,
"Puerto Rico",,,,,,15992,18406,17448,19019,22323,16575,13396,17640,15200,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,139,118,97,76,55,83,38,
Romania,,,,,,,7067,6522,5568,5267,5290,5462,5088,4693,4342,3669,3711,3516,3260,2806,2826,2645,2557,2634,2578,2949,3020
Russia,327390,309810,280270,260690,223280,202710,163220,139810,118740,115220,112570,106380,92310,75940,61790,54470,49030,45005,39277,30393,31518,28987,26898,23362,20623,18487,17462
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,2321,,
"Saint Vincent and Grenadines",,,,,,,,,,249,62,74,73,56,84,76,66,79,176,,,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,10927,9854,10274
Slovakia,,,,26541,21966,22474,24747,22585,22129,18568,16991,16343,14852,13294,10266,9687,10274,11229,8957,6222,6262,6014,5706,5680,5908.5,6137,
Slovenia,,,,,,,,,,,,,,,,,,,,13350,12363,11376,10523.5,9671,9746,,
"South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,110753
Spain,,,,461239,466917,515586,529195,573291,633215,724174,767242,770488,762262,695397,691893,708965,721682,721660,608866,452475,412324,367102,287389,276781,290142,316349,338286
"Sri Lanka",,,,,,,,,,1797,1763,,,,,,,,,,,,,,,,
Sweden,,,,,,,,,21640,23003,23659,23209,22830,20762,19440,18875,18951,17791,17052,14717,16284,16827,17455,17554,17373,18242,19482
Switzerland,,,,,,,,,,,,,,,,,,,,70038,72473,74908,75505.5,76103,76555,75014,
Turkey,,,,,,,,,,,,69942,69293,72204,79503,70589,75288,76481,69369,60754,59011,65059,69090,170719,193281,207047,241303
Ukraine,,105433,101770,92040,77714,66997,53122,45268,42002,35803,31544,27285,21967,19987,18016,16062,14791,14164,12294,9674,9081,8233,7360,6339,3461,2986,
"United Kingdom",,,,,,,116417,123131,121154,124938,123184,120407,118496,120033,111887,107550,105930,98524,91118,83712,78660,75487,64199.5,52912,66526,,
"United States",,,,,,,,,,,,,,851790,829300,814250,775900,744860,688790,,,,,,,,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,15461,18321.6667,21182.3333,24043
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,3541,4108,4378.5,4649,,
