Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,,,,,,,,,,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
Algeria,59,75,91,107,123,139,155,171,187,203,219,213.8,208.6,203.4,198.2,193,187.8,182.6,177.4,172.2,167,142,117,92,67,42
Andorra,,,,,,,,,,,0.01,,,,,,,,,,,,,,,
Argentina,8,7.5,7,6.5,6,5.5,5,4.5,4,3.5,3,3.3,3.6,3.9,4.2,4.5,4.8,5.1,5.4,5.7,6,8.126,10.252,12.378,14.504,16.63
Australia,,,,,,,,,,,86.41,80.381,74.352,68.323,62.294,56.265,50.236,44.207,38.178,32.149,26.12,,,,,
Austria,4.1,3.958,3.816,3.674,3.532,3.39,3.248,3.106,2.964,2.822,2.68,2.717,2.754,2.791,2.828,2.865,2.902,2.939,2.976,3.013,3.05,3.16,3.27,3.38,3.49,3.6
Azerbaijan,2,10.9,19.8,28.7,37.6,46.5,55.4,64.3,73.2,82.1,91,87.03,83.06,79.09,75.12,71.15,67.18,63.21,59.24,55.27,51.3,53.04,54.78,56.52,58.26,60
Belarus,27.55,28.247,28.944,29.641,30.338,31.035,31.732,32.429,33.126,33.823,34.52,34.03,33.54,33.05,32.56,32.07,31.58,31.09,30.6,30.11,29.62,31.144,32.668,34.192,35.716,37.24
Belgium,,,,,,,,,,,,,,,,,,,,,3.35,3.35,3.35,3.35,3.35,3.35
Benin,,,,,,,,,,,7,6.9,6.8,6.7,6.6,6.5,6.4,6.3,6.2,6.1,6,6.4,6.8,7.2,7.6,8
Bhutan,0.02,0.034,0.048,0.062,0.076,0.09,0.104,0.118,0.132,0.146,0.16,0.164,0.168,0.172,0.176,0.18,0.184,0.188,0.192,0.196,0.2,0.2,0.2,0.2,0.2,0.2
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,3
"Bosnia and Herzegovina",,,,,,,,,,,2.73,2.613,2.496,2.379,2.262,2.145,2.028,1.911,1.794,1.677,1.56,1.764,1.968,2.172,2.376,2.58
Brazil,9.41,45.23,81.05,116.87,152.69,188.51,224.33,260.15,295.97,331.79,367.61,383.042,398.474,413.906,429.338,444.77,460.202,475.634,491.066,506.498,521.93,468.97,416.01,363.05,310.09,257.13
Bulgaria,126.59,119.509,112.428,105.347,98.266,91.185,84.104,77.023,69.942,62.861,55.78,50.913,46.046,41.179,36.312,31.445,26.578,21.711,16.844,11.977,7.11,7.976,8.842,9.708,10.574,11.44
"Burkina Faso",6.02,6.611,7.202,7.793,8.384,8.975,9.566,10.157,10.748,11.339,11.93,11.701,11.472,11.243,11.014,10.785,10.556,10.327,10.098,9.869,9.64,10.354,11.068,11.782,12.496,13.21
"Cape Verde",,,,,,,,,,,0.3,,,,,,,,,,,,,,,
Cambodia,3.26,3.48,3.7,3.92,4.14,4.36,4.58,4.8,5.02,5.24,5.46,13.222,20.984,28.746,36.508,44.27,52.032,59.794,67.556,75.318,83.08,73.98,64.88,55.78,46.68,37.58
