Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,5.29865447,3656.2311,7.142445203,4452.268141,4.276330993,5337.137086,3.223926946,6102.570271,3.293888082,7223.185981,3.611067385,9230.414804,-0.330677082,10175.0736,2.348363331,11290.36651,-0.54574387,11812.52218,5.151125029,13594.39105,0.719218122,14429.90236,1.924043907,15500.01329,3.78438364,16983.15182,3.984478373,18439.28862,4.023754331,20060.55213,3.769813749,22804.43745,0.021820396,24496.75645,5.526820168,26672.64715,5.168264571,29799.76907,7.241815413,31103.03429,5.550948185,34222.19817,0.339802096,36275.86739,2.613853531,37740.17508,1.904463357,39935.95956
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,18483.81852,-0.000635789,19209.22545,2.959865088,21028.06875,1.523171931,22896.5414,1.367704946,25106.17264,1.755186924,27119.23575,2.821968857,29393.73345,1.245437509,30466.08273,-0.686109214,31747.82688,1.394478951,33972.86831,0.832701016,34429.79827,2.405525726,36166.1904
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,17526.39249,0.115190442,18148.28087,1.979802525,19114.55659,1.969015543,22601.25753,-0.174119637,23796.07985,0.055826426,24504.23152,2.01808341,26211.96855,2.215977885,28140.84456,-0.588662634,29416.76931,0.158395977,31310.75623,1.07682529,32180.14359,1.323653434,33946.47704
Canada,,,,,,,,,,,,,,,,,,,,,,,,16561.88386,0.298110257,17094.00877,0.215318449,17832.14909,3.086654872,19176.67928,3.453810852,21176.43625,2.144945105,22211.97956,3.305922183,24123.04388,5.2908295,26455.92105,3.839743152,27269.92113,3.391447519,29016.19641,2.194437124,30510.86919,1.128418412,31730.74714,-0.134157649,32766.3101
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7284.295015,7604.980977,8311.418197,10032.11174,10527.19849,11321.18912,11517.59477,12124.06309,13664.45105,14979.41575,16074.59368,16296.97435,16113.13067,16430.74923,
"Costa Rica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.678803689,3.38772757,4.682525691,7.442047026,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,9368.119641,10151.30784,10572.26051,10505.75709,10920.15938,11882.01744,12912.75424,13616.20057,14147.43781,14770.59199,15112.81101,15799.56979,16856.51182,17812.39138,18555.27704,19040.24679,19143.92512,19510.81596,20476.25965,21513.03726,22030.7929,23063.04563,24440.62829
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,15078.72273,0.925693501,15707.03674,3.042530271,16491.37935,1.129483767,18321.75007,2.95689341,19936.13013,2.18159474,21067.21501,2.419762359,23700.91843,0.386963573,25322.74119,3.35131595,27671.86315,-0.074057565,29302.66366,1.514429443,30604.56936,3.334580869,33335.31521
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,5421.271691,0.430714155,6052.108872,2.197213197,6563.311104,7.380943602,7686.024296,1.897490162,9058.870881,6.435678892,10815.47566,9.734567774,13554.19139,5.013836069,14515.62971,-3.161395746,15886.49425,3.149031418,17847.60607,3.908405629,19541.60165,3.624494076,21779.63043
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,12996.57513,0.303560999,14106.79879,3.485267444,15815.57906,1.603548917,17728.88054,2.841612084,19534.47213,3.93468162,21119.0125,2.250272281,24504.69379,2.236993005,26687.83587,2.349603582,28854.17594,-0.026674004,30542.98707,-0.743258025,31222.37619,1.244114736,32851.88611
France,2828.370887,3095.573894,3351.777555,3728.862408,4238.567818,4728.753283,5099.459147,5561.101844,6279.658029,1.043206803,7651.696775,1.753048047,9101.362474,0.389516275,9770.883314,1.358190722,10649.07343,1.714135856,11866.08956,3.443760113,13773.00703,1.433420937,15089.03627,0.95518766,15898.76014,2.1122743,17022.41846,1.302758023,18309.36837,2.79827791,21213.21126,3.013848186,24402.06452,0.956784706,24227.65268,1.228037895,25701.49871,2.919562765,27756.52859,1.815885373,29148.86539,0.345899214,30369.36752,-0.58804659,31699.90871,1.056059115,33026.5769,1.402348422
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,19358.60081,19984.92106,20203.09216,20510.32787,21452.89914,22707.50407,23824.82,24939.67654,25530.43917,26433.77803,26486.20745,27334.60256,28408.94693,29615.3827,29705.18599,31211.8378,32556.71276,33787.55567,34700.42344,35614.3968,35975.46502,37477.39997,38995.5362
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,13163.159,13473.16625,13789.32275,14452.9074,14579.75463,15705.38486,16972.42366,18883.27211,19472.09925,20566.18499,20437.17175,22128.91395,22944.29195,24398.73144,24586.86208,22329.89652,20634.9016,19589.94981,19102.29781,19643.99762,19350.65567,19436.34217,19918.67877
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,8052.409158,-3.482144175,8133.76737,1.994449028,8696.411988,1.008589387,10383.60187,4.789808471,12137.36566,5.160015052,13357.12159,1.816346487,13696.4888,-1.564095299,14378.91601,-2.002263102,16331.82778,-3.368250103,17335.36589,3.206774275,17789.92888,5.084528117,19218.60115
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17696.12254,1.659780089,5.731091512,5.588915926,4.953106802,4.995372182,7.335136616,12.57446291,2.789238696,-13.92755723,-11.07422398,4.061093493,1.927808447,2.458988913,4.142509981,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,12353.26817,5.760911089,13861.96673,7.836746011,15709.13546,6.735879325,19247.60255,3.451405269,20992.29802,4.576099203,23366.43176,4.218491258,25317.92907,5.714256484,24882.81381,-1.034300246,24232.45888,0.770861819,25088.29653,0.633834859,25677.04431,3.830592864,27959.97119
