Country,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.70999908,34.335,34.95999908,30.04000092,36.88999939,40.84000015,42.56999969,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,57.70999908,61.75,65.79000092,49.75999832,52.4189,55.0778,57.7367,60.3956,63.0544,65.7133,68.3722,71.0311,73.69000244,40.81999969,,
"American Samoa",,,,,,,,,,,,,,,98.51000214,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,74.33999634,75.05000305,75.51999664,75.87000275,76.40000153,76.12999725,78.05999756,78.55999756,78.62999725,79.04000092,80.19000244,80.46,80.73000336,80.48000336,79.76999664,80.05000305,80.62000275,81.13999939,79.87000275,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.08000183,51.93999863,52.70999908,50.33000183,51.56999969,53.25,52.06000137,54.59,57.11999893,
Aruba,,,,,,,,,,,,,,,,95.16999817,94.75,94.33,93.91000366,93.82,93.73,93.64,93.55,93.46,93.37000275,93.4357,93.5014,93.5671,93.6329,93.6986,93.7643,93.83000183,93.39,92.95,92.51000214,,,,,,
Australia,,,,,,,,,,,,,,,88.41000366,84.61000061,84.66000366,84.37000275,84.47000122,84.73000336,84.91000366,84.41000366,85.06999969,85.58000183,85.41000366,85.30000305,85.19999695,85.62000275,85.90000153,85.66999817,86.37999725,86.73999786,86.58999634,86.90000153,86.69999695,87.02999878,87.31999969,87.75,87.41000366,87.40000153,87.36000061
Austria,,,,,,,,,,,,,,,84.61000061,85.30999756,85.80999756,86.23999786,86.15000153,85.91999817,85.73000336,86.70999908,86.90000153,86.91000366,87.48999786,87.73999786,87.88999939,88.48999786,90.11000061,89.59999847,89.47000122,88.52999878,88.90000153,88.84999847,88.79000092,89.31999969,89.51999664,89.44999695,89.48000336,89.62000275,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.56999969,33.18000031,33.77000046,33.83000183,32.70999908,36.95999908,28.89999962,28.37999916,28.56999969,28.94000053,29.14999962,28.5,27.36000061,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.45999908,92.33000183,87.11,81.88999939,,,,,
Bahrain,,,,,,,,,,,,,,,,98.90000153,98.826,98.752,98.678,98.604,98.53,98.456,98.382,98.308,98.234,98.16000366,98.0878,98.0156,97.9433,97.8711,97.7989,97.7267,97.6544,97.5822,97.51000214,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,8.68999958,8.6025,8.515,8.4275,8.340000153,10.01,11.68,13.35000038,12.52,11.68999958,11.128,10.566,10.004,9.442,8.880000114,49.20999908,,,,,
Barbados,,,,,,,,,,,,,,,,,,,89.95999908,90.20999908,89.18000031,91.06999969,90.36000061,90.33999634,91.80000305,90.62999725,90.48000336,91.12999725,89.5,89.3567,89.2133,89.07,88.9267,88.7833,88.64,88.4967,88.3533,88.20999908,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.87999725,,,,,,,
Belgium,,,,,,,,80.76999664,78.44999695,79.47000122,80.91000366,82.73000336,83.36000061,82.44999695,82.95999908,84.65000153,83.59999847,84.04000092,84.66999817,83.62999725,84.16000366,84.94000244,84.98999786,83.98999786,86.23000336,86.97000122,86.51999664,87.26000214,88.33000183,87.73999786,88.19000244,88.45999908,89.23000336,88.72000122,89.20999908,89.51999664,89.51000214,89.29000092,89.13999939,88.91999817,
Belize,,,,,,,,,,,,,,,,,,76.33999634,75.16999817,74.75,75.06999969,70.55999756,72.33000183,71.48000336,71.89,72.3,72.71,73.12,73.53,73.94000244,74.384,74.828,75.272,75.716,76.16,76.604,77.048,77.492,77.936,78.37999725,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.019999981,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.48999786,90.48999786,88.595,86.69999695,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.96999931,17.0375,16.105,15.1725,14.23999977,22.96999931,16.73999977,15.27000046,15.625,15.97999954,15.85999966,
Bolivia,,,,,,,,,,,,,,45.25999832,48.41999817,46.84000015,45.47000122,47.27999878,43.79999924,42.04999924,39.91999817,39.13000107,29.075,19.02000046,20,19.54000092,20.20000076,20.20000076,20.20000076,20.95000076,23.61000061,22.73999977,27.905,33.06999969,32.965,32.86000061,33.775,34.68999863,32.09999847,,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.13999939,73.62999725,72.55999756,70.44000244,72.02999878,74.26000214,72.33000183,75.90000153,77.72000122,78.19999695,
Botswana,,,,,,,,,,,,,,,,,,,,,,,74.83999634,71.375,67.91000366,81.93000031,76.945,71.95999908,67.5067,63.0533,58.59999847,60.2575,61.915,63.5725,65.23000336,66.3833,67.5367,68.69000244,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,73.51999664,64.93000031,64.40000153,64.84999847,65.51000214,64.79000092,66,67.23999786,68.21,69.18000031,70.675,72.16999817,72.69000244,72.98999786,71.54000092,,
"British Virgin Islands",,,,,,,,,,,,,,,,91.08999634,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,96.11000061,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,86.61000061,87.65000153,87.51000214,87.37999725,87.19999695,88.76999664,89.94999695,90.59999847,90.18000031,90.18000031,89.91000366,90.59999847,91.19000244,90.93000031,90.66999817,91.18000031,
"Burkina Faso",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.480000019,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.109999895,,,,,,,,
"Cape Verde",,,,,,,,,,,,,,,,,,,,,,,,,33.00999832,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,5.269999981,6.97,8.67,10.37,12.06999969,13.60000038,14.7856,15.9711,17.1567,18.3422,19.5278,20.7133,21.8989,23.0844,24.27000046,32.075,39.88000107,39.59,39.29999924,,
Cameroon,,,,,,,,,,,,,,,,,,,,,5.650000095,6.25,6.85,7.45,8.05,8.649999619,8.9333,9.2167,9.5,9.7833,10.0667,10.35,10.6333,10.9167,11.19999981,,,,,,
Canada,91.38999939,91.16000366,90.95999908,90.81999969,90.98999786,91.12000275,90.55000305,90.26000214,90.02999878,89.62999725,90.41999817,90.33000183,90.22000122,90.19000244,90.12999725,89.94000244,89.41000366,88.80000305,88.55999756,88.37999725,87.76999664,86.77999878,86.66999817,87.08999634,87.66000366,88.80999756,88.48999786,88.58999634,88.70999908,88.51000214,88.59999847,88.55999756,88.58999634,88.11000061,88.44999695,88.51000214,88.51999664,88.20999908,88.30999756,88.06999969,88.25
"Cayman Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.44999695,94.68000031,94.62999725,95.14,95.65000153,94.43000031,94.97000122,94.95999908,92.48000336,95.91999817,
Chile,,,,,,,,,,,,,,,,,,,,,75.23999786,74.33000183,72.75,74.23000336,74.86000061,73.33999634,73.22000122,73.18000031,71.88999939,74.56999969,73.68000031,74.40000153,74.34999847,63.02999878,62.52000046,62.84999847,64.69000244,64.73000336,65.36000061,65.12000275,
Colombia,,,,,,,,,,,,,,,,,71.68000031,72.83000183,73.90000153,70.97000122,71.54000092,70.04000092,67.26000214,65.37000275,65.41000366,51.63000107,53.83000183,50.45000076,51.88999939,52.56000137,62.97000122,56.45000076,51.36999893,48.72000122,47.56000137,46.25,46.52999878,47.90000153,49.72999954,50.33000183,
"Costa Rica",,,,,,,,,,,,80.41999817,79.05999756,78.63999939,77.66000366,74.83999634,78.56999969,76.15000153,76.23999786,75.69999695,77.68000031,74.30000305,75.76000214,74.66999817,76.62000275,71.30999756,71.195,71.08000183,70.62999725,73.13999939,73.73999786,76.12000275,75.41000366,77.515,79.62000275,78.88999939,79.76000214,78.34999847,78.94000244,78.98999786,80.73000336
"Ivory Coast",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.630000114,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,72.20999908,75,76.80000305,76.70999908,77.98999786,79.13999939,78.37999725,77.15000153,76.87999725,75.68000031,78.75,80.94000244,80.80000305,80.94999695,78.79000092,79,81.91000366,84.54000092,87.65000153,87.80999756,
