Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,,13.9,15.1,17.7,19.3,21.8,24.9,29.2,30.8,36,37.8,38.9,40.3,43.9,47.1
Albania,48.8,51.9,57.6,68.2,82.6,87,89.9,117.7,120.9,88.1,97.6,119.9,130.7,153.2,176,151.4
Algeria,15.8,14.4,14.9,15.9,24,28.2,33.9,42.2,53.9,56.9,66,79.8,85.9,91,95.4,81.9
Andorra,982.2,987.1,1085.7,1416.6,1673.3,1785.6,1878.8,2076.1,2034.2,1823.4,1705.9,1782.2,1693,1777.8,1862.6,1570.7
Angola,3.5,10.9,14.4,16.8,23.2,22.8,21.3,26.2,29.3,18.6,18.7,22,21.5,30.7,35.4,36.2
"Antigua and Barbuda",101.9,113.2,110.4,123.6,126.1,128,133.9,139.1,151.5,150.8,155.9,153.5,161.8,159.5,154.6,159.4
Argentina,205.2,197.9,66.8,73.7,85.6,129,141.4,161.5,178,167.4,175.6,192.3,164.8,175.1,158.8,175.9
Armenia,30.1,28.8,29.1,35.8,76.4,83.7,76,105.5,103.1,76.8,105.3,61.6,176.3,248.6,210.1,298.8
Australia,342.8,318.5,351.3,429.1,530,590.1,627.5,721,778.6,761.6,978.1,1126.7,1205.4,1151.1,1102.6,
Austria,403.4,421.1,462.8,582.6,660.6,682.3,700.6,805,866.7,841.8,837.2,905.2,875.2,941.3,958.2,813
Azerbaijan,19.2,19.7,22,44.2,64.3,100.5,117.6,140.1,173.8,198.9,216.2,252.2,278.6,311,338.1,289.6
Bahamas,231.6,230.9,271.7,304,344.2,410,449.6,511.2,504.8,465,471.1,471.9,499.9,485.1,507.6,467.9
Bahrain,106.3,110.7,114.8,118.4,121.5,123,123.8,124.2,125.2,127.6,132.9,139.4,260.4,287.1,295.6,298.7
Bangladesh,5.1,5.3,5.6,6.2,6.7,7.3,7.8,9.1,10.3,11.7,13.6,14.9,15.3,17.7,20.2,22.9
Barbados,238,237.3,244.9,283.1,309.9,330.9,357.2,377.6,395.1,416.3,418,483.1,491.6,523.2,523.2,524
Belarus,9.2,15.3,19.9,22,27.3,42.9,54.3,72.1,104.4,84.9,64.1,82.8,105.4,143.7,145.6,121.5
Belgium,,,,577.2,607.8,603.8,650.2,764.3,835.6,826.7,805.7,880.2,818.7,874.3,895.3,742.8
Belize,52.2,53.4,55.8,56.8,57.4,56.3,54.4,56.5,58.9,60.4,60,59.2,61.2,66.3,67.3,68.2
Benin,8.3,8.4,9.2,11.4,12.5,12.3,12.8,13.7,14.3,14.1,14,15.2,14.6,15.1,15.1,12.7
Bhutan,3.6,3.6,3.8,7.2,7.6,7.9,8,9.2,8.7,9.6,11.5,12.2,16.4,16.6,17.4,18
Bolivia,14.3,14.7,14.6,14.7,14.9,15.8,17.6,19,23,26,32.2,37.4,44.4,54.4,53.2,51.1
"Bosnia and Herzegovina",44.8,43.5,45.7,54.8,103.9,118.3,136.1,171.3,211.5,129.8,125.1,136.6,130.8,138.4,142.6,123.5
Botswana,21.8,19.4,17,20.7,20.7,18.1,15,13.4,14,16.6,19.6,21.8,25.1,20.5,21.2,20.5
Brazil,114,101.4,88.8,88.9,104.1,137.5,166.2,198.5,217.4,224.1,262,300.5,282.3,274.6,284.6,220.8
Brunei,80.5,78.1,77.6,91.2,104.7,105.5,96.2,89.9,79.8,70.4,66.4,74.3,78.1,79.6,58.3,48.8
