Country,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,0.601969736,0.591139803,0.579559309,0.5684,0.55721183
Albania,0.61,0.5794,0.548792209,0.571157243,0.55896519,0.566,0.572949351
"Antigua and Barbuda",,,,,0.594838144,0.5916,0.588306136
Argentina,0.54,0.5872,0.634333232,0.633982447,0.734339654,0.7505,0.766599728
Australia,0.88,0.8723,0.864609296,0.841373956,0.834716045,0.8322,0.829643084
Austria,0.9,0.9101,0.920117699,0.885753634,0.891712596,0.8714,0.851110698
Bahamas,,,,,0.661846508,0.673,0.684075539
Bangladesh,0.42,0.4111,0.402285924,0.379926341,0.305836463,0.3088,0.311666196
Barbados,,,,,0.721915982,0.7137,0.705551266
Belarus,0.25,0.2613,0.272644633,0.234955422,0.254912043,0.2464,0.237925432
Belgium,0.76,0.7907,0.821491834,0.834267043,0.808051723,0.8042,0.800368834
Belize,,,,0.548825123,0.556425001,0.5566,0.556786542
Bolivia,0.41,0.4292,0.448422519,0.490950025,0.480917112,0.4709,0.460793633
"Bosnia and Herzegovina",0.55,0.559,0.567974604,0.602929128,0.597902744,0.5165,0.43503813
Botswana,0.76,0.7578,0.755688908,0.608539714,0.500062527,0.4902,0.480414201
Brazil,0.73,0.7329,0.735744889,0.682105636,0.680132391,0.6372,0.594342736
Bulgaria,0.68,0.6684,0.656724671,0.650729481,0.647785786,0.6335,0.619294748
"Burkina Faso",0.5,0.5057,0.511420408,0.53160312,0.568497306,0.5927,0.616901624
Cambodia,0.36,0.3778,0.395511723,0.368476925,0.330929232,0.3328,0.334652121
Cameroon,0.36,0.41,0.459953221,0.490743742,0.409898895,0.3922,0.374565006
Canada,0.76,0.7779,0.795845946,0.816235596,0.845106761,0.846,0.846941243
Chile,0.74,0.7512,0.762447552,0.786340599,0.787274958,0.7547,0.722062246
China,0.11,0.0948,0.079668039,0.124172324,0.14403736,0.1412,0.138273605
Colombia,0.61,0.5997,0.589346582,0.590089419,0.609652119,0.5985,0.587287038
