Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12828,12876,12928,12605,12967,12822,13672,13458,13002,13225,11886,11112,10259,9350,9099,8911,8940,9003,9252,9607,9997,9645,9758,9951,10391,10855,11383,12088,12716,12637,13028,13299,13207,13562,14023,14534,14920,14929,15302,15713
Madagascar,2201,2249,2295,2341,2388,2435,2482,2528,2575,2619,2605,2607,2614,2537,2584,2518,2516,2599,2716,2758,2838,2883,2781,2647,2637,2607,2461,2455,2328,2488,2439,2166,2067,2025,1895,1882,1841,1826,1801,1818,1832,1666,1635,1620,1571,1550,1536,1545,1558,1583,1607,1655,1408,1503,1537,1565,1603,1647,1716,1602,1563,1543,1548,1541,1551,1558,1582,1609,1651,1695
Malawi,490,501,513,524,536,534,567,578,586,594,595,611,594,569,542,600,644,688,661,684,676,753,807,850,880,886,893,911,963,976,952,876,857,866,877,916,886,858,826,819,815,856,768,832,763,878,945,982,966,974,956,893,883,907,928,929,943,1000,1041,1090,1126,1141,1124,1143,1169,1164,1151,1158,1156,1163
Malaysia,3689,3407,3481,3406,3525,3454,3561,3441,3343,3471,3620,3767,3872,3949,4087,4268,4368,4330,4594,4744,4918,5158,5416,6056,6359,6265,6885,7277,7737,8177,8651,9046,9354,9689,10190,9833,9710,9979,10602,11330,12137,12938,13725,14712,15665,16778,17998,18820,16983,17564,18594,18229,18780,19390,20221,20825,21602,22567,23258,22527,23831,24696,25645,26442,27616,28603,29391,30696,31714,32811
Mali,936,951,967,983,998,1015,1032,1049,1066,1085,1093,1078,1063,1111,1140,1133,1156,1169,1187,1155,1200,1214,1248,1190,1134,1262,1400,1475,1414,1728,1501,1427,1322,1357,1393,1399,1461,1462,1433,1549,1530,1538,1459,1470,1480,1476,1531,1585,1608,1657,1617,1851,1885,2001,1984,2071,2123,2146,2194,2239,2300,2312,2233,2225,2321,2400,2473,2539,2595,2654
Malta,2163,2256,2339,2445,2535,2654,2955,2948,3101,3131,3276,3245,3107,3110,3220,3489,3886,4142,4548,4788,5346,5478,5908,6107,6685,7887,9187,10222,11105,12019,12261,12679,13092,13175,13465,13986,14547,15039,16170,17327,18223,19008,19695,20373,21324,22519,23217,24253,25331,26370,27974,27934,28553,29088,29021,29928,30364,31465,32307,31275,32224,32516,33090,34110,36289,39210,40510,42058,44352,45776
Mexico,5756,6029,6094,5936,6340,6674,6919,7215,7362,7341,7679,7720,7815,8135,8746,9010,9279,9546,9912,10186,10513,10623,11200,11810,12200,12554,12762,12882,13617,14523,15382,16347,15853,14816,14998,15075,14199,14159,14045,14356,14809,15161,15436,15604,16119,14876,15654,16497,17123,17380,18023,17735,17506,17538,18014,18223,18822,19011,18967,17717,18395,18834,19291,19331,19654,20084,20456,20669,20875,20962
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6872,7221,7590,7856,7954,7115,7522,7459,7367,7788,7445,6133,4353,4302,2979,2948,2787,2851,2690,2624,2707,2904,3166,3415,3710,4035,4280,4460,4864,4621,5001,5346,5369,5914,6273,6316,6663,7049,7408,7787
Morocco,2479,2483,2486,2501,2515,2526,2472,2418,2366,2314,2263,2285,2307,2329,2351,2374,2446,2520,2596,2674,2753,2835,2843,2886,2982,3119,3394,3491,3524,3614,3870,3695,3980,3852,3907,4043,4249,4050,4357,4351,4413,4647,4472,4363,4744,4415,4883,4735,5005,4989,5018,5316,5413,5665,5866,5988,6368,6518,6827,7039,7228,7526,7671,7935,8064,8346,8356,8613,8791,9024
Mozambique,441,450,458,467,470,490,483,485,498,515,517,520,545,514,525,526,531,554,603,659,678,707,709,729,655,546,504,492,481,473,475,473,452,414,398,358,361,381,415,433,433,454,424,445,439,422,519,561,613,646,643,709,755,786,830,882,948,997,1042,1084,1131,1183,1238,1294,1357,1411,1429,1446,1458,1480
Netherlands,12541,12616,12725,13684,14446,15323,15684,15924,15649,16182,17332,17154,18070,18473,19739,20493,20782,21629,22786,23974,25029,25767,26348,27360,28231,27972,29041,29652,30169,30636,30756,30380,29892,30293,31164,31965,32664,32915,33556,34919,36105,36695,37040,37245,38118,39112,40294,41822,43504,45391,46958,47690,47489,47339,48112,48984,50598,52393,53322,51103,51524,52080,51353,51135,51677,52456,53321,54528,55638,56305
"New Zealand",14536,14660,14050,14221,15090,15915,16155,16418,16587,17129,17424,17458,17723,18088,18728,19417,20286,20129,19429,20175,20746,20778,21362,22100,23034,23123,23005,22628,22109,22387,22651,23162,23704,23945,24560,25058,25287,25520,25469,25718,25718,24863,24799,25686,27031,27771,28381,28915,28935,30066,31160,31492,32476,33372,34405,34884,35434,36517,36081,35761,36130,36595,37300,37692,38198,38940,39717,39918,40359,40714
Niger,1148,1171,1194,1217,1240,1263,1286,1310,1333,1356,1415,1444,1564,1683,1652,1739,1681,1653,1630,1548,1560,1613,1496,1214,1290,1225,1205,1268,1405,1471,1507,1489,1437,1377,1117,1109,1132,1064,1096,1068,1017,1013,919,905,912,825,839,817,891,871,821,857,872,901,862,902,921,916,969,929,972,960,1039,1057,1100,1111,1129,1147,1168,1206
Nigeria,2214,2329,2442,2445,2551,2543,2414,2441,2344,2377,2412,2422,2487,2642,2677,2775,2608,2140,2056,2533,3217,3492,3519,3710,4020,3785,4072,4095,3741,3883,3838,3424,3292,3007,2819,2990,2969,2871,3075,3190,3271,3170,3158,3127,3057,3038,3085,3098,3100,3042,3131,3256,3636,3877,4170,4348,4523,4732,4945,5224,5668,5797,5896,6061,6286,6296,6045,5947,5918,5934
Norway,14009,14630,15001,15443,16063,16259,16965,17317,17164,17738,18587,19596,19986,20594,21457,22421,23081,24313,24644,25542,25872,27021,28181,29219,30256,31663,33350,34591,35793,37231,38806,39290,39238,40662,43002,45255,46925,47524,47149,47442,48178,49428,50900,52038,54358,56323,58856,61631,62873,63701,65317,66343,66935,67155,69403,70741,71854,73237,72678,70554,70162,69931,70897,70776,71365,72050,72266,73105,73465,74345
Oman,3742,3901,4068,4243,4419,4602,4797,4991,5203,5406,5613,5544,6508,6622,6459,6325,6484,10505,18579,22716,22812,22318,23628,19691,21268,25626,27609,26365,24537,24287,24454,27163,28828,32107,35889,39306,38689,40311,40060,40284,38910,39483,40903,41555,41620,42525,43120,45517,46704,46796,49573,51191,49771,47408,46851,46746,47890,48524,50671,51457,49729,47920,48851,47929,45550,44960,44799,42359,41509,42104
Pakistan,1218,1172,1201,1241,1240,1242,1256,1260,1244,1249,1284,1334,1388,1445,1491,1544,1592,1633,1697,1792,1837,1800,1821,1868,1891,1932,1975,2048,2117,2201,2322,2392,2479,2537,2632,2756,2838,2922,2995,3048,3111,3215,3296,3333,3405,3511,3557,3558,3607,3665,3672,3660,3721,3878,4119,4343,4507,4660,4704,4694,4763,4863,4967,5081,5208,5353,5538,5748,5897,5981
Peru,4545,4778,4899,5079,5087,5324,5419,5533,5402,5283,5848,6189,6461,6567,6825,7078,7461,7544,7259,7241,7591,7712,7740,7923,8113,8520,8411,8187,7975,8234,8396,8552,8365,7079,7239,7220,7772,8257,7418,6375,5925,5930,5775,5954,6555,6911,6981,7311,7170,7172,7265,7213,7510,7726,8014,8420,8954,9613,10381,10380,11141,11738,12310,12897,13075,13372,13778,13985,14407,14834
Philippines,2067,2222,2290,2421,2526,2621,2722,2785,2796,2898,2851,2920,2968,3081,3090,3154,3194,3264,3325,3379,3407,3491,3579,3792,3821,3926,4156,4269,4367,4486,4587,4627,4674,4648,4203,3798,3829,3898,4065,4218,4243,4126,4056,4057,4145,4241,4385,4509,4388,4429,4525,4553,4619,4750,4963,5096,5259,5499,5621,5588,5915,6031,6333,6672,6967,7271,7648,8031,8397,8775
Poland,5394,5533,5558,5770,5984,6158,6313,6530,6738,6825,7086,7553,7364,7720,7984,8347,8798,9044,9517,9349,9760,10376,11043,11770,12346,12802,12995,13114,13470,13098,12653,11871,11657,12119,12456,12477,12777,12527,12761,12529,11272,10446,10684,11062,11613,12409,13150,13991,14631,15312,16014,16219,16557,17159,18051,18690,19857,21265,22166,22819,23665,24839,25238,25605,26474,27509,28364,29723,31241,32390
Portugal,4272,4439,4426,4706,4901,5068,5251,5445,5472,5721,6053,6387,6820,7175,7614,8175,8527,9176,9979,10211,11207,12022,13014,14463,14432,13345,13954,14673,15030,15836,16472,16616,16954,16903,16564,17008,17694,18809,20206,21239,22170,22969,23707,23515,23801,24266,25020,26011,27120,28016,28874,29228,29292,28909,29363,29533,29938,30623,30640,29699,30249,29741,28658,28491,28900,29549,30213,31134,31900,32504
Qatar,351128,352703,347896,357276,373260,359798,367019,362264,362767,380120,379126,351701,335669,325578,305817,297950,367241,402817,420525,407669,376390,433005,452460,495904,417510,397744,399939,333455,341235,332061,332456,270444,210555,167795,147552,120039,93380,92922,90554,87981,84851,81550,89319,87074,87346,88333,90636,115125,124360,125356,130202,129879,133003,129351,139931,131979,142535,142832,143904,140710,148580,153577,148771,145606,143497,142325,140365,138833,138936,140156
Romania,4297,4565,4847,5130,5439,5737,5902,6078,6267,6482,6703,7094,7298,7768,8210,8675,9609,9973,9959,10267,10372,11711,12348,12640,13223,13675,14240,14421,14772,15082,15035,14858,14804,14640,15190,15120,15325,14945,14854,14327,12764,10717,9794,9957,10363,11126,11594,11063,10861,10837,11118,11715,12410,12736,14100,14791,16013,17205,18845,17845,17190,17579,17990,18672,19363,20171,21205,22761,23774,24764
Russia,,,,,,,,,,,10300,10888,11546,11872,12519,13101,13935,14724,15552,15871,17115,17735,18139,19447,20019,20693,21178,21672,21925,21997,22620,22751,22738,23022,22944,23123,23531,23350,23577,23664,22983,21764,18573,16944,14794,14199,13707,13925,13215,14099,15571,16429,17282,18631,20042,21383,23174,25183,26517,24441,25531,26804,27765,28230,28395,27661,27729,28181,28844,29253
"Saint Lucia",2540,2593,2661,2740,2819,2889,2959,3054,3190,3350,3493,3607,3713,3820,3924,4020,4108,4203,4320,4442,4549,4679,4708,4685,4865,5013,5823,6251,6602,6705,6220,6300,6405,6671,7029,7448,8587,8724,9870,10519,10746,10661,11361,11283,11317,11369,11569,11370,11980,12212,12123,11626,11607,12047,12869,12758,13484,13698,14316,14048,14033,14556,14455,14114,14065,14055,14553,15039,15141,15596
"Saudi Arabia",11903,12666,13178,14216,15537,15591,16407,16642,17097,18451,19844,21697,23719,25160,26703,29182,32558,34484,36539,38255,40677,45222,50670,58904,65802,62891,64592,69705,68932,68524,70522,71609,68737,57963,54706,48275,43171,43246,42832,42707,47985,53416,53913,51746,50752,49707,49963,49546,50013,47154,48679,46872,44297,47857,50170,51467,51454,51005,52755,50272,51334,54842,56123,55972,56462,57326,56987,55426,55614,56085
Senegal,2440,2483,2525,2566,2608,2650,2690,2730,2769,2806,2799,2858,2882,2920,2906,2927,2922,2808,2905,2639,2781,2694,2782,2549,2576,2705,2882,2719,2531,2624,2458,2362,2635,2617,2419,2432,2470,2490,2535,2406,2430,2424,2389,2359,2299,2361,2348,2362,2439,2533,2554,2603,2553,2653,2734,2811,2805,2866,2905,2889,2916,2883,2955,2962,3081,3197,3315,3469,3596,3757
"Serbia and Montenegro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17334,17555,17664,17273,17543,17500,18047,17685,17378,17637,15711,13951,10110,7002,7182,7629,8062,8674,8913,7333,7877,8305,8868,9257,10077,10654,11247,11965,12682,12313,12469,12723,12632,13028,12892,13081,13575,13953,14588,15204
Singapore,5963,6053,6126,6219,6235,6336,6270,6230,6166,5875,6207,6508,6773,7258,6829,7168,7770,8500,9514,10655,11929,13179,14673,16063,16865,17280,18266,19412,20832,22473,24342,25396,25943,27675,29394,28781,29291,31558,34177,36213,38214,39412,40858,44158,47514,49391,51637,54416,51847,53668,57030,55048,55870,56894,60836,63865,67934,72458,72127,70193,79251,82698,84512,86962,88801,89306,90143,91979,93256,93440
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14468,14992,15275,15503,15595,15154,12931,12100,12919,13666,14699,15659,16579,17221,17168,17399,18009,18831,19864,20913,22323,24208,26815,28300,26730,28051,28805,29233,29637,30422,31662,32610,33597,34924,36306
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23839,23589,23144,23049,23275,23289,23805,23500,22634,22357,20391,18565,17576,18119,19106,20514,21249,22366,23151,24355,25292,25997,26960,27710,28897,30002,31598,33733,34657,31667,31920,32060,31139,30745,31621,32325,33293,34895,36395,37461
"South Africa",6958,7112,7189,7343,7585,7768,7998,8101,8067,8220,8349,8486,8725,9116,9470,9770,9923,10322,10483,10832,11104,11350,11280,11461,11802,11723,11713,11406,11458,11616,12050,12299,11866,11287,11490,10998,10738,10698,10881,10858,10523,10198,9786,9710,9856,10034,10337,10476,10387,10501,10805,10958,11210,11377,11727,12175,12691,13199,13442,13064,13345,13695,13874,14080,14183,14173,14066,14124,14097,14130
"South Korea",1269,1169,1241,1592,1670,1737,1707,1791,1833,1846,1822,1852,1850,1955,2065,2134,2332,2444,2692,3031,3220,3465,3650,4196,4480,4698,5165,5608,6038,6380,6113,6392,6771,7439,7985,8425,9305,10276,11323,11927,12933,14131,14849,15705,16979,18418,19629,20597,19330,21364,23077,23937,25567,26182,27355,28369,29681,31144,31783,31844,33745,34719,35328,36186,37161,37997,38934,39964,40864,41797
Spain,4695,5119,5487,5421,5781,5959,6387,6533,6756,6543,6588,7370,8149,8904,9684,10214,10852,11441,11985,12937,13553,14195,15226,16432,17479,17901,18444,18945,19352,19449,19737,19701,19931,20328,20528,20851,21444,22563,23691,24840,25855,26445,26561,26151,26647,27848,28474,29401,30540,31781,33312,34405,34900,35367,35863,36575,37463,38162,37977,36297,36136,35648,34582,34103,34678,35969,37079,38094,39045,39881
"Sri Lanka",1933,1994,2025,2003,2000,2062,2024,2001,2007,1982,1998,1983,2001,1991,2036,2051,1980,2111,2216,2254,2312,2248,2252,2302,2340,2356,2385,2499,2607,2723,2823,2951,3049,3163,3278,3371,3490,3474,3515,3558,3739,4094,3920,4169,4462,4694,5229,5734,5611,5742,6188,6026,6202,6517,6816,7185,7679,8143,8569,8815,9464,10200,11073,11360,11817,12293,12699,12972,13213,13653
Sudan,2536,2586,2640,2691,2745,2801,3014,2893,2931,3190,3162,3077,3202,3027,2917,3041,2925,2758,2850,2946,2744,2852,2712,2408,2572,2811,3225,3600,3422,2955,2877,2842,3097,2960,2722,2467,2494,2497,2485,2623,2347,2430,2495,2522,2497,2595,2695,2921,2987,3020,3148,3287,3430,3623,3690,3888,4196,4587,4845,4895,4978,4901,4280,4478,4676,4746,4819,4790,4619,4500
Sweden,13146,13554,13544,13678,14253,14522,14958,15336,15624,16228,17074,17939,18647,19461,20620,21450,21898,22572,23374,24353,25268,25687,26282,27223,28130,28305,28791,28276,28156,28993,29162,28954,29278,29785,30692,31168,31931,32830,33593,34393,34531,33904,33315,32438,33525,34690,35161,36164,37677,39337,41138,41673,42399,43239,44926,46007,47899,49165,48512,45601,47923,48837,48332,48518,49289,50944,51658,52039,52711,53145
Switzerland,21136,22583,22457,22947,23989,25341,26676,27297,26344,27681,29049,30546,31140,31973,33092,33822,34344,35004,35851,37384,39419,40532,41449,42450,42942,40166,40041,41125,41188,42093,43792,44215,43348,43404,44514,45910,46484,46889,48034,49674,50949,49856,49287,48779,49006,48914,48961,49987,51328,51950,53692,54054,53734,53358,54463,55801,57664,59501,60016,57953,59052,59411,59375,59783,60504,60617,60919,61329,62458,62745
Syria,2224,2090,2572,2847,3188,2806,3239,3348,2806,2827,2791,2925,3504,3391,3358,3242,2898,3038,3052,3509,3268,3470,4195,3709,4451,5142,5517,5267,5537,5548,6008,6362,6265,6128,5671,5807,5329,5244,5742,5059,5263,5660,6229,6504,6674,6842,6849,6586,6763,6383,6372,6466,6719,6458,6752,6981,7092,7221,7287,7533,7720,8134,6122,4651,4093,3938,3844,3951,4023,4052
Taiwan,1611,1669,1809,1907,2015,2091,2124,2205,2268,2338,2380,2459,2567,2717,2953,3184,3369,3642,3845,4106,4462,4932,5476,6065,6019,6194,6892,7450,8296,8790,9252,9654,9833,10516,11470,11894,13152,15123,15650,16776,17481,18753,20116,21288,22686,23958,25239,26513,27395,29020,30627,30067,31581,32760,34762,36515,38388,40745,40891,40106,44289,45850,46613,47521,49306,49580,50227,51706,52994,53760
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4329,4236,4142,4180,4121,4041,4007,3798,4156,3739,3618,3228,2149,1894,1473,1273,1199,1198,1237,1256,1334,1445,1549,1676,1821,1907,2002,2118,2242,2286,2390,2520,2660,2805,2941,3064,3220,3393,3573,3746
Tanzania,1276,1404,1398,1316,1387,1385,1366,1363,1338,1366,1383,1329,1409,1454,1489,1497,1639,1655,1689,1669,1712,1730,1787,1785,1770,1808,1882,1878,1875,1846,1810,1739,1711,1654,1646,1594,1597,1625,1640,1645,1655,1643,1606,1573,1538,1544,1581,1599,1611,1640,1669,1634,1697,1792,1888,1980,2013,2121,2176,2233,2311,2423,2475,2569,2666,2753,2861,2972,3082,3200
Thailand,1319,1371,1403,1510,1451,1526,1501,1470,1475,1602,1741,1776,1856,1946,2016,2112,2280,2399,2521,2642,2736,2785,2823,3025,3084,3163,3377,3632,3910,4031,4125,4285,4432,4598,4782,4925,5119,5524,6168,6823,7481,8003,8627,9256,9872,10542,11007,10586,9676,10027,10392,10666,11235,11959,12632,13085,13660,14327,14502,14337,15350,15417,16470,16850,16954,17425,17951,18615,19326,19901
"Trinidad and Tobago",5093,5398,5462,5481,5425,5983,7012,7408,7775,7960,8665,8831,9029,9313,9427,9745,10028,10156,10651,10946,11427,11466,11960,12039,12549,12639,13650,14272,15689,16148,17161,17651,16323,14768,15376,14498,13802,12982,12347,12148,12271,12601,13838,13728,14217,14769,15846,17069,18493,20025,21456,22298,23954,27353,29431,31232,35723,37296,38568,36749,38060,38023,37799,38694,38251,39034,36553,35876,36068,36164
Tunisia,2067,2051,2262,2306,2316,2159,2269,2149,2395,2257,2490,2663,2558,2885,2947,3065,3068,2977,3218,3264,3388,3676,4241,4119,4345,4536,4765,4808,5008,5214,5459,5619,5485,5636,5689,5863,5632,5868,5747,5843,6186,6319,6698,6739,6864,6945,7320,7641,7928,8316,8584,8818,8845,9168,9645,9890,10316,10909,11266,11494,11767,11410,11728,11922,12131,12129,12129,12238,12419,12675
Turkey,3542,3895,4250,4601,4350,4568,4578,4789,4850,4915,4906,4848,5014,5356,5449,5466,5969,6100,6367,6553,6719,7163,7448,7588,8001,8501,9032,9220,9287,9021,8778,8920,9128,9232,9532,9791,10249,10910,11102,11004,11786,11652,12112,12839,11914,12537,13172,13909,14086,13378,14064,13043,13706,14303,15495,16685,17650,18309,18232,17136,18310,20048,20743,22217,23052,24130,24566,26054,26587,26052
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6722,6626,6534,6495,6275,6149,6166,6156,6560,5880,5760,5362,4457,4422,3579,3260,2995,2620,2755,3163,3699,4394,5021,5810,6588,7359,8070,8859,10050,10545,11380,12908,14172,15434,16837,17720,18605,19587,20580,21504
Uganda,1167,1090,1128,1147,1100,1141,1172,1189,1164,1189,1211,1165,1178,1275,1333,1323,1364,1395,1389,1496,1473,1476,1455,1418,1388,1324,1300,1286,1184,1028,971,984,1036,1081,957,944,914,934,960,990,993,977,998,1026,1066,1131,1172,1190,1224,1278,1286,1356,1407,1446,1480,1576,1632,1709,1830,1918,2001,2068,2046,2074,2098,2147,2127,2162,2224,2290
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10323,10601,10892,11323,11552,11444,11469,11763,11831,12292,11712,10670,9588,8224,6371,5636,5116,5006,4953,4988,5334,5884,6254,6903,7774,8073,8746,9520,9782,8342,8719,9228,9273,9292,8769,8003,8239,8481,8777,9037
"United Arab Emirates",137814,145766,150453,160670,173465,171712,177765,176936,177720,186917,195698,202213,211549,218314,223990,228251,231029,232143,230084,222412,214189,216397,216398,217109,248183,222150,223311,229402,196677,216364,241730,232359,200500,179170,175866,161790,120125,117599,110637,115331,121791,117462,114330,108043,109957,111443,111815,115579,110824,109208,116188,111626,108482,110639,110974,103881,99675,89242,80752,68822,64811,66091,67287,69856,72410,75384,76671,76203,76344,77991
"United Kingdom",12008,12327,12270,12712,13185,13616,13721,13873,13785,14259,14960,15326,15341,15833,16557,16875,17106,17389,18014,18260,18633,18934,19544,20810,20522,20501,21101,21627,22541,23359,22850,22646,23119,24077,24590,25550,26271,27573,29070,29731,29863,29447,29477,30149,31244,31926,32652,33966,34999,36004,37114,38022,38808,39917,40623,41615,42363,43105,42619,40501,40873,41222,41528,42095,43018,43681,44127,44627,44931,44960
"United States",15001,15935,16305,16789,16401,17263,17321,17368,16954,17830,18001,18159,18978,19521,20361,21415,22565,22933,23821,24327,24090,24570,25587,26775,26388,26075,27220,28194,29441,30040,29611,30067,29291,30421,32420,33556,34494,35467,36704,37784,38160,37701,38591,39239,40429,41136,42318,43826,45461,47315,48970,49208,49808,50979,52607,54115,55277,55931,55472,53729,54778,55331,56266,57006,58070,59405,60010,60779,62117,63233
Uruguay,8103,8617,8620,8937,9375,9307,9322,9275,9396,8452,8627,8759,8449,8382,8449,8452,8651,8210,8256,8680,9016,8922,8600,8651,8910,9421,9742,9789,10240,10809,11400,11954,10386,9710,9543,9669,10461,11223,11154,11225,11243,11590,12458,12738,13608,13356,14038,14669,15225,14718,14404,13856,12838,13100,13675,14577,15144,16098,17214,17904,19258,20207,20872,21787,22435,22458,22776,23317,23742,24128
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3759,3796,3830,3869,3625,3622,3482,3369,3581,3577,3425,3322,2878,2746,2549,2475,2468,2550,2617,2690,2754,2833,2909,2996,3184,3372,3589,3891,4199,4497,4832,5184,5555,5945,6362,6799,7343,7920,8240,8574
Venezuela,14576,14969,15611,15542,16443,17092,17822,19647,19175,19529,18842,17584,17694,17843,18679,19224,18904,19381,20021,20047,20846,20406,20013,20755,20525,20455,21349,21978,21808,21330,19806,19224,18276,17083,16844,16646,17042,17200,17737,15811,16238,17422,18076,17742,16968,17285,16914,17649,17372,16039,16338,16602,14874,13489,15693,17033,18418,19720,20446,19497,18928,19438,20246,20236,19186,17756,14540,12108,9808,9208
Vietnam,1031,1060,1087,1116,1147,1176,1197,1215,1230,1241,1252,1273,1387,1383,1403,1374,1347,1145,1096,1158,1152,1182,1257,1310,1228,1113,1268,1282,1263,1246,1187,1202,1271,1311,1396,1447,1455,1475,1530,1561,1606,1665,1776,1884,2014,2170,2336,2489,2597,2685,2830,2986,3156,3345,3560,3780,3994,4227,4413,4598,4839,5085,5295,5525,5796,6123,6441,6815,7231,7658
Yemen,1441,1450,1460,1470,1479,1489,1496,1503,1510,1516,1524,1532,1542,1556,1563,1575,1593,1611,1625,1645,1944,2235,2363,2593,2681,2819,3166,3417,3606,3702,3621,3736,3693,3795,3829,3686,3653,3682,3716,3720,3592,3636,3738,3696,3763,3813,3847,3920,4036,4072,4204,4241,4285,4322,4369,4486,4502,4526,4564,4613,4835,4108,4095,4181,4067,3304,2785,2558,2431,2426
Zambia,2344,2439,2536,2636,2738,2610,2849,2899,2753,3244,3405,3327,3210,3199,3534,4070,3747,3927,3874,3747,3807,3697,3919,3767,3953,3692,3799,3511,3431,3230,3230,3320,3112,2937,2825,2780,2702,2678,2756,2702,2860,2763,2743,2669,2254,2261,2341,2363,2289,2330,2350,2403,2446,2553,2666,2788,2929,3089,3238,3441,3690,3784,3956,4038,4107,4107,4139,4156,4177,4183
Zimbabwe,1767,1819,1826,1914,1946,2037,2248,2328,2284,2332,2364,2408,2366,2271,2403,2479,2438,2557,2518,2736,3232,3410,3587,3609,3597,3533,3420,3076,3105,3051,3265,3546,3540,3464,3268,3365,3331,3169,3341,3447,3416,3508,3107,3065,3310,3286,3564,3594,3635,3543,3359,3316,3042,2541,2378,2203,2114,2025,1685,1795,2129,2408,2781,2808,2843,2859,2841,2930,2983,2777
