Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Barbados,4270,4425,4605,4791,4972,5206,5530,5852,6116,6366,6697,7158,7461,7601,8005,8147,8659,9437,10618,11649,12844,13244,13311,13396,12698,12377,12876,13278,13875,14911,15517,15198,14390,14384,14828,14925,15624,15977,16484,17003,16368,15666,14702,14759,15001,15245,15783,16454,16992,16972,17651,17157,17210,17500,17665,18285,19242,19518,19616,18593,18121,17911,17835,17531,17443,17772,18120,18038,17899,17836
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7749,8040,8344,8712,8949,8984,9172,9226,9146,9713,9366,9230,8326,7676,6786,6054,6243,6985,7603,7880,8359,8783,9268,9970,11168,12283,13570,14790,16341,16395,17695,18713,19068,19294,19649,18932,18491,19000,19622,20154
Belgium,10730,11289,11134,11429,11843,12336,12616,12758,12654,12981,13656,14247,14896,15444,16384,16813,17239,17820,18495,19679,20843,21548,22595,23906,24835,24438,25776,25909,26624,27227,28419,28048,28433,28431,29136,29420,29849,30527,31924,32890,33780,34272,34656,34189,35183,35947,36449,37710,38372,39649,40990,41181,41726,41874,43209,43871,44675,45878,45873,44481,45183,45504,45329,45206,45571,46085,46535,47141,47510,47804
Bolivia,3536,3708,3741,3316,3314,3415,3143,2973,2977,2902,2959,2953,3048,3170,3246,3327,3484,3615,3830,3905,4010,4061,4165,4342,4455,4635,4877,4958,5001,4885,4739,4693,4411,4144,4116,4018,3821,3848,3914,3940,4049,4162,4131,4209,4308,4411,4506,4631,4762,4683,4702,4682,4700,4730,4829,4945,5083,5215,5435,5517,5646,5839,6036,6341,6580,6791,6972,7154,7351,7533
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5289,4660,3522,2636,2842,3088,4745,5778,6519,7035,7177,7314,7675,7938,8361,8678,9145,9687,10221,9919,10011,10113,10038,10283,10413,10746,11098,11445,11819,12207
Brazil,3929,4001,4118,4194,4343,4526,4457,4687,4962,5220,5488,5729,5902,5790,5811,5755,5939,6003,6356,6722,7185,7706,8316,9120,9592,9842,10506,10731,10996,11493,12211,11399,11195,10573,10914,11550,12226,12386,12115,12278,11564,11489,11239,11602,12089,12408,12245,12474,12333,12211,12564,12559,12768,12747,13314,13577,13955,14643,15232,15066,16052,16543,16716,17074,17021,16288,15629,15678,15739,15948
Bulgaria,4249,5118,4872,5366,5211,5527,5476,5997,6455,6906,7493,7906,8480,8796,9412,9908,10616,11117,11241,11698,12284,12615,13151,13599,13933,15006,15394,15174,15490,16071,15554,15921,16394,16051,16549,16022,16418,16425,16304,15997,14404,13377,12563,12692,13042,13549,12445,10424,11048,10206,10774,11268,12033,12754,13676,14755,15880,17157,18298,17730,18055,18502,18614,18810,19261,20044,20957,21888,22703,23670
"Burkina Faso",581,597,612,628,644,661,679,696,715,732,746,772,814,799,811,835,832,896,914,921,913,938,964,900,871,821,800,838,915,902,896,912,910,877,868,956,1077,1027,1079,1032,989,1044,1012,1013,990,1012,1088,1122,1167,1213,1198,1229,1227,1274,1290,1359,1396,1413,1449,1446,1520,1572,1623,1665,1685,1698,1745,1801,1853,1907
"Burma (Myanmar)",502,566,570,576,532,592,621,647,619,704,715,720,769,777,777,782,736,743,777,794,814,824,815,796,823,842,877,914,959,987,1051,1090,1128,1154,1188,1199,1165,1100,960,982,997,974,1054,1102,1164,1223,1281,1334,1391,1523,1709,1880,2083,2346,2636,2963,3317,3679,3784,3948,4127,4312,4578,4915,5257,5569,5839,6176,6249,6628
Cambodia,554,559,580,572,623,595,657,683,699,747,771,743,782,818,775,790,804,824,839,830,744,707,663,893,756,666,740,825,931,955,952,937,980,1018,1064,1110,1138,1075,1063,1050,1013,1052,1078,1070,1121,1161,1202,1225,1259,1394,1503,1607,1687,1804,1962,2190,2390,2592,2718,2673,2784,2930,3092,3264,3440,3623,3812,4016,4243,4474
Cameroon,1813,1858,1902,1946,1991,2038,2083,2130,2177,2223,2249,2239,2270,2315,2356,2361,2426,2447,2556,2629,2654,2676,2732,2711,2768,2842,2822,2892,2957,3026,3221,3651,3828,3976,4155,4383,4549,4188,3878,3427,3273,3059,2881,2711,2570,2582,2635,2700,2757,2794,2818,2865,2905,2955,3070,3047,3068,3131,3149,3130,3150,3194,3253,3340,3445,3546,3617,3650,3702,3764
Canada,13422,13867,14419,14697,14173,15097,15926,15843,15709,15971,16111,16259,17077,17610,18407,19278,20149,20393,21130,21928,22182,23124,24064,25472,26148,26353,27432,28022,28864,29766,29776,30322,29046,29593,30991,32365,32880,33775,34962,35174,34740,33584,33483,33982,35130,35703,35904,37067,38185,39834,41514,41815,42611,42975,43888,44868,45590,46082,46055,44198,45058,46015,46330,46910,47767,47711,47739,48573,48788,48896
