Country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Spain,0.14,0.21,0.45,1.52,0.46,0.78,0.78,1.2,-1.68,-1.54,0.81,-0.19,-0.15,-1.68,0.38,1.02,1.11,-1.16,0.52,1.42,0.75,0.85,1.84,0.83,-1.28,-0.56,-1.11,-4,-4.31,-2.85,-4.13,-1.97,-2.07,-4.59,-1.58,1.86,4.32,3.26,2.91,3.92,1.72,-1.84,-3.28,-0.53,1.92,1.53,3.88,4.89,4.85,4.77,3.91,2.7,2.82,2.91,3.34,3.57,2.55,0.72,-5.88,-2.27,-2.39,-4.83,-3.06,1.09,2.78,2.33,2.04
"Sri Lanka",,,,,,,,,,,,,,,,,,,,,2.65,1.62,1.68,1.58,1.51,1.4,4.38,1.67,1.7,1.09,1.38,1.56,2.08,0.32,-2.44,6.24,2.11,2.04,1.9,1.67,3.44,-1.07,5.49,-1.23,0.44,3.07,-1,8.49,1.85,6.96,1.9,0.62,-3,8.59,2.97,1.77,0.5,6.16,-1.37,4.82,5.04,3.1,1.53,1.65,1.7,0.27,0.31
"Saint Lucia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,0.14,-0.42,-0.2,0.85,2.92,3.56,5.71,-2.05,11.16,-1.96,0.48,-0.98,7.45,5.06,0.34,,,,,,,,,,,,,,,,
Sweden,-0.54,-0.09,-1.09,0.46,-0.64,-1.35,1.48,-0.14,0.18,1.31,0.92,-0.09,0.18,-0.23,0.09,-0.62,-2.75,-1.36,0.55,1.96,-2.06,-2.04,-0.58,0.8,0.47,1.17,-1.69,-2.05,0.84,1.31,-0.39,0.75,0.84,0.98,1.3,0.49,1.46,2.66,1.38,0.69,-2.34,-3.36,-3.31,1.42,1.94,-0.03,-0.99,1.59,2.62,1.05,0.62,-1.39,-1.41,0.8,0.24,1.32,3.1,1.24,-2.88,2.59,1.98,-0.14,0.36,1.45,1.6,2.34,1.28
Switzerland,2.05,2.05,2.05,2.05,2.05,2.52,1.9,-1.2,-0.36,2.39,4.83,4.01,1.69,1.71,-0.53,-0.24,0.68,0.75,1.8,1.62,1.28,0.23,-0.44,-1.55,-5.23,-3.48,-0.63,0.34,0.25,1.41,1.19,0.26,-1.37,-0.57,1.59,1.91,2.44,2.57,1.83,2.61,-3.75,-0.43,-1.11,0.58,-1.37,-1.64,-0.7,1.81,2.11,0.7,-0.7,-0.59,0.44,2.11,0.44,1.53,1.95,1.82,-0.06,0.39,2,0.58,0.13,1.38,2.29,1.63,0.44
Taiwan,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,3.49,3.3,3.38,1.11,0.47,2.4,4.97,4.28,3.81,4.11,3.57,4.35,7.41,3.01,0.58,2.65,5.4,4.04,4.73,0.8,1.74,0.29,3.13,3.34,1.19,4.04,5.29,-0.1,1.01,0.26,1.3,2.4,2.24,-0.33,3.03,-0.94,-1.42,3.65,0.95,0.67,-3.63,0.11,1.51,3.12,1.21,2.04,1.58,-1.61,-2.12,2.51,1.57,2.11,0.75,1.03,-0.4,-2.71,1.54
Thailand,,,,,,,,,,,,,,,,,,,,,2.38,-7.65,11.62,2.77,4.46,4.78,4.66,10.24,5.94,8,0.91,-8.6,16.7,4.93,-1.25,3.67,2.32,7.8,7.84,-3.39,2.95,5.47,-2.86,2.36,1.6,-2.69,0.19,-1.13,-1.42,3.12,-2.41,1.51,0.41,2.78,-1.52,-0.49,2.25,2.38,1.83,0.56,2,-1.28,-2.14,-3.63,-0.16,-0.85,0.38
Turkey,,,,,,,,,,,,,,,,,,,,,1.27,2.36,1.43,1.76,0.43,0.59,2.34,0.51,0.63,0.87,0.48,0.66,0.57,-1.85,3.12,1,0.12,1.1,4.23,1.63,4.16,2.33,-3.81,6.18,2.28,3.76,-0.69,2.97,3.41,-1.46,0.22,-0.25,-0.78,0.6,3.12,2.2,-0.18,1.61,-0.61,5.96,5.98,2.44,1.55,1.6,2.53,2.3,2.2
"United Kingdom",2.14,-0.7,0.76,2.19,2.38,0.08,-0.54,-2.07,2.03,1.87,-0.45,-0.25,0.73,1.45,-0.39,-1.24,-2.01,-0.87,-0.15,-2.18,-2.02,1.46,2.06,-0.55,-2.07,-0.98,0.64,0.59,0.88,-2.08,-4.59,-2.17,-1.07,2.51,1.4,0.32,2.27,3.72,2.83,-0.26,-4.05,-2.73,-1.16,1.4,1.35,0.9,1.74,0.77,0.9,0.24,1.01,-0.2,0.44,0.93,1.3,0.65,0.94,0.53,-2.91,0.55,0.39,1.9,1.85,2.78,1.52,1.44,0.54
"United States",5.68,1,1.13,-2.93,3.3,1.66,-0.91,-3.5,3.65,0.72,-0.68,2.51,0.8,2.6,3.44,3.5,1.1,1.81,2.43,-1.75,-0.44,2.76,3.2,0.37,-2.86,2.9,3.52,4.71,2.71,-0.28,0.21,-1.49,1.8,5.05,2.29,1.17,2.71,2.99,2.77,0.16,-1.25,-0.02,2.32,3.34,2.07,1.73,2.67,2.13,1.7,1.48,-1.31,-1.39,-0.94,1.26,1.38,1.85,0.54,-0.78,-5.28,0.15,1.96,1.6,1.2,1.89,1.86,1.19,1.18
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.07,1.23,0.51,2.39,1.15,-2.92,-0.62,-6.14,-2.82,-2.32,-1.1,-5.66,-1.98,6.12,2.77,4.03,3.91,2.99,0.24,0.92,4.95,-2.57,-0.17,2.01,-0.42,-0.31,
Venezuela,2.53,2.53,2.53,2.53,2.8,2.53,2.53,2.53,2.53,2.81,2.5,2.5,2.5,2.5,2.71,2.21,2.21,2.21,2.21,2.37,5.02,3.68,5.02,5.01,4.71,-1.37,2.34,5.9,3.02,13.14,3.01,2.06,-0.41,-0.47,2.83,5.1,4.94,5.4,0.73,4.15,4.05,3.67,2.81,3.44,5.81,2.26,6.28,5.4,-1.94,1.87,4.79,0.64,-0.03,9.91,3.93,3.39,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,3.1,3.1,3.09,3.14,3.22,2.75,3.82,0.86,1.1,3.18,1.79,4.4,3.42,4.54,11.99,5.02,1.81,1.38,0.97,4.85,1.96,2.31,2.65,2.93,2.72,1.52,3.415,5.31,2.85,2.59,-4.02,2.8,4.21,1.21,2.45,4.11,3.26,7.73,6.93,-2.32,4.73,0.56,-0.37,-4.18,0.18,0.68,1.01
