Country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Costa Rica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18,2.95,4.44,-3.74,8.05,5.18,5.64,2.08,0.95,7,5.98,1.86,2.03,4.1,2.72,2.87,1.87,5.82,3.25,6.76,1.54,-3.61,-5.66,-0.38,6.37,-2.6,0.97,0.42,-0.17,1.2
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.92,-3.07,-3.93,-4.5,-3.25,1.78,-1.96,1.89,2.1
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,1.02,1.9,2.23,2.01,3.46,0.64,3.21,1.94,1.91,1.06,6.09,4.66,-0.62,-0.27,-0.77,-3.54,-7.45,-2.42,1.74,2.69,2.21
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,1.77,0.22,-0.42,-0.7,-1.31,-0.71,-4.34,0.53,-1.38,0.43,1.94,0.34,1.25,2.49,-2.41,0.13,0.06,-1.22,-0.42,1.34,0.19,2.61,1.13
Denmark,0.45,-1.64,1.5,0.16,-1,-1.25,-0.5,-0.38,1.23,1.15,2.1,2.17,1.86,2.69,2.47,2.34,-1.46,-1.54,-0.31,-0.09,-1.97,-1.31,-1.29,-1.75,-5.35,2.15,-1.77,-0.62,0.41,0.29,-3.51,0.87,-0.37,1.11,1.44,2.68,-1.74,-1.94,-1.42,-1.41,-1.19,0.23,-1.86,-0.99,1.52,0.5,2.52,2.34,1.91,1.4,1.18,-0.35,-1.24,-0.51,0.95,2.56,0.72,0.99,-4.02,-1.97,0.99,-1.65,0.15,0.18,1.12,1.55,0.92
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.45,5.62,2.55,-4.77,5.29,9.47,-5.25,2.71,5.64,2.72,1.76,1.11,3.78,1.42,0.46,0.37,2.51,3.18,-1.36,5.41,4.63,1.45
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4,-0.04,-1.89,-4.6,0.89,0.19,0.09,2.43,0.01,3.4,4.5,0.06,-1.74,-16.39,-2.73,9.06,-0.13,0.18,0.42,2.44,0.48,0.38
Finland,0.91,0.91,0.91,0.91,0.91,0.91,1.68,1.6,-3.3,2.94,1.85,-0.75,0.19,1.23,1.17,-1.02,-2.65,-2.08,0.56,1.31,-2.43,0.09,1.03,0.02,-0.88,-1.07,-2.25,-0.65,0.89,1.81,1.56,0.33,-0.59,0.12,0.14,-1.46,0.87,1.46,0.72,-2.31,-6.79,-6.76,-5.83,-0.29,1.85,1.37,2.84,1.27,2.66,1.3,0.31,0.57,-0.36,0.69,0.95,1.57,2.05,1.8,-3.79,-0.26,0.95,0.14,-1.35,-0.68,-0.05,1.04,2.05
France,1.56,-0.35,-1.28,0.79,0.02,-1.08,-0.48,-0.83,-0.4,0.66,-1.03,0.59,1.03,1.47,-0.26,0.43,-1.27,-1.33,-2.06,0.44,0.39,-2.03,0.6,-0.74,-2.13,2.27,-1.16,-1.1,0.48,-0.05,-1.22,-3.82,-1.15,-0.91,-2.3,0.16,1.61,1.54,0.8,0.61,-0.38,-0.54,-1.95,-0.14,-0.57,0.67,0.17,0.91,1.73,0.14,0.85,-2.07,-0.19,2.08,0.31,-0.48,2.52,0.93,-2.31,0.44,0.95,-0.07,-0.96,-0.16,0.74,0.01,0.58
Germany,1.04,0.63,1.45,1.81,2.03,0.92,0.74,-0.33,-0.06,0.03,-0.17,-1.5,-1.38,0.66,-0.2,-1.47,-4.14,-0.56,0.28,0.24,-1.24,-0.95,-0.69,-2.48,-3.97,0.52,-0.76,-0.27,0.77,0.19,-1.12,-1.29,-1.55,-0.36,-0.69,-0.11,-0.8,0.34,-0.5,-1.72,-3.91,-0.6,-2.76,-0.25,-0.18,-1.12,-0.78,0.8,0.61,0.42,-0.96,-1.21,-1.51,0.17,-0.8,1.74,1.72,0.89,-3.14,1.57,1.57,-0.13,-0.31,1.19,0.95,0.65,0.44
