Country,2015,2016,2017,2018
Afghanistan,0.591334075,0.554016299,0.5353,0.516511748
Albania,0.594419983,0.467796016,0.4669,0.466100407
"Antigua and Barbuda",,0.600351764,0.6046,0.608931704
Argentina,0.623803442,0.699371325,0.717,0.734538694
Australia,0.796633503,0.82105341,0.8202,0.819263303
Austria,0.826009025,0.876256601,0.8512,0.82621854
Bahamas,,0.658269011,0.661,0.663804659
Bangladesh,0.487276993,0.362680282,0.3612,0.359674001
Barbados,,0.73736126,0.7253,0.713142874
Belarus,0.357904168,0.335905394,0.3253,0.31473463
Belgium,0.790112691,0.826772757,0.8279,0.829119283
Belize,0.633896338,0.54433442,0.5415,0.538613183
Bolivia,0.511090871,0.501342871,0.4881,0.474863883
"Bosnia and Herzegovina",0.584007243,0.587818953,0.5166,0.445479901
Botswana,0.723831807,0.566917267,0.5557,0.544514877
Brazil,0.617635414,0.640775402,0.6072,0.573540684
Bulgaria,0.622855616,0.626663718,0.606,0.585409116
"Burkina Faso",0.572457308,0.608893092,0.604,0.599186361
"Burma (Myanmar)",0.279778857,0.32713002,0.3266,0.326030024
Cambodia,0.415108107,0.33336781,0.341,0.348613346
Cameroon,0.510126373,0.422509316,0.4168,0.411082319
Canada,0.8121554,0.86810664,0.8565,0.844985427
Chile,0.734997022,0.757403755,0.7184,0.679364417
China,0.212694853,0.20826772,0.2104,0.212439225
Colombia,0.581916533,0.597976309,0.5916,0.585258145
"Costa Rica",0.760941966,0.786636705,0.7849,0.783163591
Croatia,0.625416834,0.658079654,0.6612,0.664411297
"Czech Republic",0.745688964,0.785297846,0.7397,0.694153122
Denmark,0.890937096,0.935100318,0.9339,0.932757427
Dominica,,0.5998761,0.5974,0.594923057
"Dominican Republic",0.62144598,0.560218744,0.5605,0.560767374
Ecuador,0.456175707,0.459348805,0.4742,0.489118651
Egypt,0.515417021,0.17364469,0.1963,0.219016216
"El Salvador",0.568993247,0.546270932,0.5293,0.512297943
Estonia,0.751019581,0.809445698,0.7977,0.785983675
Ethiopia,0.304555902,0.231468321,0.2168,0.202173707
