Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.53478854,3.08757485,-0.690857036,21.78607352,15.3139741,23.77917331,28.99833128,34.23508999,33.36782324,26.49586234,20.67400013,20.67537061,34.57617725,53.16952354,57.99045755,41.53483729,29.85933705,21.52500837,18.69363085,18.9486398,18.05957848,20.26784686,21.65351454,24.50654842,25.74389128,27.91357117,24.92979389
Bahamas,,,,,,,,,,,,,,,,,,12.51051893,11.34070159,12.8268106,18.28802516,18.84332282,21.46613445,20.33125577,16.34902749,19.17094063,18.42264914,18.79513702,25.1474,31.49967342,29.41471889,29.35689582,27.86137022,23.33958603,25.86069346,27.65500146,30.49376559,27.4681982,29.58144953,26.3833453,27.90020532,24.88670945,21.92326641,22.13311035,21.18878616,25.27944303,30.33285176,28.17503458,26.68849279,25.57544757,25.22123894,27.51584284,28.76532921,27.66956114,31.21373869,27.23063022,25.45595225
Bahrain,,,,,,,,,,,,,,,,,,,,,46.12728607,41.61363602,36.27808579,43.85501994,42.58086483,35.6492608,26.62716738,25.45868163,20.1996983,24.63688305,16.42982897,28.59941234,29.41670399,18.30409656,19.63313176,14.60853026,14.40526585,17.44648693,21.42273451,7.905202165,16.57502392,15.70951115,23.25411425,23.73586233,20.52001323,26.7352996,30.38747323,34.71326042,35.17118034,26.14330585,27.2863897,22.11033275,28.14455264,25.65905949,26.84450421,24.36915337,
Bangladesh,6.89426584,7.729411347,11.99040867,9.855628673,11.97516625,11.47627524,9.016898293,10.70870412,14.15480135,12.50836367,11.34465694,8.227827284,4.697696405,8.712006898,7.374857223,6.147905815,9.911362042,11.5232178,11.54679855,11.20387213,14.4393913,17.15576644,17.36327909,16.56273677,16.48425757,15.8309437,16.17645483,15.47344203,15.73598307,16.12091443,16.45867552,16.89594746,17.30502928,17.94683201,18.40255619,19.11979582,20.7299506,21.81621451,22.12141282,22.7213703,23.80856257,24.17430673,24.34141614,24.67918886,24.99183394,25.83043551,26.14414575,26.17849707,26.2022714,26.20605702,26.24665618,27.42097337,28.26233501,28.38962075,28.57787571,28.88669115,29.65256875
Barbados,,,,,,,,,,,,,,,,,,,,,19.85449584,22.25572644,18.25629164,16.09848965,13.08931688,12.4604254,12.93300317,12.93268049,14.15537398,15.45158913,15.20077896,13.59207385,7.231100859,9.619439537,11.07726675,11.85610576,11.86984777,15.10728455,18.53905903,19.12322197,17.74719646,15.31460682,17.05571212,17.90002057,18.85401565,18.54024567,18.77755645,18.33873381,18.20460983,15.01626623,13.5639145,14.86368809,13.23155708,13.03203125,13.01376157,13.87245579,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.51270208,29.04707233,31.79123851,41.03032517,32.93630713,24.7501981,23.5190201,26.83681083,26.71201808,23.70677128,25.39867306,23.76085994,22.17685159,24.95432766,28.66730144,28.4604662,32.18413716,34.09190318,37.64165103,37.27428694,40.65636626,37.21759508,35.09427306,38.79802621,34.84103294,29.03469599,25.25354798
Belgium,,,,,,,,,,,29.70250407,28.60120857,26.60056799,27.63620356,30.33981544,26.67338097,27.01725535,26.67542408,26.46215949,25.99767528,26.59613629,22.6078745,21.63216017,18.78807004,19.84888673,19.00658,18.59427417,19.66502162,21.89474774,23.56221071,24.38398621,22.87556201,22.62742844,21.96577217,22.04677593,21.82443672,21.67063378,22.29509357,22.41630773,22.71256951,23.78186212,22.59206586,20.66457019,20.86067995,22.49465202,23.6091447,23.8843208,24.44729384,25.73051352,21.66431084,22.69207699,23.99012413,23.20464516,22.18869581,23.10546237,23.20065717,22.7387331
Belize,,,,,,,,,,,,,,,,,,,,,24.10783055,26.04976672,20.75313808,20.21164021,23.54196302,21.61128377,20.36427474,21.93093473,25.37313433,30.29051356,25.65064762,29.56911725,26.62863532,28.48042339,20.55196426,21.70731015,20.35222904,20.17068707,19.06949779,24.58648782,31.70899361,24.78681225,23.83233168,20.49317124,19.55266152,20.9192948,19.30769657,19.60807886,25.59283307,19.0755127,13.22336779,17.02198536,16.00550006,18.27358747,21.04467808,22.65314216,19.99435323
Benin,11.42497178,10.96284084,11.10921134,11.61682918,9.734165832,8.777499711,8.778295118,11.82516305,12.3746563,12.66318808,11.59238015,10.28564363,13.36363688,13.07596876,18.23111591,19.30209116,16.65218578,17.75093422,16.06401038,19.0221797,15.15656795,15.67675224,27.60441693,17.32151508,12.78031782,8.939973748,13.46444464,12.92694051,15.63323062,11.81714414,14.06035642,14.47804469,13.62110874,16.05813651,17.80221471,21.41976714,17.55116797,18.54485643,18.15515708,26.90658777,23.56767986,26.05995826,21.79426961,22.1737598,22.13430461,17.81119268,18.95942579,24.08248864,20.37506653,21.90260205,23.13307456,24.13213278,22.55592129,27.81290066,28.57380977,25.97222505,27.72061343
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.25351949,13.2696564,12.65330528,11.24537859,11.74278891,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,29.91478707,32.09494668,35.17975628,38.5149227,37.45126701,43.54278831,41.65970326,36.85101074,38.42811983,32.42929419,30.38705229,31.00574839,45.58355613,43.46071488,51.29342986,45.37738299,42.2833675,32.73964491,34.77298247,38.81801952,48.19744716,60.35204589,59.87182605,57.9828141,61.90937967,49.91222104,46.13043077,36.89857342,42.91739734,45.73692034,61.6956012,67.65108888,67.86860333,45.91838555,51.70693575,53.9965801,50.08753827
Bolivia,8.894230962,6.813981308,9.971155814,9.260171986,9.245843749,10.18760993,10.16152652,9.31776085,15.74448807,15.70730724,16.38530288,16.83571538,20.13755981,20.41704586,14.58144958,23.02256952,19.184547,19.1573373,24.69482195,20.83139342,16.63760667,16.05104809,15.62400866,13.23822872,19.67160545,19.46433839,13.55892669,13.50803938,13.98077831,11.5875602,12.53193652,15.57777054,16.70433814,16.56377258,14.37119645,15.24400457,16.23722012,19.63196933,23.60651199,18.77185221,18.14347892,14.26843529,16.29467272,13.23207319,11.02170245,14.25362106,13.8653305,15.1860517,17.55274034,16.97126133,17.00701824,19.81555272,17.67299206,19.01772662,21.03379709,20.28127665,20.79272175
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.98314608,41.2139014,41.99999937,38.00000028,27.99999949,20.55127787,19.07744007,18.55987245,18.84448281,19.39999648,27.20295234,21.63272159,25.37017441,26.65757982,19.3548706,15.91025298,18.34564764,18.83182393,17.83582934,18.80219931,18.31660105,
Botswana,6.015737723,7.399437813,8.799062314,9.807095197,12.28287051,13.26219512,21.81571816,25.44620031,30.73684211,38.25382538,45.32269761,50.44052863,50.94413847,50.89997049,47.87208464,41.89986674,33.77125193,33.46482577,36.36363636,37.21939539,40.05214966,43.40567613,37.65848524,29.38912004,29.44353062,22.99441288,21.48534526,15.50083346,23.58451549,36.10818292,37.36697697,33.2101747,30.41930063,28.77953098,25.98254421,27.13013375,23.44352121,24.0519866,37.93667259,25.62595125,29.55108039,29.88813662,30.19380521,30.14300769,31.47970201,27.15034196,25.90469664,30.79236437,36.18710855,38.9302334,41.41207236,37.76142605,38.13663054,29.40907611,27.85635518,32.10984628,
Brazil,19.6780414,21.35613949,19.60466029,19.25988423,18.60239795,20.02392464,19.89289111,16.91871444,18.91756155,22.35219861,20.54203211,21.11791444,21.17081374,23.24408983,25.38869013,26.83887315,23.11621066,22.0691466,22.97322186,22.7644531,23.34647495,23.08412049,21.09376443,16.68204411,15.74056011,19.20075347,19.09310889,22.30466061,22.71852835,26.90278706,20.16660691,19.76910062,18.93460235,20.84635875,22.99348937,19.1775141,17.26700852,17.76399055,18.1646948,17.38954557,18.90312094,18.74177279,17.44902565,16.85670895,17.9125016,17.20486284,17.81647264,19.81933365,21.61937589,18.7961497,21.8013473,21.82629396,21.4172046,21.6937857,20.54839701,17.61140438,15.44584679
