Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brazil,,,,,,,,,,,,16.3,16.2,16.3,16.4,16.3,16.1,16.0,15.8,16.1,16.25,16.4,16.55,16.7,16.1,
"South Africa",,,,,,,,,,,,,,,,,,,,,10.4,10.0,9.5,9.1,8.2,8.8
Australia,7.3,7.6,7.5,7.7,7.4,7.1,7.1,7.4,6.8,6.7,6.6,6.7,7.1,6.8,6.8,6.9,6.4,6.4,6.4,6.5,6.5,6.5,6.4,6.1,6.2,6.3
Austria,,,,,,5.9,5.9,5.3,5.5,5.6,5.1,5.3,5.2,5.3,5.9,6.2,5.8,5.8,5.7,5.9,6.0,5.8,5.9,6.1,5.9,6.0
Belgium,,,,,,10.0,9.6,9.4,9.9,8.2,7.1,7.0,7.5,7.1,6.1,6.4,6.3,6.6,6.3,6.7,6.4,6.6,6.9,6.7,6.8,7.1
Canada,,,,,,,,,,,,,,,,,7.7,7.9,7.7,8.5,8.1,8.0,8.0,8.2,8.2,8.3
Chile,,,,,,,,,,,,,,,,,,,,,19.8,21.0,20.5,15.1,16.5,20.9
"Czech Republic",,,,,,,,5.2,5.9,6.5,6.7,7.0,7.1,8.3,7.8,7.1,7.3,7.5,7.6,8.2,9.2,9.9,10.4,9.8,9.9,9.6
Denmark,,2.0,2.2,2.2,2.5,2.2,2.7,2.1,2.1,2.3,2.4,1.9,1.9,2.4,2.3,2.6,2.7,2.8,2.7,3.1,3.3,3.2,3.4,3.4,3.3,3.1
Estonia,,,,,,,,2.0,3.5,3.6,4.0,2.8,3.0,3.4,3.5,3.2,3.4,3.5,3.1,3.3,3.6,3.1,3.4,4.1,4.0,4.5
Finland,,,,,,7.1,7.9,6.6,6.2,6.4,5.9,6.0,6.2,5.8,5.6,5.9,5.6,5.5,6.0,6.4,6.1,5.9,6.2,6.2,6.5,6.4
France,,5.2,5.0,4.6,4.6,4.5,4.2,4.2,3.9,3.8,3.8,3.7,3.6,3.9,3.6,3.7,4.1,3.9,3.7,4.1,4.5,4.5,4.6,4.7,5.2,5.2
