Country,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Argentina,,,,,,,,,,,,,,,340826,318277,308152.5,298028,290656,
Australia,,,,,,,,,,,,,56120,55725,54475,62434,63675,64765,65855,
Austria,,,,,,,,55267,53511,55335,50961,58377,71592,84807,52142,50219,44039,42973,41907,42535
Belgium,,,,,,,,66476,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,1438,1470,,,,
Brazil,,,,,,,,,,,,,,,446878,,,,,
Bulgaria,,,,,,,3230,2885,2745,2632,2391,2326,,,,,,,,
Chile,222874,185568,141668,152898,154771,160007,157516,160493,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,22637,22636,,,,
"Dominican Republic",,,,,,,,,,,,1205,,,,,,,,
"El Salvador",,,,18070,23163,17595,15562,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,2397,2532,2615,2967,3131,3289
Finland,,,,,,,,,,,,,32746,33831,34916,33883.5,32851,,,
France,482318,496563,512809,539297,526768.8,514240.6,501712.4,489184.2,476656,478769,487275,471322,424669,424965,,,,,,
Guyana,,,2206,,,,,,,,,,,,,,,,,
Hungary,19839,19788,19480,19748,18385,17902,18017,16415,16366,15556,14376,14912,14859.125,14806.25,14753.375,14700.5,14647.625,14594.75,14541.875,14489
Ireland,,,,,,,,,,,,,21554,27166,,,,,,
Italy,480616,486418,495840,507259,485438,457701,445173,432984,411698,401908,386292,359730,332040.3333,304350.6667,276661,241047,216678,204478,195968,196974
Latvia,,,,,,,,,,,,,725,,,,,,,
Macau,,,,2154,2192,2301,2452,2741,2970,1706,2670,2404,3051,2968,3191,3575,3591,3811,3920,
Malaysia,,,,,,,,,,,,,,,,,27735,26609,25483,
Malta,,,,,4562,4438,4208,3611,3496,3848,3829,3499,2907,2803,2531,2559,2554.3333,2549.6667,2545,2551
Mauritius,,,,,,,,,,,,,,,995,865,838,811,784,863
Mexico,,,,,,263327,240470,240912,249458,256805,245442,361542,,,,,,,,
"Antilles (Netherlands)",1291,1057,1138,,,,,,,,,,,,,,,,,
"New Zealand",15957,13214,2741,16208,17749,18843,19693,20339,20390,19984,19398,18722,16594,14798,,,,,,
Panama,,,14226,12533,11982,11477,10279,9672,8799,8328,8404,,,,,,,,,
Peru,,,,,,,,,,,,,,,4192,14327,17035,9119.5,1204,
Romania,6232,5336,5032,5083,5249,4918,4449,3965,3512,3544,3080,3063,2354,2355.5714,2357.1429,2358.7143,2360.2857,2361.8571,2363.4286,2365
"Saint Vincent and Grenadines",,,248,60,74,72,55,84,74,66,79,176,,,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,9338,
Slovakia,,,,,,,,,,,,,,,5902,5563,5559,5780,6001,6009
Spain,567905,628651,720214,763068,764393,748270,693666,689821,706755,720073,719561,607809,450862,410667,365798,320766.5,275735,289032,315046,
"Sri Lanka",,,1731,1709,,,,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,2986,
"United Kingdom",,,,,,,,,,,,,,,,,,64630,,
