Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Algeria,14.8,14.77,14.74,14.71,14.68,14.65,14.62,14.59,14.56,14.53,14.5,13.19,11.88,10.57,9.26,7.95,6.64,5.33,4.02,2.71,1.4,2.2,3,3.8,4.6,5.4
Argentina,213.6,224.98,236.36,247.74,259.12,270.5,281.88,293.26,304.64,316.02,327.4,318.9,310.4,301.9,293.4,284.9,276.4,267.9,259.4,250.9,242.4,220.88,199.36,177.84,156.32,134.8
Australia,626.2,626.81,627.42,628.03,628.64,629.25,629.86,630.47,631.08,631.69,632.3,610.754,589.208,567.662,546.116,524.57,503.024,481.478,459.932,438.386,416.84,,,,,
Austria,3.45,3.884,4.318,4.752,5.186,5.62,6.054,6.488,6.922,7.356,7.79,7.591,7.392,7.193,6.994,6.795,6.596,6.397,6.198,5.999,5.8,5.802,5.804,5.806,5.808,5.81
Azerbaijan,,,,,,,,,,,,,,,,,,,,,81.64,82.584,83.528,84.472,85.416,86.36
Bahrain,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,
Bangladesh,7.5,7.07,6.64,6.21,5.78,5.35,4.92,4.49,4.06,3.63,3.2,4.699,6.198,7.697,9.196,10.695,12.194,13.693,15.192,16.691,18.19,,,,,
Belarus,5.8,5.94,6.08,6.22,6.36,6.5,6.64,6.78,6.92,7.06,7.2,6.89,6.58,6.27,5.96,5.65,5.34,5.03,4.72,4.41,4.1,3.98,3.86,3.74,3.62,3.5
Belgium,,,,,,,,,,,,,,,,,,,,,1.81,1.748,1.686,1.624,1.562,1.5
Belize,14.07,13.342,12.614,11.886,11.158,10.43,9.702,8.974,8.246,7.518,6.79,7.282,7.774,8.266,8.758,9.25,9.742,10.234,10.726,11.218,11.71,11.6,11.49,11.38,11.27,11.16
Bhutan,,,,,,,,,,,0.19,0.205,0.22,0.235,0.25,0.265,0.28,0.295,0.31,0.325,0.34,0.358,0.376,0.394,0.412,0.43
Bolivia,270.33,263.302,256.274,249.246,242.218,235.19,228.162,221.134,214.106,207.078,200.05,199.114,198.178,197.242,196.306,195.37,194.434,193.498,192.562,191.626,190.69,201.06,211.43,221.8,232.17,242.54
Brazil,4254.8,4342.25,4429.7,4517.15,4604.6,4692.05,4779.5,4866.95,4954.4,5041.85,5129.3,4803.15,4477,4150.85,3824.7,3498.55,3172.4,2846.25,2520.1,2193.95,1867.8,1833.38,1798.96,1764.54,1730.12,1695.7
Burundi,8.25,,,,,,,,,,,,,,,,,,,,,,,,,
"Cape Verde",,,,,,,,,,,2.84,2.746,2.652,2.558,2.464,2.37,2.276,2.182,2.088,1.994,1.9,1.684,1.468,1.252,1.036,0.82
Cameroon,90.55,88.665,86.78,84.895,83.01,81.125,79.24,77.355,75.47,73.585,71.7,70.33,68.96,67.59,66.22,64.85,63.48,62.11,60.74,59.37,58,58,58,58,58,58
Canada,54.42,54.023,53.626,53.229,52.832,52.435,52.038,51.641,51.244,50.847,50.45,49.535,48.62,47.705,46.79,45.875,44.96,44.045,43.13,42.215,41.3,40.544,39.788,39.032,38.276,37.52
"Cayman Islands",0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,
