Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,,,,,,,,,53,72.3333,91.6667,111,130.3333,149.6667,169,188.3333,207.6667,227,10,12,68,49,35.5,22,5,31,4,8,39,38,201,74,163,275,367,731,1198,1089,1066,1058,1522,3519,3696,5408,6213
Albania,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,7,26,16,6,5.6667,5.3333,5,4.6667,4.3333,4,3.6667,3.3333,3,2.6667,2.3333,2,1.6667,1.3333,1,
Algeria,,,,,,,,,,,,,,,,,,,,,3,42,236,368,500,417,529,4266,952,467,528,624,615,269,166,228,185,279,249,204,109,25,30,101,37,21
Angola,,,,,,,,,,19,11,3,2,282,179,6,119,5,145,88,147,69,97,102.5,108,52,18,34,275,299,178,846,59,50.8571,42.7143,34.5714,26.4286,18.2857,10.1429,2,4,,,,,
Argentina,5,5,5,16,21,123,122,7,13,11,7.6667,4.3333,1,1,1,2,2,3,1,26,1,1,32,59,86,43.5,1,3,,,,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,2,8.5,15,2,2,4,6,8,4.5,1,1,1,1,1,1,1,1,1,,,,,,
Australia,,,1,1.1667,1.3333,1.5,1.6667,1.8333,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2.5,2,2.1111,2.2222,2.3333,2.4444,2.5556,2.6667,2.7778,2.8889,3,3.1111,3.2222,3.3333,3.4444,3.5556,3.6667,3.7778,3.8889,4,2
Austria,,,4,4,4,4,2.5,1,1.5,2,2.5,3,2.6667,2.3333,2,4,3.75,3.5,3.25,3,3.5,4,4.5,5,5.5,6,5.6429,5.2857,4.9286,4.5714,4.2143,3.8571,3.5,3.1429,2.7857,2.4286,2.0714,1.7143,1.3571,1,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,26,186,108,30,16,2,1,1,1,1,1,1.5714,2.1429,2.7143,3.2857,3.8571,4.4286,5,1,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,8,5,4.6364,4.2727,3.9091,3.5455,3.1818,2.8182,2.4545,2.0909,1.7273,1.3636,1,1.75,2.5,3.25,4,3,9,5
Bangladesh,,,,,,,,6,6,6,6,6,4.3333,2.6667,1,27.5,54,26,87,131,66,69,101,65.5,30,35,89,14,22,30,10,57,21,3,33,43,19,1,9,18,15,9,8,16,38,76
Barbados,,,,,,,73,68.625,64.25,59.875,55.5,51.125,46.75,42.375,38,33.625,29.25,24.875,20.5,16.125,11.75,7.375,3,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.8571,2.7143,3.5714,4.4286,5.2857,6.1429,7,7.8571,8.7143,9.5714,10.4286,11.2857,12.1429,13,,,,
Belgium,,,,,,,,,1,1,2,6,4,2,6,10,5.5,1,1,4,2,1,1,1.6,2.2,2.8,3.4,4,3.8,3.6,3.4,3.2,3,2.8,2.6,2.4,2.2,2,1.8,1.6,1.4,1.2,1,2.5,4,
Belize,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4.5,5,,,,,,,
Bolivia,,,,,,,,,,,11,1,1,1,1,1,1,1,2,2,6,7,5,3,1,2,3,4,,,,,,,,,,,,,,,,,,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,55,29,3,2,2,5,2,1,1,1,1,1,1,1,1,1,2,1.5,1,1.6,2.2,2.8,3.4,4
Botswana,,,,,1,1.1538,1.3077,1.4615,1.6154,1.7692,1.9231,2.0769,2.2308,2.3846,2.5385,2.6923,2.8462,3,1,3.5,6,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,2,1.875,1.75,1.625,1.5,1.375,1.25,1.125,1,4,19,2,27,23.75,20.5,17.25,14,9.6667,5.3333,1,3,12,28,21.5,15,13,22,28,14.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3
Bulgaria,,,,,,,,,,,,,2,1.9167,1.8333,1.75,1.6667,1.5833,1.5,1.4167,1.3333,1.25,1.1667,1.0833,1,3,9,7.75,6.5,5.25,4,2.5,1,1.7,2.4,3.1,3.8,4.5,5.2,5.9,6.6,7.3,8,,,
