Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,43529,45294,48000,47889,46667,47789,57293,66316,67493,63089,73421,65104,67763,66325,70067,47332,60526,68074,70296,71709,73745,73780,75434,76097,75776,77641,79649,79433,80000,89606,92810,92310,92606,93001,96675,96880,97106,97240,97591,98439,100880,101931,104483,114444,94364,98765,102713,101417,102547,97220,92384,90810,95455,109261
Albania,135238,127826,126667,126552,126756,116803,115918,110455,95197,130634,127628,140828,142267,142222,150000,144103,145894,146047,145909,137190,144958,151681,167702,159402,167273,168696,169565,133478,170435,161198,162684,170855,176147,192252,206118,223990,208559,212576,222814,223384,218629,224404,207643,210912,204227,221282,226065,238409,234878,233441,237810,231709,246764,257531
Algeria,94680,98873,95138,80977,73026,77654,69284,72057,75088,72927,69768,60572,62421,64945,77193,55734,52830,54022,55916,62357,58552,58122,60015,63774,68890,78190,81799,78533,88702,76322,90158,95078,103819,99243,107862,105078,106224,114496,118173,112271,121529,119223,131392,146726,146335,140229,146686,149429,149489,174361,180588,188132,203881,223383
"American Samoa",48571,48571,50000,48571,49730,50000,52593,51111,49259,49259,48214,42727,43030,44545,45758,47576,48571,44643,45000,48140,53750,51887,52830,54906,58868,63519,66182,68750,68947,73621,75932,78167,79032,74653,72312,69736,67108,75614,60909,54779,50500,46637,42332,43007,43341,42461,43802,41979,41402,40968,40500,39779,39248,38599
Angola,60949,61679,60563,60554,60825,59091,59105,58750,59259,59091,59459,54810,55899,58708,55618,56486,56579,56997,56328,55932,56386,58025,57073,56429,58105,57664,58151,57447,57882,56635,54866,55329,55999,56040,55411,54792,55292,54792,53556,56000,56957,56470,56539,56178,58245,55436,82690,63173,50608,50376,47921,45413,44478,45584
"Antigua and Barbuda",36000,37500,39286,40833,42326,44898,44265,46067,42833,43960,45455,45825,45804,43976,46857,46934,44369,46324,49522,52748,58781,61695,65044,61000,68805,70769,75040,77057,72632,75082,77402,77037,75183,73997,71059,72335,71980,71736,71548,70862,70562,70346,69366,69426,69292,68646,68495,67541,67420,67280,66583,66137,65362,65801
Argentina,109898,109024,105133,111151,111213,111712,114693,114873,115999,116201,114943,114986,118080,119072,122532,116980,113588,115550,120068,120765,121765,136269,135639,131028,133850,144170,135926,136739,137836,140570,139643,141372,132312,146686,171006,159450,167263,169304,176767,167732,172176,170557,169804,172550,176892,171745,169346,172494,171737,175177,177019,185860,178973,177509
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181414,203529,202381,206557,203090,170498,201941,214021,182934,221380,231237,251726,271606,291034,313587,334260,339668,344453,300838,315577,349833,353363,373168
Australia,100353,102981,100742,111812,108846,116406,117607,112625,122843,127001,128588,126627,123577,125957,127377,132832,144803,159762,148868,157176,156391,153499,164371,172898,181262,178931,184832,184814,187169,196452,206572,203335,193025,209326,207567,211669,208264,217322,215539,227214,246019,266166,231854,252432,253364,256649,266626,307167,300863,283413,246353,277606,305908,239943
Austria,263101,238935,271841,268865,253113,265772,249653,241759,235585,241762,235630,243904,248686,252962,264351,231677,266971,254222,270118,280105,276075,291035,246019,332609,344420,329035,336976,324141,301856,294768,309424,278147,312000,341368,321753,313643,353570,331467,393551,373020,392722,406983,370845,398152,389477,383659,364301,361939,388435,391127,436443,411403,381525,433503
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148702,151880,133094,133916,157968,154630,132848,125628,124722,116120,128515,134070,130733,132091,132959,133638,144654,143661,146222,148555,154403,157083,156964
Bahamas,112883,112500,114620,112360,113333,113973,115251,115323,116015,115792,115587,119298,117550,118313,113628,124318,122973,119285,122391,123006,129827,124138,125000,125456,98496,93202,98929,97920,97927,97802,97744,95753,94501,92898,92618,92038,92110,94292,89205,82093,84472,85438,88521,88785,88896,88920,92339,97911,97448,102517,102051,91084,99233,102325
Bahrain,155556,123891,127014,127014,127423,192057,192397,199247,196667,202422,202832,204785,189652,198520,273599,325696,330274,326765,288956,284425,117986,133918,130881,135649,133162,133438,130049,130680,123174,130439,124223,129348,117576,120646,112327,116758,118301,123876,112335,117272,126402,109354,128309,121188,114444,283478,275199,272962,276949,269179,278143,286862,293363,300222
Bangladesh,55562,56233,53722,55059,58865,65375,66581,68840,70782,70982,70224,66866,62836,61645,65516,62082,60041,61835,61737,60969,59057,59896,60876,61583,60840,60171,59496,60057,58131,63258,59923,59945,59685,60491,61044,60366,61878,61127,56396,60010,59525,59682,58714,60913,65946,68796,70572,72795,73378,75531,78596,81381,81776,85438
Barbados,63354,64326,65138,68774,73088,70433,71429,71951,75823,82818,84421,83294,84376,86039,85279,85248,90477,87492,77374,47972,50042,50058,50465,68734,91786,87726,83357,77468,74418,72146,72243,71919,73939,69831,78219,76503,81169,92269,104468,107923,108557,108727,115074,109162,103907,103768,103197,96053,103095,108620,111731,98224,113373,103200
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135380,161231,144404,133883,141647,135456,146231,138543,135431,142300,157479,189788,203794,208884,241521,252809,268070,281703,286947,262121,251572,253797,258903
Belgium,308931,289042,295854,325701,352504,294322,411608,368713,339057,326757,380853,335080,325851,322695,326812,277789,335754,295751,310320,321153,300033,278888,288460,294455,290597,297479,270623,300498,322555,337540,353564,377246,424698,403563,387609,372938,379228,369146,378517,,,,,,,,,,,,,,,
Belize,60440,60440,60465,60465,60465,59375,61538,60000,60870,61111,60000,56757,57143,57143,57143,56098,56098,57831,55814,55556,56522,58065,58333,58333,58000,54400,63158,58824,85417,71368,105487,125807,122182,87709,77884,83479,65647,88557,96535,110923,99305,110324,98930,98822,93616,94131,94112,85771,85205,74345,66081,69637,63489,68115
Benin,31303,30548,32216,32235,31638,31064,31457,31224,32211,37717,36322,34887,37965,37215,38911,38086,35789,34594,39950,38999,40007,38219,39690,40904,43494,44430,42222,43293,43754,42379,44832,46559,44078,44358,44826,38926,41120,37355,41651,38172,37181,34977,36377,40728,39025,49423,42243,41801,42805,40187,42008,46783,43264,63649
Bermuda,109568,95174,97173,98571,96350,96010,94944,94884,92290,107135,111233,116522,112545,110357,117680,119220,116928,115484,113375,111279,113536,115027,112766,117414,115745,114362,115134,122956,127179,124188,124662,125926,127736,128732,130065,119037,121167,121774,122996,123244,123500,125296,125145,126442,127925,129324,126323,133315,134707,137015,139358,147942,142943,141593
