Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.61,6.51,4.1,4.4933,4.8867,5.28,4.95,5.26,5.9,7.85,7.69,7.84,7.31,6.27,5.82,7.91,8.09,7.66,5.5,6.4,4.76,5.5,5.71,,,,
Argentina,,,,,,,,,,,,,,,,,5.12,5.5,6.63,6.23,5.87,5.8143,5.7586,5.7029,5.6471,5.5914,5.5357,5.48,5.49,5.21,5.28,5.35,5.42,5.43,5.76,5.27,5.19,5.25,5.81,5.77,5.78,6.21,6.12,6.3,6.33,6.18,6.38,6.43,7.02,7,6.69,6.92,7.06,7.26,7.7,7.69,8,8.02,8.25,8.41,8.45,8.91,8.86,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.09,4.9,5.12,5.34,5.56,6.23,5.42,6.04,5.89,6.37,5.66,7.09,6.56,5.76,4.5,4.55,4.81,5.55,5.27,6.41,6.27,6.06,6.28,7.1133,7.9467,8.78,9.26,9.74,10.44,8.18,8.88,8.4,
Australia,2.79,2.96,2.96,3.7,2.95,2.94,3.44,3.16,3.2,3.27,3.42,3.57,3.82,3.87,4.29,4.21,4.49,5.11,5.06,4.95,6.39,6.69,6.27,6.88,6.65,7.02,7.78,8.91,8.98,9.36,9.68,9.54,10.53,11.38,11.22,11.38,11.86,11.26,12.69,13.04,12.57,13.46,12.78,13.26,13.54,13.54,13.7,13.62,13.06,13.04,13.81,13.85,14.26,13.52,13.34,13.565,13.79,14.32,13.85,14.12,14.35,14.06,,
Austria,,,,,,5.01,6.25,6.08,6.42,6.3,5.3,5.59,6.12,5.95,5.74,5.9,6.29,6.11,6.47,6.24,5.79,6.61,6.32,6.5,6.88,6.84,6.58,6.63,6.97,7.06,7.29,7.39,8.19,7.89,8.87,7.98,8.23,9.15,9.38,8.59,8.76,9.73,9.37,9.62,10.3,9.68,10.5,10.9,10.81,10.95,11.65,10.78,11.86,11.25,12.11,11.53,11.61,13.24,13.23,13.05,13.48,13.89,14.33,13.49
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52,5.5,5.14,4.78,4.42,4.87,5.65,5.51,4.83,13.03,6.93,5.26,4.47,4.83,3.49,4.27,4.07,3.52,4.11,3.95,4.18,4.87,4.72,4.75,4.0833,3.4167,2.75,,,,,,
Barbados,,,,,,,,,,,2.86,4.52,4.83,6.01,2.97,2.5233,2.0767,1.63,2.29,5.27,2.65,1.4,0.57,2.55,1.96,6.09,3.67,3.39,3.66,4.36,2.71,4.29,5.11,3.93,1.61,5.18,2.7,4.24,3.03,3.56,2.1,5.01,6.13,3.66,2.33,3.69,3.462,3.234,3.006,2.778,2.55,1.31,5.05,3.53,1.75,4.55,1,1.79,1.75,5.2,5.17,6.2,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79,3.76,3.9367,4.1133,4.29,4.29,5.01,4.45,4.56,4.53,5.07,5.12,4.9,4.36,4.36,4.475,4.59,4.22,3.66,3.8,3.72,3.68,3.6,3.58,3.56,3.54,3.52,3.5,3.43,3.465,3.5,,
Belgium,,,,,,3.73,3.2,3.83,3.8,3.64,3.81,4.21,4.45,4.1,4.59,4.34,4.1,4.78,4.57,4.59,4.37,4.51,5.15,5.69,5.23,5.8,5.76,6.06,5.74,5.91,6.1,6.78,6.35,6.43,6.35,7.14,7.59,7.37,7.54,7.7,8.39,8.55,9.25,9.13,9.67,9.71,9.48,10.39,10.04,9.86,10.2275,10.595,10.9625,11.33,11.64,12.81,13.16,13.29,13.98,13.6,14.89,15.65,14.57,
Belize,,,,,,,,,,,,,,,8.14,8.1,8.89,6.6767,4.4633,2.25,2.235,2.22,5.05,6.9,4.785,2.67,2.54,2.41,2.42,2.43,2.44,2.45,2.46,2.47,3.9,3.895,3.89,1.87,1.55,1.23,3.04,3.3167,3.5933,3.87,4.74,4.34,3.94,4.99,1.72,1.64,7.36,4.23,6.5,2.71,2.49,7.7,12.29,6.27,6.11,7.34,6.95,2.82,4.44,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.81,3.65,3.8,4.05,4.09,4.25,4.31,4.68,4.81,4.61,4.8,5.03,5.14,4.97,5.25,5.38,5.37,5.64,5.58,5.85,6.06,6.05,6,6.36,6.58,6.66,6.99,7.23,7.41,7.4,7.55,7.75,7.9,
Bulgaria,,,,,,,,,,,,,,,7.8,6.74,6.65,7.1,6.58,6.37,5.97,5.75,6.48,6.43,6.22,5.72,5.94,6.31,5.46,6.34,5.68,5.69,5.28,6.35,6.73,6.97,6.47,6.6,6.27,6.11,5.84,7.03,6.29,6.74,6.58,7.17,6.83,6.15,6.41,6.83,6.55,6.21,6.27,6.25,6.67,7.95,7.01,7.62,7.35,7.36,6.88,7.96,8.51,
Canada,2.86,3.28,3.55,3.35,3.34,4.16,3.55,3.43,3.37,3.55,3.48,3.86,4.48,4.25,4.56,5,5.16,5.64,5.81,5.97,6.33,6.52,7.88,8.25,8.9,9.32,9.51,10.79,11.48,12.54,13.07,13.89,14.92,15.25,16.85,18.13,18.24,19.24,20.06,20.09,20.53,21.99,22.14,23.31,23.5,22.78,24.59,23.35,24.89,24.92,24.71,24.44,25.09,25.02,25.53,25.17,25.66,25.23,25,24.89,24.63,23.8,,
Chile,,,,,,4.15,3.76,4.24,4.13,3.86,4.42,4.49,4.29,4.74,4.43,4.35,4.74,5.2,4.33,5.07,4.98,5.08,4.32,4.41,4.6,4.67,5.24,5.18,4.48,5.85,5.54,5.26,5.38,5.56,5.74,5.89,5.89,5.84,5.53,6.07,6.12,6.08,6.28,6.96,6.3,6.69,7.07,7.26,6.62,6.84,6.9,7.39,7.32,7.1,7.38,7.76,7.97,7.91,7.8,7.86,7.6,8.31,8.62,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.54,14.72,14.39,15.98,15.04,15.49,15.38,15.82,16.15,16.32,16.85,17.77,18.15,18.36,,,,,,,,,,,,,
Colombia,,,,2.52,2.5,2.46,2.17,2.37,2.36,2.2,2,2.53,2.72,2.51,2.62,2.98,3.25,3.16,2.71,2.71,2.9867,3.2633,3.54,3.57,3.6,3.74,4.27,4.44,4.5771,4.7143,4.8514,4.9886,5.1257,5.2629,5.4,6.09,5.88,6.43,6.09,6.45,6.22,7.11,7.03,6.88,6.48,6.92,7.26,7.34,6.65,7.51,7.2,7.24,7.35,7.77,7.89,7.82,7.8,7.38,7.11,7.06,7.1,6.69,,
"Costa Rica",,,,,,,,,,,,1.94,2.19,2.91,3.8,1.72,2.33,3.09,3.52,3.31,3.28,3.99,3.97,2.37,4.66,5.03,3.73,4.25,4.43,3.73,5.05,5.96,6.14,4.22,4.77,5.32,4.66,6.09,4.28,6.75,4.63,4.7,4.39,4.81,4.41,4.75,4.93,5.63,3.74,4.78,5.24,4.33,3.65,4.68,4.57,4.48,3.11,3.28,3.13,3.13,3.68,3.36,3.29,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.43,8.09,7.5,7.57,8.11,8,8.32,8.25,7.1,7.94,7.55,9.02,8.51,9.96,8.85,10.48,9.74,10.42,11.05,11.07,11.17,11.78,11.89,12.35,11.89,12.92,14.08,12.88,13.62
Cuba,,,,,,,,,,,,,,,13.85,13.56,13.27,12.98,12.69,11.46,14.6,13.45,13.66,14.48,13.14,12.96,12.89,12.9,11.23,12.43,11.98,11.57,11.89,12.51,12.91,12.57,12.95,12.96,13.38,13.62,13.36,13.16,14.21,13.49,12.08,12.87,13.57,14.4,14.45,14.67,15.65,15.59,16.57,17.27,17.23,17.96,17.98,18.61,19.6,19.3,19.62,18.51,18.18,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.62,9.16,8.69,9.27,9.36,10.54,10.7,10.08,11.21,11.65,11.66,11.27,11.57,12.53,12.54,13.04,12.32,12.82,12.65,12.78,13.44,12.98,13.03,12.73,13.16,14.04,14.28,13.52
