Country,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Czechoslovakia,2.43,2.54,2.5,3.1,2.82,3.2,3.57,3.22,3.51,3.81,3.5,3.67,4.35,4.15,4.48,3.78,4.38,4.78,4.36,5.04,4.99,4.73,4.74,5.39,4.84,4.96,5.27,4.78,5.12,5.37,5.38,5.61,5.91,5.51,5.85,5.97,6.49,,,,,,,,,,,,,,,,,,,,,,
Denmark,4.28,4.74,4.17,3.88,4.69,4.69,4.11,5.47,5.43,5.44,5.51,5.82,5.55,4.45,5.73,5.98,5.79,6.43,6.16,5.66,6.32,5.98,6.05,6.06,7.64,7.26,7.04,7.25,7.41,7.81,6.25,6.38,6.59,6.45,7.13,6.75,6.68,6.31,6.35,6.2,6.57,6.06,5.84,6.36,7.15,6.71,6.81,5.95,6.09,7.01,6.37,6.17,7.07,7.24,6.62,6.57,6,6.5,
"Dominican Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,1.44,1.38,0.81,1.35,1.61,1.515,1.42,1.66,1.39,1.432,1.474,1.516,1.558,1.6,1.8,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26,2.47,2.67,2.99,2.52,2.24,2.71,2.36,2.64,2.19,2.86,2.46,2.38,2.24,2.6,2.6,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.67,0.7,0.69,0.67,0.72,0.72,0.76,0.78,0.78,0.94,1,,
"El Salvador",,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,0.7925,0.805,0.8175,0.83,0.8425,0.855,0.8675,0.88,0.8925,0.905,0.9175,0.93,0.9425,0.955,0.9675,0.98,1.16,1.38,1.75,1.49,1.67,1.96,2.24,1.79,1.96,2.53,2.48,1.75,1.975,2.2,2.3,
"England and Wales",4.07,3.81,4.12,4.12,4.29,4.25,4.29,4.47,4.36,4.31,4.49,4.65,4.71,4.73,4.69,4.76,4.75,4.76,4.89,5.08,4.93,5.15,5.1,4.93,5.04,5.08,4.78,4.93,4.84,5.18,5.16,5.19,5.16,5.13,5.2,5.19,4.83,4.94,4.9,4.78,4.84,4.65,4.62,4.49,4.79,4.8,4.7,4.77,4.6,4.83,5.01,4.83,5.08,5.07,5.1,4.99,5.1,5.3,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75,4.66,3.82,4.19,4.68,5.08,5.11,4.7,5.31,5.81,4.92,4.15,6.22,5.37,6.66,6.72,5.38,6.3,5.2,
Finland,3.35,3.32,4.05,3.35,4.06,4.38,4.3,4.72,4.68,5.01,5.79,5,5.26,5.01,5.8,5.09,5.57,6.05,6.56,6.75,6.12,5.76,5.35,6.44,6.65,5.87,6.65,6.94,6.42,6,6.62,5.78,6.66,6.2,6.41,7.12,6.87,6.19,6.58,6.34,5.54,5.84,6.71,6.18,5.43,5.93,5.77,6.27,7.26,6.6,6.27,6.26,6.78,7.04,6.34,6.28,6.9,6.5,6.7
France,2.32,2.35,2.44,2.65,2.55,2.49,2.55,2.56,2.73,2.71,2.85,2.87,2.98,3.02,3.09,3.04,3.1,3.4,3.17,3.2,3.29,3.05,3.16,3.19,3.24,3.34,3.27,3.47,3.41,3.43,3.51,3.71,3.73,3.89,3.89,3.77,3.92,3.97,4.17,3.99,4,4.14,4.17,4.09,4.38,4.17,4.41,4.49,4.35,4.51,4.56,4.66,4.9,4.79,4.95,4.95,4.8,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,1.31,1.62,1.26,1.4367,1.6133,1.79,1.05,0.83,0.61,1.13,1.65,0.61,1.7,1.7,
Germany,,,,,,,,,,,,,,,,,,,,,,4.21,4.33,4.45,4.57,4.69,4.61,4.84,4.83,4.84,4.97,5.04,5.1,5.17,5.13,4.97,5.34,5.38,5.28,5.38,5.37,5.22,5.2,5.36,5.44,5.41,5.54,5.6,5.56,5.34,5.66,5.71,5.92,5.77,6,6.03,6,6,6
Greece,,,,,,,,,,,,1.73,1.67,1.76,1.71,1.57,1.42,2.3,1.9,2.18,1.99,2.44,2.33,2.55,2.44,2.88,2.69,2.73,2.72,2.88,3.1,3.46,3.3,3.19,3.38,3.17,3.45,3.54,3.43,3.51,3.51,3.63,3.59,3.71,4.13,3.78,3.88,3.61,3.71,3.74,3.62,4.13,4.46,4.29,4.3,4.27,4.2,4.4,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,2.14,1.76,2.12,2.32,1.91,2.25,2.1,2.12,2.44,2.17,1.9,2.3,
"Hong Kong",,,,,,,,,,,,1.12,2.38,2.06,2.12,3.02,3.17,1.98,1.95,1.47,2.6,2.78,2.86,2.7,2.87,3.13,2.77,2.95,2.78,2.55,3.33,3.29,2.26,3.03,3.08,3.55,2.5,2.61,2.77,2.66,2.22,3.04,2.47,2.28,2.64,2.53,2.72,3.21,2.3,2.63,2.91,2.81,2.86,2.59,2.77,2.64,3,3.2,3.2
Hungary,,,,,,,,,,,,,,,,4.83,5.23,5.13,5.31,4.78,5.51,5.15,4.93,5.41,5.83,5.24,6.11,6.2,6.31,5.52,5.27,5.92,6.12,6.28,6.08,6.12,6.26,6.69,6.1,7.01,6.54,6.41,6.68,6.57,6.47,6.35,6.34,6.54,6.85,6.49,6.25,6.64,7.14,7,7.15,7.26,7,7.5,7.5
Iceland,,,,,,,,,,,,,,,,,2.78,9.31,4.16,7.59,9.09,4.93,3.4,7.08,5.07,4.83,7.02,5.14,9.35,6.93,10.54,5.44,6.62,8.36,6.7,6.16,4.37,7.65,7.98,5.87,4.83,6.58,9.69,8.01,8.2,6.57,3.64,6.29,7.36,2.76,4.29,5.53,7.82,5.73,5.25,,,,
Ireland,4.07,4.47,5.28,4.97,4.86,5.4,5.35,5.28,5.06,4.92,5.31,4.91,4.82,4.7,5.69,6.05,5.25,6.19,5.57,6.44,6.34,6.83,5.34,6.22,5.44,6.28,5.58,6.08,5.09,6.2,4.69,5.66,5.66,5.81,5.59,6.31,5.11,5.37,5.83,4.82,5.34,5.35,5.68,5.31,5.15,4.76,5.26,5.44,5.92,4.95,4.64,5.61,5.46,5.67,6.08,5.63,,,
Israel,,,,,,,,,,,,,,,,,,,,,6.23,5.41,5.72,6.02,6.08,5.75,4.71,5.04,5.37,5.13,5.98,5.49,4.96,6.64,5.45,6.89,5.67,5.21,5.38,5.3,5.49,5.16,4.6,5.07,5.52,4.83,6.03,6.14,6.64,5.77,6.22,6.49,5.04,5.71,5.92,6.18,5.7,5.7,
Italy,1.76,1.85,1.96,1.91,1.98,2.1,2.04,2.21,2.09,2.23,2.31,2.54,2.5,2.53,2.74,2.63,2.7,2.85,2.98,3.04,3.23,3.26,3.25,3.4,3.41,3.64,3.42,3.61,3.78,3.87,4.13,4.1,4.41,4.39,4.53,4.45,4.58,4.69,4.83,4.81,4.58,4.58,4.69,4.83,4.72,5.04,5.02,4.98,5.13,5.0967,5.0633,5.03,5.3,5.07,5.21,5.31,5.4,5.3,
Japan,1.26,1.5,1.59,1.75,1.91,1.93,1.97,2.2,2.32,2.5,2.73,2.83,2.91,2.91,3.09,3.26,3.19,3.42,3.42,3.46,3.66,3.57,3.68,3.88,3.92,4.15,4.14,4.26,4.41,4.29,4.52,4.66,4.77,4.92,4.85,4.88,4.71,4.82,4.81,4.73,4.76,4.95,4.85,4.85,5.02,4.97,4.91,4.93,5.07,5.14,5.18,5.04,5.19,5.38,5.43,5.6,5.7,5.8,5.7
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41,4.31,4.61,4.37,3.71,3.95,4.29,4.245,4.2,
Kuwait,,,,,,,,,,,,,,,,,,,,,,1.15,2.43,0.81,6.77,2.53,2.48,5.31,2.24,3.6,1.74,5.04,3.61,3.3483,3.0867,2.825,2.5633,2.3017,2.04,1.21,2.93,2.45,4.29,2.3,2.71,5.65,2.75,1,3.07,5.29,3.1,3.45,2.33,5.33,4.78,5.03,3,6.4,6.4
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,2.87,2.75,1.86,2.81,3.29,2.71,2.37,2.51,2.9,2.9,2.6,3,3.6
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.07,5.06,5.49,5.66,5.47,5.67,4.9,5.09,5.21,5.34,6.01,5.62,6.65,5.68,5.84,5.9,5.4,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.65,5.28,5.12,4.38,4.58,3.91,4.38,4.52,4.42,5.28,4.63,4.47,5.2,5.12,4.53,5.39,5.16,4.78,5.5,5.5,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,5.67,2.69,4.34,4.83,5.4,6.61,4.27,3.59,4.52,6.03,4.25,2.57,3.78,5.36,5.15,4.05,4.74,4.63,5.54,5.25,3.39,4.35,5.5,6.93,4.63,5.8,3.97,2.55,3.69,4.91,8.13,4.83,6.1,4.5,6.8
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68,3.34,3.03,4.13,3.37,4.07,4.3,3.63,3.34,2.78,2.98,3.48,3,3.64,3.28,4.35,3.57,4.62,4.83,3.82,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,7.98,2.55,3.28,7.3,7.8,5.33,6.26,2.62,5.68,2.7,2.5,4.71,4.67,5.3,5.76,2.48,4.22,5.38,5.59,7.05,5.82,7.09,7.56,6.16,7.03,6.48,5.78,4.81,5.11,5.31,6.65,5.34,7.09,6.7,7.3,
Mauritius,,,,,,,,,,,,,,,2.82,2.58,2.34,1.29,1.25,0.79,3.23,2.08,0.91,1.42,0.52,2.2,2.47,1.42,1.27,2.82,1.32,2.36,1.75,1.4,2.16,2.57,3,3.29,3.28,2.48,2.38,1.94,1.52,3.01,0.8,2.49,1.7,1.32,2.13,3.08,3.21,1.4,1.96,3.14,2.48,2.81,2.3,2.4,2.3
Mexico,,,,,,,,,,,,,1.39,1.52,1.56,1.6,1.64,1.57,1.65,1.97,2.0396,2.1092,2.1788,2.2483,2.3179,2.3875,2.4571,2.5267,2.5963,2.6658,2.7354,2.805,2.8746,2.9442,3.0138,3.0833,3.1529,3.2225,3.2921,3.3617,3.4313,3.5008,3.5704,3.64,3.54,3.56,3.45,3.52,3.5,3.51,3.47,3.45,3.47,3.52,3.38,3.27,3.2,3.1,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,4.19,4.14,3.07,4,3.39,3.22,3.61,3.05,3.19,2.81,3.16,3.1,3.3,4.32,3.89,3.92,3.95,4.61,4.77,4.5,3.7,3.9
Netherlands,3.28,3.2,3.46,3.97,3.52,3.59,3.64,4.5,3.9,3.98,4.34,4.87,4.89,5.13,4.65,5.46,4.79,4.83,5.24,5.47,5.32,5.26,5.5,5.78,5.49,5.64,5.49,5.59,5.17,5.82,6.04,5.45,5.34,5.94,5.8,5.89,5.24,5.37,5.16,5.27,5.19,5.47,5.72,5.31,5.71,5.19,5.48,5.5,5.41,5.51,6.06,6.04,5.68,6.27,6.02,6.29,6.4,5.9,5.7
"New Zealand",4.69,4.75,4.31,4.08,2.68,4.2,4.09,3.91,4.77,5.08,4.7,5.05,4.52,4.23,3.35,4.7,4.25,4.28,3.68,5.11,5.07,6.4,4.51,5.72,5.01,4.7,4.8,3.52,4.13,4.1,5.2,5.04,4.92,3.97,4.29,3.55,4.69,4.34,4.1,4.33,4.43,5.21,4.2,5.24,4.45,4.02,4.17,4,3.67,4.44,4.29,4.45,5.33,4.55,4.55,4.625,4.7,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,1.26,2.48,1.36,2.44,1.74,2.26,2.76,2.1,1.56,2.59,2.94,2.19,2.69,2.5,2.2,
