Country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Congo (Kinshasa)",,,,,,,,,,,,,,,,,,,,,,,,,,94,91.8875,89.775,87.6625,85.55,83.4375,81.325,79.2125,77.1,,,,
"Congo (Brazzaville)",,,,,,,,,,,,,,,,,,,,,,,,,,,50.2,48,45.8,43.6,41.4,39.2,37,,,,,
"Costa Rica",,,35.6,30.98,26.36,21.74,17.12,12.5,12.3333,12.1667,12,9.9,11.7,9.6,8,6.7,6.9,8,6.5,5.1,6.4,6.5,6.5,6.3,6.1,5.6,4.4,4.4,2.4,2.7,3.3,1.6,1.8,1.7,1.7,1.6,1.6,
"Ivory Coast",,,,,,,6.8,3.1,6.8,10.7,13.625,16.55,19.475,22.4,21.4667,20.5333,19.6,21.6667,23.7333,25.8,25.15,24.5,23.85,23.2,24.1833,25.1667,26.15,27.1333,28.1167,29.1,28.9286,28.7571,28.5857,28.4143,28.2429,28.0714,27.9,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,1.2,0.7,0.9,0.8,1,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,
"Czech Republic",,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.2,0.15,0.1,0.5,0.2,0.2,0.2,0.2,0.2,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,20.6,20.37,20.14,19.91,19.68,19.45,19.22,18.99,18.76,18.53,18.3,22.5,,,
"Dominican Republic",,,,,,,,38.3,37.7667,37.2333,36.7,26.2333,15.7667,5.3,5.2,5.1,5,4.9,5.2,5.3,5.4,5.5,4.2,5.8,6.8,8.6,5.8,4.5,4.3,3.8,3.3,2.6,2.9,2.6,2.3,2.1,1.9,
Ecuador,,,,,,,,,23.2,22.3286,21.4571,20.5857,19.7143,18.8429,17.9714,17.1,16.75,16.4,16.05,15.7,21.8,28.1,24.3667,20.6333,16.9,15.2,13.6,9.3,10.1,9,8.9,7.1,5.9,5.9,4.4,3.8,4.8,
Egypt,,,,,,,,,,,,7.3,6.76,6.22,5.68,5.14,4.6,3.95,3.3,2.65,2,2.48,2.96,3.44,3.92,4.4,4.275,4.15,4.025,3.9,3.45,3,2.65,2.3,2,1.7,1.4,
"El Salvador",,,,,,,,,,,19,19.8,20.6,20.425,20.25,20.075,19.9,22,21,20,16.3,11.8,12.7,13.1,15.8,9.9,9.6,6.4,4.5,6.9,6.4,7.2,4.5,4.2,3.3,3,1.9,
Estonia,,,,,,,,,,0.1,0.34,0.58,0.82,1.06,1.3,1.42,1.54,1.66,1.78,1.9,2.02,2.14,2.26,2.38,2.5,1.1,0.8,0.8,0.4,0.4,0.6,0.8,1,0.7,1,0.7,,
