Country,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.4,0.4,0.1,0.1,0.3,0.4,0.3,0.4,0.2,0.1,0.3,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.3,0.4,0.3,0.4,0.4,0.4,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,
Australia,0.5,0.8,0.6,0.5,0.7,0.5,0.6,0.6,0.6,0.6,0.5,0.3,0.4,0.4,0.6,0.6,0.5,0.5,0.6,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.4,0.4,0.5,0.3,0.4,0.3,0.3,0.4,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.25,0.3,0.3,0.3,0.3,0.3,0.3,,
Austria,1.8,1.7,1.7,1.6,1.6,1.9,1.9,1.4,1.5,1.5,1.7,1.7,1.4,1.3,1.2,1.2,1.5,1.7,1.4,1.3,1.5,1,1.3,1.3,1.1,1.1,0.9,1.2,1.1,1.4,0.8,0.8,0.7,0.9,0.8,0.8,0.7,0.7,0.8,0.7,0.5,0.4,0.6,0.8,0.5,0.7,0.5,0.6,0.5,0.3,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.5
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.575,0.55,0.525,0.5,0.3,1.2,1.9,1.3,0.7,0.3,,
Belgium,0.5,0.7,0.8,0.7,0.6,0.8,0.7,0.6,0.6,0.6,0.7,0.6,0.6,0.7,0.8,0.5,0.6,0.5,0.5,0.6,0.6,0.7,0.6,0.6,0.7,0.7,0.7,0.8,0.5,0.6,0.55,0.5,0.4667,0.4333,0.4,0.3667,0.3333,0.3,0.4,0.5,0.4,0.3,0.4,0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.4,0.3,0.4,0.3,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.82,0.84,0.86,0.88,0.9,1.3667,1.8333,2.3,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.3,
Bulgaria,,,,,,,,,,,,0.5,0.6,0.6,0.4,0.5,0.8,0.7,0.7,0.7,0.5,0.6,0.6,0.8,0.6,0.6,0.6,0.5,0.4,0.3,0.7,0.4,0.5,0.4,0.4,0.3,0.6,0.5,0.4,0.5,0.4,0.3,0.5,0.6,0.5,0.3,0.4,0.6,0.4,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.3,
Canada,0.9,0.7,0.7,0.6,0.8,0.7,0.6,0.6,0.7,0.7,0.6,0.6,0.7,0.6,0.5,0.7,0.6,0.5,0.6,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.2,0.3,0.2,,
Chile,0.5,0.6,0.8,0.7,0.8,0.6,0.7,0.8,0.6,0.7,0.8,0.6,0.8,0.7933,0.7867,0.78,0.7733,0.7667,0.76,0.7533,0.7467,0.74,0.7333,0.7267,0.72,0.7133,0.7067,0.7,0.6933,0.6867,0.68,0.6733,0.6667,0.66,0.6533,0.6467,0.64,0.6333,0.6267,0.62,0.6133,0.6067,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.5,0.5,0.5,0.6,0.6,0.4,0.6,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.7,0.8,0.7,0.8,0.7,0.7,,
"Costa Rica",,,,,,,,,,,,0.9,0.2,0.2133,0.2267,0.24,0.2533,0.2667,0.28,0.2933,0.3067,0.32,0.3333,0.3467,0.36,0.3733,0.3867,0.4,0.4133,0.4267,0.44,0.4533,0.4667,0.48,0.4933,0.5067,0.52,0.5333,0.5467,0.56,0.5733,0.5867,0.6,0.6,0.4,0.4,1.2,0.7,0.6,0.6,0.6,0.5,0.4,0.5,0.5,0.3,0.3,0.7,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.5,0.5,0.7,0.5,0.7,0.4,0.6,0.5,0.6,0.3,0.5,0.3,0.6,0.5,0.5,0.2,0.4,0.5,0.4,0.4,0.5,0.3,0.6,0.3,0.4,0.3,0.3,0.6
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.4,0.4,0.3,0.5,0.5,0.4,0.3,0.5,0.4,0.3,0.4,0.4,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.8,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.5,0.6,0.6,0.6,0.6,0.7,0.5,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.2,0.3,0.4
Czechoslovakia,1.2,0.8,0.9,0.9,1.2,0.9,1,1,0.9,0.9,0.9,1.1,0.7,1,0.8,0.8,0.8,0.9,1,0.6,1.1,0.7,1,1,1,0.9,0.9,0.8,0.8,0.7,0.6,0.7,0.8,0.7,0.7,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,
Denmark,1.3,1.1,0.8,1,1,0.9,0.8,0.9,0.9,0.9,1.1,1.1,0.6,0.9,0.8,0.6,0.7,0.9,0.7,0.5,0.8,0.9,1,0.5,0.7,0.6,0.6,0.8,0.6,0.7,0.4,0.7,0.6,0.5,0.5,0.4,0.6,0.5,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.4,0.3,0.3,0.3,0.5,0.4,0.3,0.3,0.1,0.2,0.4,0.4,0.4,
"Dominican Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.2,0.3,0.25,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.15,0.1,0.2,0.2,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,0.6,0.7,1,0.8,1,0.6,1,1,0.8,1.1,1,0.9,1,1.1,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.3,,
"El Salvador",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.2,0.5,0.3,0.3,0.2,0.4,0.5,0.5,0.3,0.4,0.4,0.5,0.4,0.6,0.2,
"England and Wales",0.7,0.7,0.6,0.6,0.7,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.2,0.2,0.2,0.3,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.5,0.8,0.3,0.6,0.8,0.9,0.4,0.6,0.6,0.5,0.4,0.5,0.5,0.6,0.5,0.4,0.4,0.6,
