Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,0.170626998,0.1735,0.1763,0.1791,0.182,0.1848,0.1877,0.1905,0.1933,0.1962,0.199000001,0.206,0.2129,0.2199,0.2269,0.2338,0.2408,0.2477,0.2547,0.2617,0.2686,0.275599986,0.2812,0.2868,0.2923,0.2979,0.3035,0.309100002,0.2893,0.2696,0.249799997,0.2635,0.2771,0.2908,0.3044,0.3181,0.3317,0.3454,0.359,0.3727,0.3863,0.400000006,0.4,0.4,0.405,0.41,0.415,0.42,0.42,0.4,0.4,0.45,0.5,,
Albania,5.102675915,5.0611,5.0196,4.978,4.9365,4.8949,4.8534,4.8118,4.7703,4.7287,4.6872,4.6456,4.6041,4.5625,4.521,4.4794,4.4379,4.3963,4.3548,4.3132,4.271699905,4.187099934,4.160699844,4.086200237,4.138999939,4.138800144,4.069699764,3.970000029,3.935499907,4.132100105,4.02489996,3.998699904,4.013400078,3.831399918,3.017100096,3.190000057,3.140000105,3.049999952,3.049999952,3.029999971,3.259999991,3.2067,3.1533,3.099999905,3.05,3,2.9692,2.9,2.85,2.8,2.615,2.43,2.6,,
Algeria,3.187407494,3.1529,3.1184,3.0839,3.0494,3.015,2.9805,2.946,2.9115,2.877,2.842499971,2.8204,2.7982,2.7761,2.754,2.7318,2.7097,2.6876,2.6654,2.6433,2.6212,2.5991,2.5769,2.5548,2.5327,2.5105,2.488399982,2.5587,2.628999949,2.564399958,2.499300003,2.4003,2.3012,2.2022,2.103199959,2.1024,2.1016,2.1008,2.099999905,2.0333,1.9667,1.9,1.8333,1.7667,1.7,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.180000067,3,3.089999914,3.200000048,3.200000048,2.589999914,2.945,3.299999952,3,2.7,2.6,2.6,2.55,2.5,,,,,
Angola,2.061461687,2.1274,2.1934,2.2593,2.3253,2.3912,2.4572,2.5231,2.5891,2.655,2.720999956,2.6495,2.578,2.5065,2.4351,2.3636,2.2921,2.2206,2.1491,2.0776,2.0062,1.9347,1.8632,1.7917,1.7202,1.6487,1.5772,1.5058,1.4343,1.3628,1.291300058,1.2585,1.2258,1.193,1.1603,1.1275,1.0948,1.062,1.0293,0.9965,0.9638,0.931,0.8983,0.8655,0.8328,0.8,,,,,,,,,
"Antigua and Barbuda",7.706421852,7.5888,7.4711,7.3535,7.2359,7.1182,7.0006,6.8829,6.7653,6.6476,6.53000021,6.5335,6.537,6.5405,6.544,6.5475,6.551,6.5545,6.558,6.5615,6.565,6.5685,6.572,6.5755,6.579,6.5825,6.586,6.5895,6.593,6.5965,6.599999905,6.4349,6.2699,6.104800224,5.3632,4.6216,3.880000114,3.624,3.368,3.112,2.856,2.6,2.3,2.5,2.4,2.4,2.4,2,1.7,2.2,2.2,2.1,,,
Argentina,6.352250576,6.2756,6.199,6.1223,6.0457,5.969,5.8924,5.8157,5.7391,5.6624,5.585800171,5.5362,5.4867,5.4371,5.3875,5.3379,5.2884,5.2388,5.1892,5.1396,5.09,5.0405,4.9909,4.9413,4.8917,4.8422,4.7926,4.743,4.6934,4.6439,4.594299793,4.5962,4.5981,4.599999905,4.1633,3.7267,3.289999962,3.4925,3.695,3.8975,4.1,4.08,4.06,4.04,4.02,4,4.1,4.2,4.3,4.4,4.5,4.5,4.7,,
Armenia,,,,,,,,,,,,,,,,,,,,,8.395400047,8.578399658,8.682800293,8.548100471,8.660099983,8.699199677,9.024200439,8.996600151,9.190400124,9.03579998,9.094799995,8.529299736,8.367699623,8.214699745,7.765999794,7.639999867,7.130000114,6.75,6.659999847,6.199999809,5.46999979,4.25,4.325,4.400000095,4.45,4.5,4.4,4.1,3.9,3.7,3.825,3.95,3.9,,
Australia,11.19999981,11.30000019,11.39999962,11.69999981,11.80000019,11.89999962,11.80000019,11.80000019,11.80000019,11.69999981,11.69999981,11.60000038,11.80000019,11.80000019,12,11.89999962,11.89999962,12.10000038,12.10000038,12.19999981,12.30000019,12.19999981,12.10000038,11.89999962,11.69999981,10.89999962,10.7,10.5,10.15,9.800000191,9.5,9.199999809,8.899999619,8.899999619,8.699999809,8.699999809,8.5,8.300000191,8.199999809,7.900000095,7.800000191,7.599999905,4,3.95,3.9,4,3.97,3.9133,3.8567,3.8,3.9,,,,
Austria,10.80000019,10.80000019,10.80000019,10.80000019,10.80000019,10.80000019,10.80000019,10.80000019,10.80000019,10.80000019,10.80000019,10.84,10.88,10.92,10.96,11,11.04,11.08,11.12,11.16,11.19999981,11.14,11.08,11.02,10.96,10.89999962,10.80000019,10.69999981,10.60000038,10.39999962,10.19999981,9.899999619,9.699999809,9.399999619,9.5,9.399999619,9.300000191,9.199999809,9,8.899999619,8.699999809,8.600000382,8.399999619,8.300000191,8,7.7,7.6496,7.8,7.7,7.7,7.63,7.6,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,9.745200157,9.7755,9.8058,9.8362,9.8665,9.896800041,9.841099739,9.882100105,9.966300011,10.20440006,10.09920025,10.02089977,10.54279995,10.48750019,10.07059956,10.02000046,9.81000042,9.609999657,9.06000042,8.899999619,8.680000305,8.510000229,8.405,8.300000191,8.25,8.2,8.1,7.9,7.7,7.5,6.025,4.55,4.7,,
Bahamas,5.725663662,5.6625,5.5993,5.536,5.4728,5.4096,5.3464,5.2832,5.22,5.1568,5.093599796,5.0247,4.9558,4.887,4.8181,4.7492,4.6803,4.6114,4.5426,4.4737,4.404799938,4.3643,4.3238,4.2834,4.2429,4.2024,4.1619,4.1214,4.081,4.0405,4,3.9613,3.9226,3.883899927,3.7419,3.6,3.940000057,3.83,3.72,3.61,3.5,3.4,3.400000095,3.4,3.4,3.3,3.2,3.2,3.1,3.1,3.1,2.9,,,
Bahrain,4.711409569,4.6746,4.6377,4.6009,4.564,4.5272,4.4903,4.4535,4.4166,4.3798,4.342899799,4.24,4.1372,4.0343,3.9315,3.8286,3.7258,3.6229,3.5201,3.4172,3.314399958,3.3172,3.32,3.3228,3.3256,3.3283,3.3311,3.3339,3.3367,3.33949995,3.2846,3.2296,3.1747,3.1198,3.0648,3.0099,2.9549,2.900000095,2.8833,2.8667,2.85,2.8333,2.8167,2.799999952,2.8,2.8,2.74,1.97,1.9,1.8,1.9,2,2.1,,
