Country,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,,,,,,,,,,,,,,,,,,,,13.9,14.5667,15.2333,15.9,16.5667,17.2333,17.9,15.5667,13.2333,10.9,9.4667,8.0333,6.6,6.875,7.15,7.425,7.7,,,,
Algeria,,,,,,,,,,,,25,24.8714,24.7429,24.6143,24.4857,24.3571,24.2286,24.1,22.8375,21.575,20.3125,19.05,17.7875,16.525,15.2625,14,12.7375,11.475,10.2125,8.95,7.6875,6.425,5.1625,3.9,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7,,,,,,,,
Argentina,,,,2.1,2.1714,2.2429,2.3143,2.3857,2.4571,2.5286,2.6,3.05,3.5,3.95,4.4,4.9,5.8,5.5,8.6,9.5,8.8,10.1,10.7,12.6,17.2,26.3,19.9,15.1,11.8,9.1,7.6,7.1,6.6,5.3,3.8,3.9,3.9,4.5,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,52.5,54.05,55.6,52.3,48,36.3,26.9,22.3,23.8,14.4,18.2,23.9,21.1,19.5,18.9,16.4,13.5,
Australia,,,,,1.3,1.3,1.3,1.3,1.3,1.225,1.15,1.075,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.94,0.88,0.82,0.76,0.7,0.7,0.7,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.2,0.2,0.6,0.6,0.7,0.6,0.6,0.3,0.5,0.2,,
Azerbaijan,,,,,,,,,,,,,,,,,,,26.3,24.8667,23.4333,22,20.5667,19.1333,17.7,0.3,0.5,0.94,1.38,1.82,2.26,2.7,,,,,,,,
Bangladesh,,,,,,,83,80.9,78.8,80.2333,81.6667,83.1,83.3667,83.6333,83.9,81.625,79.35,77.075,74.8,74.2,73.6,73,72.4,71.8,70.44,69.08,67.72,66.36,65,63.84,62.68,61.52,60.36,59.2,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,38.5,33.8,27.2,15.3,10.9,9.1,4.5,2.5,1.1,1.1,0.5,0.5,0.2,0.1,0.1,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.3,0.2,0.2,0.1,0.2,0.2,0.3,0.2,0.3,0.2,,
Belize,,,,,,,,,,,,,,,,,24.8,26.3,28.2,30.1,35.5,34.1,28.4,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,78.3,78.1,77.9,77.7,77.5,77.3,77.1,76.9,76.7,76.575,76.45,76.325,76.2,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3,54.35,46.4,38.45,30.5,27.3,24.1,20.9,17.7,14.5,,,,
Bolivia,,,,,,,,,,,,,,26.2,27.0429,27.8857,28.7286,29.5714,30.4143,31.2571,32.1,35.15,38.2,42,36.7,38,33.6,29.2,33.7,30.4,29,21.8,19.9,17.6,15.3,16.3,13.9,13.3,12.9,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,1,0.9,0.8,0.7,0.6,0.5,0.4,0.45,0.5,0.55,0.6,,,,,
Botswana,,,,,,,,,63.8,62.825,61.85,60.875,59.9,58.925,57.95,56.975,56,55.3556,54.7111,54.0667,53.4222,52.7778,52.1333,51.4889,50.8444,50.2,48.3286,46.4571,44.5857,42.7143,40.8429,38.9714,37.1,,,,,,,
Brazil,,,,,42.9,41.4,50.7,49.8,44.1,22.3,34,38.7,36.3,37.2,37.15,37.1,36.4,31.65,26.9,27.3,27.8,25.4,27.3,26.9,26.5,25.3,26,24.1,22.1,18.6,17.4,15.1,14,12.9,11.8,10,9.4,7.9,9.3,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,4.5,3.1,2.7,4.2,4.9,4.9,4.8,3.8,,
"Burkina Faso",,,,,,,,,,,,,,,,,,92.8,92.425,92.05,91.675,91.3,89.1,86.9,84.7,82.5,80.3,80.5,80.7,80.9,81.1,81.3,81.5,80.48,79.46,78.44,77.42,76.4,,
Burundi,,,,,,,,,,,,,,,,94.8,94.8833,94.9667,95.05,95.1333,95.2167,95.3,95,94.7,94.4,94.1,93.8,93.5,93.2,92.9,92.5,92.1,91.7,91.3,90.9,90.5,90.1,,,
