Country,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,47.5,45.8,44.1,42.4,40.7,
Albania,,,,,,,,,,,,,,,51,50.8,50.6,50.4,50.2,50,53.325,56.65,59.975,63.3,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,24,26.5286,29.0571,31.5857,34.1143,36.6429,39.1714,41.7,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1,,,,
Armenia,,,,,,,,,,,,,,,48,50.24,52.48,54.72,56.96,59.2,62.78,66.36,69.94,73.52,77.1,,,,,,
Azerbaijan,,,,,,,,,,,,,,,40,38.5667,37.1333,35.7,34.2667,32.8333,31.4,37.52,43.64,49.76,55.88,62,,,,,
Bangladesh,,,,,,,,,,,,,,,35,39.35,43.7,48.05,52.4,50.7,49,68,69.875,71.75,73.625,75.5,70.05,64.6,66.1,,
Belarus,,,,,,,,,,,,,,,,,,,,54,55.0286,56.0571,57.0857,58.1143,59.1429,60.1714,61.2,,,,
Belize,,,,,,,,,,,,,,,,,,,,,26,29.3,32.6,35.9,39.2,42.5,,,,,
Benin,,,,,,,,,,,,,,,,41.7,41.7,41.7,41.7,41.7,41.7,42.8833,44.0667,45.25,46.4333,47.6167,48.8,40.65,32.5,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,61.6,,,,,,
Bolivia,,,,37.3,36.9222,36.5444,36.1667,35.7889,35.4111,35.0333,34.6556,34.2778,33.9,46.45,59,57.2333,55.4667,53.7,48.76,43.82,38.88,33.94,29,,,,,,,,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,23,28,33,38,43,48,53,53.2667,53.5333,53.8,54.0667,54.3333,54.6,,,,
Botswana,,,33.6,31.3833,29.1667,26.95,24.7333,22.5167,20.3,18.0833,15.8667,13.65,11.4333,9.2167,7,,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,28.2,,,,,,,,,,,,,,,,,,,,
"Burkina Faso",,,,,,,,19.2,22.01,24.82,27.63,30.44,33.25,36.06,38.87,41.68,44.49,47.3,45.5333,43.7667,42,39.65,37.3,34.95,32.6,,,,,,
Burundi,,32.9,31.6,30.3,29,27.7,26.4,25.1,23.8,22.5,21.2,19.9,18.6,17.3,16,17.4,18.8,20.2,21.6,23,26.9,30.8,34.7,38.6,42.5,,,,,,
Cambodia,,,,,,,,,,,,,,,59.2,57.34,55.48,53.62,51.76,49.9,49.52,49.14,48.76,48.38,48,48.9,49.8,50.7,51.6,,
Cameroon,,,,,,,,,,,,,,,32,34.85,37.7,40.55,43.4,32.7,22,26.9,31.8,36.7,41.6,46.5,44.1,41.7,39.3,,
"Central African Republic",,,,,,,,,,,,,,,47,47,47,47,47,47,47,44.625,42.25,39.875,37.5,,,,,,
Chad,,,,,,,,,,,,22.9,29.9333,36.9667,44,39.85,35.7,31.55,27.4,26.6833,25.9667,25.25,24.5333,23.8167,23.1,24.26,25.42,26.58,27.74,28.9,
Colombia,48.3,52.425,56.55,60.675,64.8,57.14,49.48,41.82,34.16,26.5,29.94,33.38,36.82,40.26,43.7,42.72,41.74,40.76,39.78,38.8,41.44,44.08,46.72,49.36,52,,,,,,
Comoros,,,,,,,,,,,,,,,31,32.9083,34.8167,36.725,38.6333,40.5417,42.45,44.3583,46.2667,48.175,50.0833,51.9917,53.9,,,,
"Congo (Kinshasa)",,,,,,,,,,,,,,,,17,21.2167,25.4333,29.65,33.8667,38.0833,42.3,41.3,40.3,39.3,39.45,39.6,39.75,39.9,,
"Congo (Brazzaville)",,,,,,,,,,,,,,,,,,,,39.2,40.5143,41.8286,43.1429,44.4571,45.7714,47.0857,48.4,,,,
"Costa Rica",,,,,,,,,,,,,,,,,,,,,,,,,,69.6,,,,,
"Ivory Coast",,,,,,,,,,,,,,31.1,34,35.8333,37.6667,39.5,41.3333,43.1667,45,43.55,42.1,40.65,39.2,37.75,36.3,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,43.3,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,
"Dominican Republic",,,,,,,,,,,,,,22.2,53,47.35,41.7,44.42,47.14,49.86,52.58,55.3,44.5,33.7,22.9,33.6333,44.3667,55.1,52,,
Egypt,,,,,,,,,,18.8,20.78,22.76,24.74,26.72,28.7,27.7,26.7,25.7,26.35,27,23.8667,20.7333,17.6,18.3167,19.0333,19.75,20.4667,21.1833,21.9,,
"El Salvador",,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,
"Equatorial Guinea",,,,,,,,,,,,,,,36,37.5,39,40.5,42,43.5,45,46.5,48,49.5,51,52.5,,,,,
Eritrea,,,,,,,,,,,,,,,,,54,54.35,54.7,55.05,55.4,55.75,56.1,56.45,56.8,,,,,,
Ethiopia,,,,,,,,,,,,,,,37.9,33.32,28.74,24.16,19.58,15,16.6833,18.3667,20.05,21.7333,23.4167,25.1,,,,,
Gabon,,,,,,,,,,,,,,,43.7,44.3833,45.0667,45.75,46.4333,47.1167,47.8,48.4833,49.1667,49.85,50.5333,51.2167,51.9,,,,
Gambia,,,,,,,,,,,,,,,38,38,38,38,38,38,38,45.15,52.3,59.45,66.6,61.3333,56.0667,50.8,,,
Georgia,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,
Ghana,,,39.5,37.99,36.48,34.97,33.46,31.95,30.44,28.93,27.42,25.91,24.4,27.5,30.6,33.7,36.8,39.9,36.2667,32.6333,29,36.8,44.6,44.3667,44.1333,43.9,43.1,42.3,41.5,,
Guatemala,,,,,,,,,,20.1,20.55,21,21.45,21.9,21.9333,21.9667,22,24.6462,27.2923,29.9385,32.5846,35.2308,37.8769,40.5231,43.1692,45.8154,48.4615,51.1077,53.7538,56.4,
Guinea,,,,,,,,,,,,,,28.6,32.45,36.3,40.15,44,40.8,37.6,37.9286,38.2571,38.5857,38.9143,39.2429,39.5714,39.9,,,,
"Guinea Bissau",,,,,,,,,,,,,,,23,23.3333,23.6667,24,24.3333,24.6667,25,32.05,39.1,46.15,53.2,53.55,53.9,54.25,54.6,,
Guyana,,,,,,,,,,,,,,,40,38.2857,36.5714,34.8571,33.1429,31.4286,29.7143,28,33.45,38.9,36.9,34.9,32.9,30.9,28.9,,
Haiti,,,,,,,,,,,,,,,40.5,40.9333,41.3667,41.8,42.2333,42.6667,43.1,45.3667,47.6333,49.9,52.1667,54.4333,56.7,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,49.4,51.2667,53.1333,55,56.8667,58.7333,60.6,,,,
India,,,,,,,,,,,,,,,,,,,,,24.1,,,,,,,,,,
Indonesia,,,,,,,,,37,36.9333,36.8667,36.8,44.8667,52.9333,61,59.3333,57.6667,56,55.575,55.15,54.725,54.3,55.64,56.98,58.32,59.66,61,,,,
Iran,,,,,,,,,,,,,,,,,,,,,,,,,68.93,,,,,,
Iraq,,,,,,,,,,,,,,,54,55.6667,57.3333,59,60.6667,62.3333,64,56.34,48.68,41.02,33.36,25.7,,,,,
Jamaica,,,,,,,,,,,,,,,21,24.6,28.2,31.8,35.4,39,39.7167,40.4333,41.15,41.8667,42.5833,43.3,,,,,
Jordan,,,,,,,,,,,,40.7,41.28,41.86,42.44,43.02,43.6,41.32,39.04,36.76,34.48,32.2,32.64,33.08,33.52,33.96,34.4,,,,
Kazakhstan,,,,,,,,,,,,,,21.6,25.3714,29.1429,32.9143,36.6857,40.4571,44.2286,48,49.2,50.4,51.6,52.8,54,,,,,
Kenya,,,,27.4,26.2727,25.1455,24.0182,22.8909,21.7636,20.6364,19.5091,18.3818,17.2545,16.1273,15,21.1,27.2,33.3,34.85,36.4,37.95,39.5,41.05,42.6,43.1,43.6,44.1,44.6,45.1,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,46.5,,,,,,,
"North Korea",,,,,,,,,,,,,,,,,,,,,,,,67.1,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,22,28.7833,35.5667,42.35,49.1333,55.9167,62.7,64.95,67.2,,
Laos,,,,,,,,,,,,,,,37,39,41,43,45,47,49,50.4,51.8,53.2,54.6,56,57.4,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,62.3,,,,,,,
Lesotho,,,,,,,,,,,,,,,29,34.975,40.95,46.925,52.9,51.84,50.78,49.72,48.66,47.6,50.36,53.12,55.88,58.64,61.4,,
Liberia,,,,,,,,,,,,,,,,,,,,,,47.3,47.15,47,46.85,46.7,46.55,46.4,,,
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,,,,,,,,,45,49.32,53.64,57.96,62.28,66.6,,,,,
Madagascar,,,,,,,,,,,,,,,47,46.925,46.85,46.775,46.7,47.24,47.78,48.32,48.86,49.4,,,,,,,
Malawi,,,,,,,,,,,,,,,51.4,52.075,52.75,53.425,54.1,40.55,27,32.15,37.3,42.45,47.6,47.825,48.05,48.275,48.5,52.6,56.7
Maldives,,,,,,,,,,,,,,,,,,,,,,,,62.6,,,,,,,
Mali,,,,,,,,,,,,,,,,45.3,43.8,42.3,40.8,39.3,37.8,36.425,35.05,33.675,32.3,33,33.7,34.4,,,
"Marshall Islands",,,,,,,,,,,,,,,,,,,,,,68.8,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,9,12.8333,16.6667,20.5,24.3333,28.1667,32,32.425,32.85,33.275,33.7,,,,,
Moldova,,,,,,,,,,,,,,,52,51.24,50.48,49.72,48.96,48.2,49.1286,50.0571,50.9857,51.9143,52.8429,53.7714,54.7,,,,
Mongolia,,,,,,,,,,,,,,,66,62.2,58.4,54.6,50.8,47,48.8,50.6,52.4,54.2,56,62.625,69.25,75.875,82.5,,
Montenegro,,,,,,,,,,,,,,,,,,,,64.3,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,45.8,,,,,,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,46.6,46.68,46.76,46.84,46.92,47,49.9,52.8,55.7,,,,,
"Burma (Myanmar)",,,,,,,,,,,,,,,48,53.6667,59.3333,65,62.9,60.8,58.7,56.6,54.5,52.4,50.3,,,,,,
Namibia,,,,,,,,,,,,,,,38.8,40.1,41.4,42.7,44,45.3,46.6,47.9,48.5833,49.2667,49.95,50.6333,51.3167,52,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,
