Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Mali,,,,,,,,76,157,428,636,1038,1410,1575,1991,2585,1600,2700,2800,2600,2700,2800,2800,2800,2800,3000,3000,3000,3000,3322,2683,3500,2872,1800,2000,2006,2000,2085,2088,2068,2111,2118,2087,2089,2000,2000,2000,2000,2255,2600,2800,2641,2850,2545
Mozambique,1000,1000,1000,2000,4000,5000,4000,5000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6645,6000,5000,6000,5500,6000,7000,7405,7100,7200,6000,6300,6400,6500,6600,6000,6400,6000,6200,7000,6800,7100,7000,7000,6964
"Burma (Myanmar)",5522,8806,18154,24702,20593,27593,23902,32037,32174,31808,40787,80064,105412,92544,46594,42544,33612,58185,94815,93791,91169,34052,59078,51617,50257,45329,41629,36590,42801,31171,25476,26912,47306,30517,37496,47340,43430,34272,37828,37650,45928,53280,54500,42500,26700,30800,34000,18600,12461,12352,16847,16930,15257,15220
Nepal,30000,30000,32000,32000,32000,32000,32000,47000,46000,51700,54813,57850,54410,33131,33000,34000,33000,40000,47000,57000,51959,35320,30400,23666,27200,47190,19840,14450,13554,13000,14000,15000,9000,9000,9000,11150,11000,12265,11675,14535,11289,11697,11851,11790,12180,11975,11726,11590,11678,13103,10559,10540,11300,11350
Nigeria,,,,,,,,,,,,,,,,,,,,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1107,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1005,1000,1000,1000,1000,1040
Pakistan,8100,9700,10100,10500,9700,10100,10500,10900,9300,8989,9639,10179,12103,13518,11929,10980,11202,9265,10634,11810,12042,11363,11331,10371,9089,8074,8483,6802,7791,6338,5496,5139,4116,3992,3811,3414,3083,2797,2825,3106,3223,2421,2318,1818,1820,1698,1601,1487,1365,1150,1009,867,725,665
Peru,750,1660,3620,3630,3400,2520,2620,2635,3000,4100,5715,5530,5110,2950,3000,2700,2500,2600,2700,1379,1136,1580,1660,1093,1800,1800,1900,1900,1900,190,150,170,180,180,198,190,188,114,160,210,60,100,120,125,130,140,150,160,157,160,163,190,190,171
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,21000,21339,23098,22312,22120,20922,21000,21000,22000,22354,23000,23042,22514,18774,17441,14410,13987,13625,13200,13200,13200,13200
"South Africa",2300,2300,2300,2500,1500,1000,1100,2000,2000,2000,2000,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1218,1100,1100,1100,1100,1100,1100,1077,1119,1000,1100,1080,1068,1078,1083,1100,1100,1100,1100,1123,1100,1100,1150,1200,1135
Spain,1610,1020,440,60,90,110,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,199817,119129,157304,220548,380154,507248,349887,251935,360524,391605,446983,444016,435705,409898,287674,150916,254877,293851,228613,184646,195198,216245,222333,151950,232789,211777,153182,135534,128065,136388,103935,100358,95760,81855,75780,70620,65400,30734,19860,28533,44782,14043,10043,12838,14704,6637,3918,2849,3333,2590,2367,2798,2602,2595
"Soviet Union",25000,25000,25000,25000,23000,23000,23000,23000,23000,23000,25000,24000,19000,16000,16000,18000,18000,17000,18000,18000,18000,18000,18000,18000,18000,18000,20000,21000,22000,19507,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800,5200,2300,1300,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1838,1791,1737,1850,1900,1850
Vietnam,8100,9800,12000,13000,14300,13100,12000,12000,12000,11700,9400,10000,12000,12000,12300,14170,15280,14470,14800,17980,16540,17120,24900,20000,22040,26100,31950,17140,15700,11746,10500,11600,14400,6600,7500,8000,11600,6700,4100,5500,7800,9800,4800,4700,5600,6300,11700,3400,2292,3768,3853,1331,354,254
Zimbabwe,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1950,1950,1950,1950,2300,2300,2850,2828,2904,3000,3000,3028,3081,3134,3150,3195,3210,3222,3232,3150,3200,3521,3696,3955,4117,4117,4200,4200,4154
