Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,,,,,,,,,,9.9,9.52,9.14,8.76,8.38,8,8.7375,9.475,10.2125,10.95,11.6875,12.425,13.1625,13.9,14.6375,15.375,16.1125,16.85,17.5875,18.325,19.0625,19.8
Algeria,,,,,,,,,,,,,,,34.4,32.95,31.5,30.05,28.6,27.15,25.7,24.25,22.8,21.35,19.9,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,2.5,5.5455,8.5909,11.6364,14.6818,17.7273,20.7727,23.8182,26.8636,29.9091,32.9545,36
Argentina,8.1,7.9222,7.7444,7.5667,7.3889,7.2111,7.0333,6.8556,6.6778,6.5,8.04,9.58,11.12,12.66,14.2,13.14,12.08,11.02,9.96,8.9,8.14,7.38,6.62,5.86,5.1,10.4,15.7,21,26.3,31.6,36.9
Armenia,,,,,,,,,,2.3,2.7133,3.1267,3.54,3.9533,4.3667,4.78,5.1933,5.6067,6.02,6.4333,6.8467,7.26,7.6733,8.0867,8.5,9.8167,11.1333,12.45,13.7667,15.0833,16.4
Australia,,,,,,,,,,5.4,5.32,5.24,5.16,5.08,5,4.92,4.84,4.76,4.68,4.6,4.2,3.8,3.4,3,2.6,5.3333,8.0667,10.8,13.5333,16.2667,19
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
Azerbaijan,,,,,,,,,,1.9,1.8667,1.8333,1.8,1.7667,1.7333,1.7,1.6667,1.6333,1.6,1.5667,1.5333,1.5,1.4667,1.4333,1.4,2.6333,3.8667,5.1,6.3333,7.5667,8.8
Bangladesh,,,,,,,,,,5.2,4.94,4.68,4.42,4.16,3.9,4.5813,5.2625,5.9438,6.625,7.3063,7.9875,8.6688,9.35,10.0313,10.7125,11.3938,12.075,12.7563,13.4375,14.1188,14.8
Belarus,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.6133,3.6267,3.64,3.6533,3.6667,3.68,3.6933,3.7067,3.72,3.7333,3.7467,3.76,3.7733,3.7867,3.8,9.0333,14.2667,19.5,24.7333,29.9667,35.2
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.1
"Bosnia and Herzegovina",,,,,,,,,,6.9,6.52,6.14,5.76,5.38,5,6.8375,8.675,10.5125,12.35,14.1875,16.025,17.8625,19.7,21.5375,23.375,25.2125,27.05,28.8875,30.725,32.5625,34.4
Brazil,15.6,15.9632,16.3263,16.6895,17.0526,17.4158,17.7789,18.1421,18.5053,18.8684,19.2316,19.5947,19.9579,20.3211,20.6842,21.0474,21.4105,21.7737,22.1368,22.5,21.2,19.9,18.6,17.3,16,20.5,25,29.5,34,38.5,43
Bulgaria,,,,,,,,,,3.8,3.59,3.38,3.17,2.96,2.75,2.54,2.33,2.12,1.91,1.7,3.1909,4.6818,6.1727,7.6636,9.1545,10.6455,12.1364,13.6273,15.1182,16.6091,18.1
"Burkina Faso",,,,,,,,,,,,,,,,,,,,31.6,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,6.6,6.14,5.68,5.22,4.76,4.3,,,,,,,,,,,
Chile,21.4,20.7333,20.0667,19.4,18.7333,18.0667,17.4,16.7333,16.0667,15.4,14.46,13.52,12.58,11.64,10.7,11.22,11.74,12.26,12.78,13.3,11.68,10.06,8.44,6.82,5.2,10.4667,15.7333,21,26.2667,31.5333,36.8
China,0.1,0.1667,0.2333,0.3,0.3667,0.4333,0.5,0.5667,0.6333,0.7,0.64,0.58,0.52,0.46,0.4,0.34,0.28,0.22,0.16,0.1,0.1,0.1,0.1,0.1,0.1,1.0333,1.9667,2.9,3.8333,4.7667,5.7
Colombia,,,,,,,,,,10.9,11.86,12.82,13.78,14.74,15.7,16.66,17.62,18.58,19.54,20.5,21.8,23.1,24.4,25.7,27,30.5667,34.1333,37.7,41.2667,44.8333,48.4
Croatia,,,,,,,,,,3.6,4.7,5.8,6.9,8,9.1,10.2,11.3,12.4,13.5,14.6,15.7,16.8,17.9,19,20.1,21.2,22.3,23.4,24.5,25.6,26.7
Cyprus,,,,,,,,,,,,,,,,,,,,10.9,10.6,10.3,10,9.7,9.4,13.55,17.7,21.85,26,30.15,34.3
"Czech Republic",2.9,2.7222,2.5444,2.3667,2.1889,2.0111,1.8333,1.6556,1.4778,1.3,2.6667,4.0333,5.4,6.7667,8.1333,9.5,10.8667,12.2333,13.6,14.9667,16.3333,17.7,19.0667,20.4333,21.8,23.1667,24.5333,25.9,27.2667,28.6333,30
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4
"Dominican Republic",,,,,,,,,,24.5,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,16.1,23.85,31.6,39.35,47.1,54.85,62.6
Egypt,,,,,,,,,,,,,,,16.6,22.1,27.6,33.1,38.6,44.1,36.82,29.54,22.26,14.98,7.7,15.7,23.7,31.7,39.7,47.7,55.7
"El Salvador",,,,,,,,,,31.5,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,1.4,1.5133,1.6267,1.74,1.8533,1.9667,2.08,2.1933,2.3067,2.42,2.5333,2.6467,2.76,2.8733,2.9867,3.1,5.85,8.6,11.35,14.1,16.85,19.6
Ethiopia,,,,,,,,,,,,,,,,,,,,4.1,8.4091,12.7182,17.0273,21.3364,25.6455,29.9545,34.2636,38.5727,42.8818,47.1909,51.5
Finland,,,,,,,,,,2,1.96,1.92,1.88,1.84,1.8,1.76,1.72,1.68,1.64,1.6,3.5,5.4,7.3,9.2,11.1,13,14.9,16.8,18.7,20.6,22.5
France,,,,,,,,,,,,,,,,,,,,1.8,3.9909,6.1818,8.3727,10.5636,12.7545,14.9455,17.1364,19.3273,21.5182,23.7091,25.9
Georgia,,,,,,,,,,3.3,3.91,4.52,5.13,5.74,6.35,6.96,7.57,8.18,8.79,9.4,8.84,8.28,7.72,7.16,6.6,8.1167,9.6333,11.15,12.6667,14.1833,15.7
Germany,,,,,,,,,,1.7,1.61,1.52,1.43,1.34,1.25,1.16,1.07,0.98,0.89,0.8,0.98,1.16,1.34,1.52,1.7,3.2167,4.7333,6.25,7.7667,9.2833,10.8
Ghana,,,,,,,,,,,,,,,,,,,,23.1,23.38,23.66,23.94,24.22,24.5,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6
Guatemala,,,,,,,,,,,,,,,,,,,,19.6,23.2,26.8,30.4,34,37.6,41.2,44.8,48.4,52,55.6,59.2
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,
"Hong Kong",,,,,,,,,,,,,,,,,,,,,,,,,1.2,2.6667,4.1333,5.6,7.0667,8.5333,10
Hungary,,,,,,,,,,5.8,5.42,5.04,4.66,4.28,3.9,3.52,3.14,2.76,2.38,2,3.4,4.8,6.2,7.6,9,10.4,11.8,13.2,14.6,16,17.4
