Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Chile,,,,,,,,,,,,,,1,1,1,1,1,0.1,1,0.4,1.66,2.92,4.18,5.44,6.7,7.96,9.22,10.48,11.74,13,12,12,12,12,13,3,3,3,4,59.3333,114.6667,170,137,126,127,123
China,,,,,,,,,,,,,616,542,403,271,407,166,129,76,124,207,228,108,395,350,1670,4586,344,530,758,1209,2354,4620,6640,23626,27565,38395,47743,41600,52460,61576,57987,59491,62332,63938,61000
Colombia,26,22,23,30,36,23,51,82,76,101,106,160,87,72,78,110,416,625,458,467,495,881,641,468,969,815,753,774,806,1315,1612,2055,2476,3076,3190,3346,3899,4460,4827,4125,4031,4101,4019,4450,4166,4680,4904
Comoros,,,,,,,,,,,2,1,2,2,2,4,5,7,7,8,10,10,16,16,15,12,16.2,20.4,24.6,28.8,33,37.2,41.4,45.6,49.8,54,63,74,101,100,87,108,110,116,126,128.79,132
"Congo (Kinshasa)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,3,6,20,9,13,9,15,20,16,115,12,33,22,5,5
"Congo (Brazzaville)",,,,,,,,,2,3,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4,4,4,4,4,4,4,4,8,5,2,12,10,12,1,12,15,11,,,,,,,,,,,
"Costa Rica",,,,,,,,2,3,3,4,2,6,5,6,7,8,8,9,10,12,13,14,16,17,123,131,130,128,127,136,198,250,321,319,420,513,618,605,513,531,520,562,596,594,552,542
"Ivory Coast",,,,,,12,14,16,22,28,32,31,29,27,25,24,36,43,43,35,44,41,49.5,58,110,151,147,136,143,138,119,116,120,142,159,163,167,185,199,315,373,397,367,385,385,331,346
Croatia,,,,,,,,,,,,,,,,,,,,,,,,230,375,545,668,618,625,557,641,747,439,517,665,693,1611,1854,2065,1890,1900,2092,2085,2174,2149,2104,2253
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,136,133,143,142,157
Cyprus,,,,,,,32,51,69,76,94,83,80,78,74,72,57,64,71,69,79,66,81,79,81,49,49,48,48,50,64,105,62,84,245,105,104,142,975,593,862,740,555,376,264,254,343
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,138,164,190,112,85,350,319,297,257,335,499,814,1460,1688,1897,1134,1196,1229,1394,1409,1738,2628,2693,3196
Denmark,,,,,,,,,,,,,,,,,,,,,,,464,450,439,523,687.5,852,766,803,667,699,785,941,1080,867,982,823,1295,1219,1078,1357,1274,1217,1377,1255,1269
Djibouti,,,,,,,,,,,,,,,,,,,,,,13,13,19,14,12,11,11,12,12,12,12,15,25,25,26,28,29,30,32,33,32,33,36,36,63,66
Dominica,,,,,,,1,3,6,9,9,9,8,9,11,11,8,12,16,13,14,5,5,14,13,13,14,14,15,16,16,17,17,18,23,22,22,22,23,22,23,23,23,24,24,24,24
"Dominican Republic",25,15,24,24,27,28,112,124,132,161,183,183,190,195,205,242,225,273,289,301,315,330,347,759,798,840,963,1143,1410,1632,1840,1984,2195,2325,2501,2719,3054,3397,3606,3415,3887,4241,4262,4486,4810,5196,5534
Ecuador,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,2,1,51,56,75,203,276,386,489,648,799,1085,1326,1426,1436,1636,1836,2460,2934,3341,3089,2742,2599,2681,2476,2459,2472,2388,2681
Egypt,,,,,,,,928,1770,2210,2700,2180,2440,3670,3960,3210,2510,3600,3770,3290,4280,4050,6100,5660,3670,3230,3110,3700,3370,3240,2850,2910,2890,2960,3340,5017,5330,7656,8694,7150,12453,14324,19236,17833,19570,18325,16584
"El Salvador",,,,,,,11,54,68,100,49,72,112,115,159,157,158,186,210,238,367,475,694,795,972,1063,1080,1200,1341,1384,1765,1926,1959,2127,2567,3029,3483,3709,3755,3402,3472,3644,3896,3955,4151,4285,4581
"Equatorial Guinea",,,,,,,,,,,,,,,,,,,,,,,1,0.7,0.4,0.1,0.2,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,2,3,2,4,11,19,51,167,264,402,411,362,340,357,438,461,568,544,446,481
Ethiopia,,,,,,,,4,7,9,12,10,10,11,11,14,14,9,11,6,5,10,15,18,25,27,16,9,27,34,53,18,33,46,134,174,172,358,387,262,345,513,624,624,624,624,642
"Faroe Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,50,43,39,40,44,49,80,89,109,137,139,146,158,158,158,158,158,163
Fiji,,,,,,,,,,4,5,9,8,8,11,28,30,27,23,23,22,19,23,26,30,33,33,35,26,24,44,83,99,124,173,204,205,183,147,171,174,160,191,204,206,251,255
Finland,,,,,,19,24,47,65,91,106,96,108,97,49,51,74,78,105,71,63,101,103,77,67,74,146,235,375,444,473,491,477,526,666,693,715,806,959,865,894,756,862,973,974,806,808
France,,,,,,628,653,1261,1578,1917,1441,1279,1342,1279,1262,1391,2022,2469,3424,3221,4034,4618,5212,5032,3955,4636,4540,9745,10024,9306,8610,9191,10368,11351,12260,14212,15529,17589,20085,19649,19903,22927,22674,24406,25195,23352,24332
"French Polynesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,508,598,557,622,689,763,728,651,722,633,652,658,658,678
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,6,6,4,6,5,3,6,7,11,,,,,,,,,,,
Gambia,,,,,,,,,,,,,,1,3.65,6.3,8.95,11.6,14.25,16.9,19.55,22.2,24.85,27.5,30.15,32.8,35.45,38.1,40.75,43.4,46.05,48.7,51.35,54,61,59,64,56,65,80,116,108,141,181,181,181,181
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,373,360,210,222,231,236,303,446,627,883,1065,1112,1184,1547,1770,1945,1986,1459,1491
Germany,,210,246,314,357,420,450,536,732,849,2380,2123,2230,2122,1964,2018,2778,3587,3839,3754,4878,4824,4923,4392,4405,4526,4345,3857,4266,4334,3640,3931,4686,5780,6581,6867,7482,9770,10974,12333,12792,16609,15898,16343,17051,15362,15715
Ghana,,,,,,,,,,1,1,1,2,1,5,4,1,1,6,6,6,6,7,10,16,17,28,26,30,31,32,46,44,65,82,99,105,117,126,114,136,2135,2155,1864,2008,2100,2042
Greece,,,,,,,805,940,989,1184,1123,1172,1144,964,945,807,967,1403,1742,1387,1822,2178,2535,2655,2890,3284,3075,3066,2676.5,2287,2191,2013,1658,1561,1242,1220,1543,2484,2687,2020,1499,1186,681,805,735,429,245
Grenada,,,,,,,,,,,,,,,,,17,22,24,17,18,8,9,18,26,38,41,41,42,44,46,47,48,49,72,27,28,29,29,28,28,29,29,30,30,30,30
Guatemala,,,,,,,,14,22,24,26,25,11,4,3,1,1,23.5,46,85,119,179,231,241,285,358,375,408,457,466,596,633,1601,2150,2632,3067,3700,4236,4460,4019,4232,4524,5031,5379,5838,6573,7427
Guinea,,,,,,,,,,,,,,,,,,,27,22.5833,18.1667,13.75,9.3333,4.9167,0.5,1,1,1,5,6,1,9,15,111,42,42,30,15,62,52,46,65,66,93,93,93,96
"Guinea Bissau",,,,,,,,,,,,,,,,,,,2,1,1,1.1667,1.3333,1.5,1.6667,1.8333,2,2,4,6,8,10,18,23,28,20,26,43,49,49,46,52,46,64,64,61,39
Guyana,,,,,,,,,,,,,2,1,3,2.75,2.5,2.25,2,1.75,1.5,1.25,1,1,1,2,15,15,14,21,27,22,51,99,153,201,218,278,274,262,368,412,469,328,330,294,296
Haiti,,18,23,23,22,59,75,75,76,85,106,127,97,90,90,96,105,113,124,123,145.6667,168.3333,191,213.6667,236.3333,259,281.6667,304.3333,327,422,578,624,676,811,932,986,1063,1222,1370,1376,1474,1551,1612,1781,1977,2196,2268
Honduras,,,,,1,1,1,1,1,2,2,2,2,2,2,2,2,34,42,49,63,83,112,64,89,124,157,190,225,328,484,623,818,883,1177,1805,2337,2614,2821,2477,2618,2811,2920,3098,3370,3666,3845
"Hong Kong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,131,136,153,121,120,240,297,294,317,355,348,340,352,367,360,372,387,401
