Country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,71179,70300,56601,45787,42145,41305,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278634,342889,429428,488805,538630,597682,584856.5,572031,568162,461084,438470,429775,421080,417325,384139
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,13,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,134055,128305,126820,127280,118900,115170,107500,106190,105360,95880,97820,98740,97480,92305,94715,105518,107219,98985,110290,104780
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70581,68945,70394,66064,74130,95952.5,117775,70374,68260,59464,59548,57242,58320
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,181,111,182
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665,482.5,300,406,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2180,1932,1860,1726,1452,1398
Belgium,,,,,,,,,,,,,,,,,,,,,,,95771,96499,102288,104693,123291,101600,95923,101395,96321,95537,94753,93969,92053.6,90138.2,88222.8,86307.4,84392,86268,85329,77609,71008,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2208,1927,1757,1756,,,,
Botswana,,,,,,,,4,8,34,32,22,14,11,8,5,2,57.1667,112.3333,167.5,222.6667,277.8333,333,370,615,772,790,894,1040,1096,1106.6,1117.2,1127.8,1138.4,1149,454,974,1194,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,393728,380381,349157,341075,365661.9167,390248.8333,414835.75,439422.6667,464009.5833,488596.5,513183.4167,537770.3333,562357.25,586944.1667,611531.0833,636118,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4762,4275,4181,3927,3632,3663,2517,2365,2279,2314,2203,2289,2334,
"Burkina Faso",,,,,,,,,,,,,,,,,,,,2682,1842,2707,2409,1764,2474,2407,2641,2052,2583,3403,,,,,,,,,,,,,,,,
"Cayman Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
"Central African Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,109,122,149,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,269795,228615,179626,194065,195888,203590,202138,205736,,,,,,,,,,,,
"Costa Rica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110711,110256.6667,109802.3333,109348,122515,132610,134839,121159,122166,119468,120221,116579,113928,115737,122149
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18116,15718,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,1767,1529,1613,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,44867,48318,50376,51341,51103,50030,49835,47835,43644,43528.7,43413.4,43298.1,43182.8,43067.5,42952.2,42836.9,42721.6,42606.3,42491,41710,,,,
"Dominican Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9584,,,,,,,,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,45194,44227,36030,32519,32718,26884,,,,,,,,,,,,,
"El Salvador",,,,,,,,,,,,,,,,,,,,15304,16764,18945,20863,24209,26976,24578,26361,25942,24842,24284,30763,22479,21127,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2920,3198,3725,4133,4160,4619,4758,5055
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60712,61707,62021,55164.5,48308,49826,51344,50179,49014,,,
France,,,,,,,,,,,,,,,,,,,,759779,786029,749034,675077,667127,671522,657310,657861,678479,700458,743435,737499,759980,721227,692004,699217,700772,720150,703976,651453,658847,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2506,,,,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,30632,30382,28098,26683,26785,26543,27063,25412,25121,25612,23712,23971,22562,20804,22101,22206.75,22312.5,22418.25,22524,22629.75,22735.5,22841.25,22947
India,56245,53915.8,51586.6,49257.4,46928.2,44599,42269.8,39940.6,37611.4,35282.2,32953,41832,42422,27023,19952,24683,15144,94683,170024,14094,12135,8742,3264,3791,1043,2796,3508,43829,10304,6272,5901,5241,6048,5169,4336,4261,5953,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31786,40583,,,,,,
"Isle of Man",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34216,36012,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,694576,656234,632443,605818,617144,641027,651751,629014,598608,588114,577141,555462,543552,525612,499210,467096,434982,402868,357797,326490,311320,296222,291137
Jordan,,,,,,,,,,,,,,,,,,,,8049,9387,9254,13840,13665,15564,16007,15595,15718,15024.3333,14330.6667,13637,11297,12558,12807,13689,15301,,,,,,,,,,
