Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Kyrgyzstan,,,,,,32.1,35.3,38.5,41.7,44.9,48.1,51.3,54.5,57.7,60.9,64.1,67.3,70.5,73.7,76.9,75.9,74.9,73.9,72.9,71.9,70.9
Latvia,28.4,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,33.3,34.55,35.8,37.05,38.3,39.55,40.8
Libya,,,,,,,,,,,,,,,,,,,,34.1,,,,,,
Lithuania,28.3,,,,,,,,,,,,,,,,,,,,,,,,,
Macau,,,,,,,,,,,,,,,,,,,,,,,,,,87.3
"Macedonia (F.Y.R.O.M.)",,,,,,31.6,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,,,,,,,,,68.4,66.44,64.48,62.52,60.56,58.6,58.4833,58.3667,58.25,58.1333,58.0167,57.9
Mali,,,,,,,,,,,,,,,78.5,,,,,,,,,,,
Mexico,,,,,,45.6,46.5889,47.5778,48.5667,49.5556,50.5444,51.5333,52.5222,53.5111,54.5,53.3,52.1,50.9,49.7,48.5,46.65,44.8,42.95,41.1,39.25,37.4
Moldova,19.8,20.04,20.28,20.52,20.76,21,20.2889,19.5778,18.8667,18.1556,17.4444,16.7333,16.0222,15.3111,14.6,,,,,,,,,,,
Montenegro,,,,,,38.1,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,35.2,37.6111,40.0222,42.4333,44.8444,47.2556,49.6667,52.0778,54.4889,56.9,53.56,50.22,46.88,43.54,40.2,,,,,,
"Burma (Myanmar)",,,,,,,,,,,,,,,,,,,,,,,,,,79.9
Netherlands,,,,,,,,,,,,,,,,,,,,63.6,,,,,,
"New Zealand",,,,,,,,,,,,,,,77.5,78.78,80.06,81.34,82.62,83.9,83.7167,83.5333,83.35,83.1667,82.9833,82.8
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,37.4
Nigeria,,,,,,61.6,61.25,60.9,60.55,60.2,59.85,59.5,59.15,58.8,58.45,58.1,57.75,57.4,57.05,56.7,54.2833,51.8667,49.45,47.0333,44.6167,42.2
Norway,,,,,,,,,,,,,,,90.8,,,,,,,,,,,
Pakistan,,,,,,42.1,43.8286,45.5571,47.2857,49.0143,50.7429,52.4714,54.2,55.9286,57.6571,59.3857,61.1143,62.8429,64.5714,66.3,65.3,64.3,63.3,62.3,61.3,60.3
