Country,2008,2009,2010,2011,2012,2013,2014,2015
Albania,7.784652778,7.865989512,7.767881944,7.782857143,7.685714286,7.433352391,7.606486772,7.780778529
Algeria,5.077841007,5.072310975,5.138906676,5.335622205,5.237456712,5.129421312,5.097414355,5.253176849
Angola,4.988663821,4.985470094,4.929078537,5.302862234,6.158389667,6.482318238,5.603193589,5.71976199
Argentina,8.291011905,8.228823041,8.319714286,8.251757937,8.221845238,8.232192183,8.16529357,8.045076544
Armenia,7.338406762,7.41132282,7.431138583,7.361361798,7.327341492,7.085180931,7.089122211,7.1147394
Australia,9.303452381,9.302282171,9.286853175,9.216876984,9.188503968,9.205431258,9.274705266,9.215131248
Austria,9.096277778,9.09268196,9.089527778,9.214027778,9.314238095,9.351349206,9.419094109,9.380462145
Azerbaijan,6.519924344,6.348637241,6.563432153,6.03010069,5.947316333,5.886954692,5.843770432,5.825418799
Bahamas,7.727921806,7.58300947,7.477470417,7.526081528,7.435208167,7.417750468,7.42216083,7.502982563
Bahrain,6.69548158,6.675594983,6.254899024,6.095842238,5.84436208,5.808487055,5.839697896,6.001418351
Bangladesh,5.542658033,5.555134741,5.56396222,5.592730603,5.450384427,5.283197241,5.573027782,5.517423384
Barbados,8.111471667,8.17926702,8.029318889,8.029388333,8.050980833,7.331536389,7.255159549,7.196709179
Belgium,9.112234127,9.149013891,9.140373016,9.121384921,9.091555404,9.11290873,9.124382638,9.185679263
Belize,7.350668389,7.359348944,7.379314222,7.395807278,7.225155444,6.368879859,6.254651738,6.365417383
Benin,6.896941984,6.844961914,6.685188016,7.11713246,7.049486127,7.306628984,7.458623616,7.4549325
Bhutan,-,-,-,-,-,6.867004944,6.890391191,6.621925263
Bolivia,7.338654762,7.505254694,7.428206349,7.657961498,7.616368823,7.514642857,7.639340364,7.132318741
"Bosnia and Herzegovina",8.003359597,8.228340055,8.204766079,8.009715124,7.90656746,7.903638889,7.897283466,7.932792503
Botswana,6.670384921,6.804055895,6.666527778,6.397103175,6.263623016,6.285595238,6.333985821,6.872294445
Brazil,7.759595238,7.795065472,7.805383718,7.680225879,7.442131208,7.385594829,7.36710645,6.887994557
Brunei,-,-,6.457970917,6.687832028,6.631905528,7.087461083,7.087695629,6.079830934
Bulgaria,8.445702381,8.464486549,8.490507937,8.36990873,8.280431986,8.296912698,8.343160585,8.262125309
"Burkina Faso",7.295718254,7.391188598,7.303996032,7.289813492,7.184309121,7.397571429,7.561641205,7.413568475
Burundi,6.151062513,6.811656978,6.116609666,5.992858104,5.957913616,6.301204873,6.422738769,4.468968791
Cambodia,-,-,7.534079365,7.32231804,7.149276221,7.034722391,6.768997168,7.259204774
Cameroon,5.6847296,5.864456354,5.611200492,6.003878187,6.010238095,6.080297619,6.116566339,4.951089465
Canada,9.278246233,9.164868602,9.286369048,9.283035714,9.21343254,9.22839786,9.190298599,9.130116289
"Cape Verde",-,-,8.214146583,8.095952139,8.218317694,8.010713528,8.551112345,8.351396105
"Central African Republic",6.068546467,5.833786574,5.72492308,5.136941038,5.030337614,5.174708381,4.943324727,5.694637194
Chad,5.665790377,5.551198129,5.789277025,5.694087012,5.587016929,5.602889944,5.637720626,5.498239176
Chile,8.204146825,8.182023901,8.19075889,8.2166844,8.162369048,8.176014644,8.174118258,8.231656573
China,5.588093171,5.430739461,5.42901144,5.633008875,5.51710558,5.539821893,5.551040317,5.618413196
Colombia,6.931637787,6.899175395,6.998706835,6.541714206,5.985389132,6.45550414,6.481080685,6.901523959
"Congo (Kinshasa)",5.539712084,5.942305075,5.538142982,4.354976702,4.135666304,4.213483286,4.790889502,4.82696844
"Congo (Brazzaville)",6.481208095,6.524909031,6.593271587,6.214858889,6.196259524,6.748494928,6.805323414,6.652387126
"Costa Rica",8.304516833,8.27524145,8.093822389,8.261309492,8.244232865,8.165510643,8.306566893,8.257482151
"Ivory Coast",5.832689109,5.878668836,5.764017651,6.014261008,6.213599495,6.67039827,6.783401676,6.87615326
Croatia,8.081145833,8.409429808,8.149409722,8.483444444,8.427055556,8.42930614,8.564641008,8.483146733
Cyprus,8.992368619,8.963294107,8.985424175,8.652646397,8.50725223,8.594828516,8.797675393,8.639062301
"Czech Republic",9.157834867,9.177684737,9.119019841,9.060825397,9.064761905,9.061011905,9.117058216,8.958433301
Denmark,9.514754725,9.509470466,9.509946768,9.5016472,9.513321429,9.541026448,9.48403147,9.358081743
"Dominican Republic",6.990269841,7.010127189,6.94368254,6.951720731,7.016527778,7.02843254,7.220429449,6.781106942
