Country,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.90000153,43.1857,41.4714,39.7571,38.0429,36.3286,34.6143,32.90000153,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.099999905,10.4,13.7,17,14.92,12.84,10.76,8.68,6.599999905,6.525,6.45,6.375,6.300000191,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,8,8.24,8.48,8.72,8.96,9.199999809,9.9,10.6,11.30000019,10.12,8.94,7.76,6.58,5.400000095,8.25,11.10000038,8.6333,6.1667,3.700000048,3.6,3.5,3.4,3.3,3.2,3.1,3,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,35.1,33.2,31.3,29.4,27.5,25.5167,23.5333,21.55,19.5667,17.5833,15.60000038,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.700000048,3.2,4.699999809,4.4333,4.1667,3.9,3.6333,3.3667,3.1,2.8333,2.5667,2.299999952,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.700000048,2.65,2.599999905,2.92,3.24,3.56,3.88,4.199999809,4.42,4.64,4.86,5.08,5.300000191,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.200000003,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.800000191,10.1,11.4,12.7,14,5.900000095,6.4,6.9,7.4,7.9,8.399999619,7.9,7.4,6.9,6.4,5.9,5.4,4.900000095,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,6.300000191,6.5167,6.7333,6.95,7.1667,7.3833,7.599999905,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,63.79999924,64.8,65.8,66.80000305,65.475,64.15,62.825,61.5,64.30000305,63.70000076,59,61,58,56.70000076,52.5,53.29999924,52,42.29999924,45.40000153,43.09999847,40.90000153,42.70000076,39.20000076,39.79999924,41.29999924,40.175,39.05,37.925,36.79999924,34.35,31.89999962,32.90000153,,
