Country,2014,2015,2016,2017,2018,2019,2020
Algeria,2.081,,,,,,
Andorra,,,,,,,1.507
Azerbaijan,1.148,,,,,,
Argentina,1.59,1.6125,1.635,1.6575,1.68,1.7025,1.725
Australia,1.285,1.3193,1.3537,1.388,1.4223,1.4567,1.491
Armenia,1.366,,,,,,
Bangladesh,,,,,,,1.555
Brazil,1.421,1.436,1.451,1.466,1.481,1.496,1.511
Belarus,1.734,,,,,,
Bolivia,,,,,,,1.559
Chile,1.436,1.5542,1.6723,1.7905,1.9087,2.0268,2.145
China,1.453,1.426,1.399,1.372,1.345,1.318,1.291
Colombia,1.447,1.4703,1.4937,1.517,1.5403,1.5637,1.587
Cyprus,1.386,1.3778,1.3697,1.3615,1.3533,1.3452,1.337
Ecuador,1.761,1.7863,1.8117,1.837,1.8623,1.8877,1.913
Estonia,1.315,,,,,,
Ethiopia,,,,,,,1.483
Georgia,1.179,,,,,,
"West Bank and Gaza",1.676,,,,,,
Germany,1.315,1.2905,1.266,1.2415,1.217,1.1925,1.168
Ghana,1.432,,,,,,
Greece,,,,,,,1.15
Guatemala,,,,,,,2.189
Haiti,4.594,,,,,,
"Hong Kong",1.882,1.8972,1.9123,1.9275,1.9427,1.9578,1.973
India,1.54,,,,,,
Indonesia,,,,,,,1.57
Iran,,,,,,,1.455
Iraq,1.613,1.7468,1.8807,2.0145,2.1483,2.2822,2.416
Japan,1.132,1.1245,1.117,1.1095,1.102,1.0945,1.087
Kazakhstan,1.951,1.9802,2.0093,2.0385,2.0677,2.0968,2.126
Jordan,1.356,1.3577,1.3593,1.361,1.3627,1.3643,1.366
"South Korea",1.647,1.7408,1.8347,1.9285,2.0223,2.1162,2.21
Kuwait,1.955,,,,,,
Kyrgyzstan,2.06,1.9862,1.9123,1.8385,1.7647,1.6908,1.617
Lebanon,2.617,2.504,2.391,2.278,2.165,2.052,1.939
Libya,1.608,,,,,,
Macau,,,,,,,2.253
Malaysia,2.358,2.4825,2.607,2.7315,2.856,2.9805,3.105
Mexico,1.904,1.9753,2.0467,2.118,2.1893,2.2607,2.332
Morocco,1.332,,,,,,
"Burma (Myanmar)",,,,,,,1.491
Netherlands,1.195,,,,,,
"New Zealand",1.384,1.3783,1.3727,1.367,1.3613,1.3557,1.35
Nicaragua,,,,,,,1.659
Nigeria,2.004,1.9518,1.8997,1.8475,1.7953,1.7432,1.691
Pakistan,1.717,1.722,1.727,1.732,1.737,1.742,1.747
Peru,1.714,1.6845,1.655,1.6255,1.596,1.5665,1.537
Philippines,3.376,3.4198,3.4637,3.5075,3.5513,3.5952,3.639
Poland,1.556,,,,,,
"Puerto Rico",,,,,,,1.356
Qatar,1.455,,,,,,
Romania,1.184,1.234,1.284,1.334,1.384,1.434,1.484
Russia,1.719,1.8018,1.8847,1.9675,2.0503,2.1332,2.216
Rwanda,1.44,,,,,,
Serbia,,,,,,,2.946
Singapore,2.391,,,,,,
Slovenia,1.447,,,,,,
"South Africa",3.96,,,,,,
Zimbabwe,2.037,1.9778,1.9187,1.8595,1.8003,1.7412,1.682
Spain,1.544,,,,,,
Sweden,1.863,,,,,,
Tajikistan,,,,,,,2.182
Thailand,1.637,1.6675,1.698,1.7285,1.759,1.7895,1.82
"Trinidad and Tobago",1.255,,,,,,
Tunisia,1.182,1.239,1.296,1.353,1.41,1.467,1.524
Turkey,1.259,1.3147,1.3703,1.426,1.4817,1.5373,1.593
Ukraine,1.67,,,,,,
Egypt,1.816,1.6905,1.565,1.4395,1.314,1.1885,1.063
"United States",1.696,1.7245,1.753,1.7815,1.81,1.8385,1.867
Uruguay,1.437,,,,,,
Uzbekistan,1.522,,,,,,
Vietnam,,,,,,,2.497
Yemen,1.455,,,,,,
