"Data Item",1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
"Female victims",980,910,850,780,750,780,580,470,500,420,430,380,360
"Male victims",160,170,110,140,100,150,110,80,90,70,70,130,90
