Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Barbados,122.18,126.74,144.81,130.87,146.57,134.32,154.33,124.98,118.83,134.77,122.58,111.51,110.18,105.77,99.55,105.78,117.91,114.25,125.38,139.55,124.01,115.46,105.8,110.7,106.46,117.36,107.62,108.77,107.85,110.63,108.72,97.4,90.65,93.01,97.25,111.94,106.18,98.29,105.19,102.58,95.39,92.37,96.07,96.52,105.8,97.68,101.26,94.47,99.18,91.29,93.86,94.9,89.32,88.03
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.72,115.6,89.77,88.99,90.81,83.5,88.86,82.04,79.64,82.59,84.16,81.94,93.78,97.03,109.19,109.93,117.81,124.37,128.28,127.6,140.03,135.87,133.62
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.15,98.53,101.68,100.98,104.21,99.05,96.74,97.44,92.08,95.83,100.86,104.64,100.46,104.27,90.02
Belize,13.36,11.42,12.51,15.13,16.21,18.72,20.74,23.28,21.01,22.36,24,25.1,27.4,29.95,27.78,26.34,32.46,36.26,33.5,38.65,38.36,40.78,39.24,39.41,38.87,40.45,44.91,43.23,44.31,50.5,48.43,58.9,66.16,60.06,64.6,71.76,74.54,71.86,77.25,85.28,86.39,81.24,85.23,99.44,96.77,103.79,95.03,93.97,92.59,91.89,85.18,100.61,93.43,95.25
Benin,22.79,21.15,21.42,22.42,23.4,22.52,24.85,26.82,25.95,27.13,27.21,27.4,28.33,26.63,26.27,30.77,29.75,32.83,34.51,32.54,31.81,32,32.38,40.98,41.2,43.34,38.01,45.47,47.21,48.61,52.18,52.6,55.24,58.04,62.01,67.89,73.5,76.01,81.79,85.86,86.74,92.93,97.85,103.38,101.19,95.43,99.01,118.14,119.71,124.38,132.44,140.98,148.55,160.4
Bermuda,125.72,126.86,139.73,148.9,143.23,153.36,152.49,140.94,119.84,131.23,118.42,97.04,90,83.67,85.31,85.35,81.18,82.98,86.6,89.14,91.39,93.98,95.56,91.26,92.14,88.93,93.22,97.32,106.26,112.63,109.32,106.26,103.29,99.28,97.08,90.65,93.58,98.66,100.34,102.25,104.2,100.52,103.01,99.54,99.54,100.92,104.46,109.28,111.05,111.43,113.09,117.21,114.92,114.99
Bhutan,31.63,32.98,34.25,35.17,36.08,36.84,37.81,38.69,39.7,40.58,41.56,42.48,43.39,44.42,45.5,46.59,47.63,48.92,50.02,52.98,56.8,57.43,58.84,64.16,61.18,61.83,68.62,58.81,59.89,69.2,70.59,68.43,67.74,69.5,72.39,72.65,71.71,70.39,79.81,70.35,71.81,70.87,75.04,83.18,105.77,111.05,111.74,91.97,89.11,94.42,110.23,102.26,95.52,97.86
Bolivia,20.05,20.77,22.08,22.65,23.64,24.67,25.41,27.22,27.2,29.54,30.41,33.16,35.11,36.2,38.8,39.98,39.49,39.44,39.72,43.76,44.13,45.21,37.94,43.61,47.69,48.03,50,52.31,54.43,58.34,59.57,56.96,59.73,65,70.58,72.47,74.32,77.11,77.29,82.73,84.32,89.18,94.4,93.91,100,106.09,112.27,112.48,120.76,120.36,122.66,134.96,137.78,139.48
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.82,84.57,71.77,69.11,63.3,76.4,86.86,82.87,68.06,73.16,80.46,77.41,98.69,97.83,103.48,103.91,110.66,113.4,111.85,111.79,100.97,116.7,100.29
Botswana,58.03,58.43,64.27,70.93,69.96,72.14,75.37,72.81,74.15,80.57,87.41,86.75,82.36,85.07,82.43,92.11,87.95,72.57,91.81,71.52,89.06,92.9,86.57,95.8,93.03,91.42,81.96,87.49,90.61,97.42,104.14,101.25,100.85,93.55,110.47,103.12,95.68,92.32,81.64,89.62,97.11,91.15,93.87,100.71,101.51,97.77,99.77,108.57,114.24,125.08,144.16,128.55,127.68,109.74
