Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36276,36458,36855,36912,36944,37103,35854,41226,22792,35276,41265,25975,47123,46649,46346,31442,46080,47078,41332,37561,28225,40573,42892
Botswana,3399,3326,3758,2674,3199,4354,3150,2576,3060,613,4461,9448,2720,6888,4433,6411,4124,2646,1247,2345,2709,2751,2514,1360,1919,1908,1836,3728,2857,2611,3722,2831,4179,2201,4533,3212,2734,2396,2241,1502,5458,3546,12133,2725,4373,3716,6388,3610,3640,3717,4523,3672,2176,3044
Brazil,13050,12997,13024,11574,13750,13011,13767,13322,13115,14377,13354,14093,14288,15262,15055,15992,16356,12294,14358,17703,18205,17068,17320,17488,18472,16456,19729,18580,20358,18491,17785,22452,24813,23222,25640,26576,25754,27174,26881,26457,32832,29554,35931,32317,29011,32491,36668,39523,36011,42164,40782,48373,50639,49751
Bulgaria,19595,19710,21010,24811,20394,30510,28368,24675,31400,32318,32843,36778,34919,30456,35234,37011,31411,33306,40101,34575,38138,47041,42906,47622,29486,42814,35348,33134,40099,31846,42811,28010,20720,27360,32675,19351,31000,24941,31976,19834,26815,34051,23451,44261,37899,38532,17811,39462,38779,47706,48444,34986,52644,60568
"Burkina Faso",4038,4706,4682,5142,4812,4889,4402,6187,4752,5089,4346,4532,4290,4794,5505,4876,5187,5666,5682,5591,5662,5547,5015,5742,6949,6912,6379,7189,6631,5867,8684,8626,9248,7748,8335,8906,6869,8726,8925,8329,9509,9289,9827,9315,11165,11838,9267,10127,9677,10318,9654,11637,11210,11771
Burundi,9639,10196,9238,10080,10029,9940,10240,10524,10873,11147,11336,10362,11172,9759,11060,10994,11061,12492,10800,10524,10825,10729,10928,10588,11343,11561,11688,11139,12763,12613,12928,13203,13131,11520,12961,13046,12773,11751,11425,10907,11149,11404,11246,11491,11614,10920,11049,10897,10870,10379,9761,9798,11138,11354
"Cape Verde",6500,6500,6500,6500,4857,4872,4889,4400,4375,3080,3033,1917,2380,3143,4444,4545,3750,3333,4286,5313,4286,4400,3857,4936,4009,5343,6072,4819,2738,3346,2529,3021,3591,2503,2629,3172,1469,1415,11620,7948,6373,1485,3792,3852,2432,1407,1101,3369,2308,2200,1778,1962,1823,2018
Cambodia,19789,15019,15930,16055,10183,15276,12812,13616,11507,15893,12919,14164,11613,11667,11818,13636,12903,12308,9333,10000,10000,8361,8776,11163,9130,11860,9500,8200,11020,19556,12000,12500,10583,12162,12191,13740,12427,12171,15948,27345,27612,20797,37472,33202,35153,35798,36831,37513,41757,36134,41146,44138,43841,46168
Cameroon,8674,7556,7753,7771,7630,8161,7472,7621,8389,7982,8035,8256,7735,8763,10528,8387,8415,7888,7886,8361,8311,8400,8203,10071,10352,13007,11456,11122,10534,11943,11498,10332,9401,9429,11497,13082,13760,13751,18460,17276,16742,17097,16384,15758,16854,17178,17108,17135,16914,16880,17424,16031,17251,17523
Canada,13378,18521,19501,18288,20294,21291,18314,21083,21442,23040,23826,22766,22261,19651,23279,25163,26251,26269,26181,27215,28172,29709,26758,27209,30059,32256,31767,26870,28389,33164,32665,31154,34247,32949,34045,34552,32543,35197,38012,33387,31931,31072,34348,38363,39134,37214,36964,42119,42132,46372,45189,51324,52531,48729
