Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Austria,..,..,..,..,25.6,25.8,25.9,26.2,26.4,26.7,..,..,..,..,..,..
Chile,..,..,..,..,..,..,..,..,..,29.8,..,..,..,..,..,..
Finland,..,..,..,28.9,28.8,28.5,28.3,28.6,28.1,29.5,..,..,..,..,..,..
France,31.4,32.5,33.5,33.3,33.2,34.4,35.0,35.3,37.1,35.1,35.8,37.8,38.1,38.5,38.5,40.0
Italy,..,..,..,..,23.3,23.7,24.2,24.7,25.2,26.1,..,..,..,..,..,..
Japan,..,29.2,..,..,..,..,29.4,..,..,29.0,..,..,..,..,..,..
"South Korea",..,..,..,..,..,..,38.2,38.8,39.2,39.7,..,..,..,..,..,..
Mexico,..,..,..,..,..,..,..,..,45.9,..,..,..,..,..,..,..
Netherlands,..,..,..,..,..,..,..,21.2,21.3,21.7,22.2,..,..,..,..,..
"New Zealand",26.1,27.4,27.4,27.3,27.6,28.2,28.9,28.8,29.4,29.8,30.5,..,..,..,..,..
Norway,..,..,..,..,..,..,..,..,..,..,27.3,..,..,..,..,..
Slovakia,29.5,29.6,30.2,31.3,29.7,29.0,28.7,27.2,26.5,27.0,..,..,..,..,..,..
Slovenia,..,..,..,..,28.6,28.6,28.2,27.7,27.2,27.6,..,..,..,..,..,..
Spain,..,..,..,..,..,..,..,..,..,34.2,..,..,..,..,..,..
Sweden,..,..,..,..,..,..,..,33.8,34.3,34.7,..,..,..,..,..,..
