Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,37.40378629,36.09379659,35.12847416,35.2900467,35.87860142,36.05980786,36.06839043,36.26287438,36.54902213,37.09422641,37.22703334,36.76109905,35.68850097,35.98797976,35.95111029,35.76955129,36.07886629,38.23859535,40.49545506,42.11221384,43.54776237,46.36842166,50.76617397,55.04369706,57.92072757,59.41803469,59.10978672,59.11328315,59.54520299,61.94512723
Albania,51.24363101,50.41236961,47.36086556,44.54272888,41.21547132,41.18845661,41.66509305,42.26767971,42.65746957,43.44519692,43.33951933,41.69931134,43.59296072,46.45924864,46.72287867,45.72222024,43.41621802,41.79271246,42.45403049,41.84427458,41.18960409,41.12337093,40.49466115,39.97579333,39.88566115,39.70591103,39.09789427,38.52583111,38.00771732,37.50004557
Algeria,106.2901565,105.2735045,105.7175252,106.5622844,107.6410692,108.4221741,108.9345485,109.7773602,109.6739724,111.0342904,109.4908972,106.9101135,104.0546736,101.1321419,98.67671157,95.97939882,93.52051259,90.92538069,88.46112686,86.47549592,84.81749222,84.24186583,83.58788305,83.21580623,83.31715154,83.08803178,80.89839211,79.34912416,79.21558916,79.11874593
"American Samoa",21.62902332,22.34158843,22.88474082,23.19016463,22.80846409,22.29916082,21.89761453,21.53866122,21.05034332,20.37432493,19.52518082,19.33026559,19.32157763,19.21961753,19.15174775,18.94585885,18.87641235,18.40615814,18.06764166,17.65286884,17.28309624,17.16042155,17.18088335,17.54327885,17.70057636,17.94231362,18.29841012,18.42532124,18.56324661,18.19665606
Andorra,21.98417304,21.06225499,20.26976018,19.50813159,19.1085284,18.86598683,18.51002873,18.11443341,17.87823463,17.84068837,17.69933497,17.17440994,16.65701855,15.83681681,15.35349487,14.77893415,14.39124489,13.73319758,13.2743266,13.07049245,12.83830299,12.59253812,12.32247739,12.11590437,11.72434859,11.18929333,10.09406355,9.218845697,9.271895931,9.148252607
Angola,22.43476579,22.63647344,22.43813843,22.86184916,22.94015802,23.17556264,23.19818007,23.99041341,25.14131293,26.28937214,26.13728948,26.18572437,25.88332312,26.5916294,28.25689811,29.23551432,30.66080071,30.54195979,30.87217359,31.48035877,32.52792528,33.97013498,35.72910667,37.54209183,38.72053036,40.26009604,41.47002641,42.95568963,44.85601602,47.10769147
"Antigua and Barbuda",42.20230501,42.86467816,43.38569754,46.22122805,46.36648584,46.56954271,43.42224397,42.30021845,41.38160372,40.56593679,39.34463245,38.18871201,36.50273805,35.04476963,33.78516299,32.93811084,32.84021088,36.0967309,35.92166478,33.46382482,33.40021891,33.53593398,33.55279223,33.89956617,34.72112834,34.79023353,33.64018521,32.49117802,32.35575167,32.80599028
Argentina,37.53010237,37.07405696,37.14750967,36.37880933,35.11497401,34.79794074,34.19322326,33.34856292,32.89697572,32.13923156,30.19376015,29.42165116,29.11021687,28.58766471,27.16823211,26.17182072,25.78100441,26.25292666,25.28678887,25.21686953,25.4411015,25.65175178,25.82907205,25.9705189,25.89399941,26.09221189,26.16191244,24.97308641,24.43569529,24.18835346
Armenia,91.5938945,95.14450942,104.0826501,108.6427646,103.5892903,101.6778943,101.0488098,95.87685603,93.81503605,93.99225934,91.83574947,92.29004956,93.54560743,95.83356764,95.73922636,96.36454389,97.52319682,96.57956487,98.08124824,97.67675229,96.18573128,94.92354979,92.73752364,89.9078704,89.35836774,89.72185384,86.37683341,83.89097666,82.60129628,81.40820227
Australia,12.69971328,11.99561749,11.6170863,11.10997853,10.86151047,10.41313875,10.09983439,9.666877342,9.186518356,8.721891594,8.285286104,7.885038196,7.464417609,6.942860087,6.364442989,5.950070695,5.664114383,5.499510986,5.326489321,5.067292024,4.874297243,4.753933838,4.614494208,4.529805953,4.506738098,4.471412706,4.248385206,4.060651607,4.210068893,4.307855446
Austria,44.35454093,43.90556055,42.96750101,41.94624015,40.3462357,39.25844704,38.12676723,36.13101846,34.34976562,32.59983929,30.65325064,29.1126396,28.56428198,27.86215083,26.41266155,25.13737648,23.97918967,23.14587399,22.18946664,21.61461386,20.65527233,19.76411737,18.91905099,17.91804822,16.89528947,16.04500542,14.58904861,13.45745058,13.4299567,13.59295441
Azerbaijan,71.59643633,76.72578861,83.8091455,90.42797918,96.21475896,96.90964802,95.40411046,93.37350681,92.45670706,92.06170503,91.59095846,90.05959361,91.91238693,95.04656836,96.77586291,100.6640148,103.8375261,106.7706734,110.4961932,113.4372161,115.5457772,117.3632033,119.2503749,120.4232881,122.364971,121.9488004,120.3898568,118.4481796,112.5568201,110.7646777
Bahamas,40.15345418,39.38640062,38.839423,38.84693731,38.7344178,38.29329259,39.33029124,38.15117144,37.97799108,38.92095901,36.89260048,36.65819191,34.64323498,33.85405141,33.1959197,30.98703809,30.47434394,28.67104684,28.47865584,28.92442172,28.46783042,28.41645129,28.27958211,28.19296961,28.21088324,28.71323973,27.93688209,27.09221168,27.25852478,27.53961007
Bahrain,203.4611849,203.873836,200.0377342,191.1191175,187.1050864,187.3385209,189.6259863,188.5889956,189.7840399,189.7470721,166.4128014,143.7463961,164.1005691,183.545411,184.2457982,181.5658284,174.0505675,166.8479075,159.3811669,150.2046362,143.4415508,138.8140333,135.9827876,126.7572059,117.6407731,113.8334694,113.0429036,112.8563106,109.8584714,108.7559116
Bangladesh,41.95902609,40.36316973,41.43240965,42.93318662,43.70745433,45.79693664,46.67977443,47.98087289,49.78590734,51.87229429,53.46376009,53.65854378,55.05997432,57.2485406,57.61640957,58.82048809,60.69828747,61.98844372,61.52637478,61.1448468,62.81114108,60.01915883,58.91083159,61.4551303,65.31724009,64.64676194,64.30295752,66.9332856,68.34009904,70.62985389
