Jordan,527.2,323.8,274.2,316.4,327.3,315.9,303,325.3
Kazakhstan,115.6,111.3,88.4,71.1,65.3,56.6,56.3,50.6
Kenya,1397.2,1449.6,1419.2,1197.8,1081.3,1011.4,732.3,642
Kiribati,5029.4,5320,5162.7,5199.7,5296.4,4842.1,5169.3,3228.7
"South Korea",43.7,42.3,38.6,31,45.1,41.1,39.8,38.3
Kosovo,947.5,1030.2,1011.4,910.5,876.4,822.5,267.8,253.1
Kuwait,52.1,71.7,58.1,48.5,49.9,47.3,52.2,64.6
Kyrgyzstan,1939,1622,1519.4,1243.3,1137.8,1004.8,891.8,858.1
Laos,3273.6,2760.5,2404.1,2151.4,1932.7,1667.2,1522.6,1408.7
Latvia,363.3,405.2,439.1,389.1,326.1,308.2,296.6,289.6
Lebanon,166.9,129,99.9,99.5,98,93.2,93.9,114.8
Lesotho,2672.7,2664,2456.7,2275.9,1991.8,1647.5,1628.3,1421.7
Liberia,8002.7,9239.3,7780.5,6159.5,3975.8,3627.4,3897.1,4066.6
Libya,,,,452,189.1,206.2,351.3,441.6
Lithuania,77.8,64,63.3,55.4,48.1,45.5,52.8,43.7
Luxembourg,51.5,66.1,58.8,58,57.7,40.1,40.4,36
"Macedonia (F.Y.R.O.M.)",904.2,877.9,827.6,286.7,257.3,254.1,229.9,212.3
Madagascar,5774.6,6908,6244.7,6971.5,6926.5,6569.2,6229.5,5699.2
Malawi,11655.6,11703.9,9665.8,8854.9,7468.4,6131.5,4698.4,2688
Malaysia,38.6,40.4,36.6,33.5,30.9,26.7,28.8,26.6
Maldives,622.5,576,536,380.5,398,391.5,296.8,321.7
Mali,4229.2,3877.9,4397.7,4187.8,3771.9,3833.8,3498.9,2964.7
Malta,,,480.2,463.6,463.2,440.2,425,394.7
"Marshall Islands",923.1,1003.5,1010.3,768.9,708.9,728.8,725.8,712.1
Mauritania,7771.5,7466.8,6067.4,5630,5397.3,5706.7,4723.2,4735.1
Mauritius,384.5,349.5,330.2,296.1,282,277,260,247.7
Mexico,582.5,438.3,397.5,384.8,349.2,346.1,332.9,336.7
Micronesia,538.7,519.9,456.9,424,374.7,363.8,369.7,397.1
Moldova,1389.7,1458,1210.1,1078.7,1011.9,864.6,778.3,738.4
Mongolia,1258.8,1298.4,1107.5,982.7,719.9,600.6,520.3,579.1
Montenegro,485.1,542.8,533.4,500.8,498,478,464.8,440.5
Morocco,1827.5,2250.7,2137.7,2079.8,2045,1974.5,1898.7,1770.2
Mozambique,3180.9,2693.2,2805.7,2607.1,2801.1,2433,2276.6,2509
"Burma (Myanmar)",,,,3369.8,2863.7,2526.6,1673.4,1270.1
Namibia,647.7,586.6,535,493.2,403.8,397.9,338.7,349.4
Nepal,2730.9,2370.7,1995.8,1762.8,1380.7,1284.9,1134.9,1042.1
Netherlands,28.7,29.5,30.7,33.5,35.8,33.5,30.4,29.9
"New Zealand",99.9,91.1,89.3,85.8,84.3,78.7,75.2,76
Nicaragua,1625.9,1736.8,1624.3,1499.3,1063.1,985.5,958.6,904.2
Niger,7995.8,7900.4,6675.1,6575.3,6948.3,6657.8,6284.3,5426.8
Nigeria,1432.7,1474.6,1319.3,1086.8,960.5,478,437.7,422.8
Norway,13.4,14.3,13.9,12.8,12.1,11.9,11.5,11.3
Oman,62.9,66.3,62.5,51.3,49.7,48.9,64.9,80.7
Pakistan,1451.6,1195.7,1201.1,1541.8,1483,1350.5,1230.4,1771.9
Palau,100.8,138.8,122.5,126.9,91.8,82.2,73.9,65.2
Panama,17.3,16,15,13,10.3,10.3,9.4,8.9
"Papua New Guinea",73.7,74.2,66.9,59.9,57.5,54.1,47.3,38
