Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,,,,0.21,0.02,3.24,1.08,5.87,0.4,0.06,1.13,1.8,3.3,,,,,
Algeria,,,,5.44,7.01,14.28,8.61,23.45,10.57,11.77,11,9.04,48.75,,,,,
Angola,,,,4931.78,3536.22,3938.79,3635.85,4628.82,4269.15,4128.8,5014.41,4114.37,3828.93,,,,,
Argentina,944,976,790,1020,92,225,151,35,110,126,53,58,46,103,157,128,177,551
Armenia,,,,0.4,0.21,0.02,0.3,0.01,0.01,0.01,0.78,0.42,0.17,,,,,
Australia,,,,,,,11279.77,8272.88,7309.5,10275.82,3221.23,26075.96,26682.46,15179.94,20946.27,14774.38,,
Austria,,,0.09,0.11,0.01,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.06,0.04,0.09,0.02,0.02
Bahamas,0.5,3.83,21.15,0.2,39.43,13.02,3.85,27.23,35.31,8.94,0.52,16.39,15.98,35.31,0.52,0.28,0.5,
Belarus,1.76,0.36,10.11,3.08,0.56,0.32,2.5,0.61,0.41,1.68,0.42,0.16,0.18,0.07,0.34,13.89,0.19,0.1
Benin,,,,0.54,0.06,0.13,0.36,1.3,0.31,1.4,0.12,0.25,0.06,,,,,
Bhutan,,,,,,3.22,7.92,22.78,3.88,1.7,3.77,4.41,4.41,4.93,18.9,6.2,8.5,5.2
Bolivia,,,,,,,,,,,,,,,87.8,255.87,460.8,
"Bosnia and Herzegovina",30.82,6.52,2.76,35.79,2.12,1.1,3.91,16.03,7.81,2.45,2.14,25.27,68.68,2.63,0.88,9.47,6.98,40.96
Botswana,150.89,120.98,178.4,87.33,82.72,81.4,183.25,119.5,224.28,69.15,153.5,233.63,186.91,180.22,106.36,142.92,100.5,
Brazil,3929.9,7048.07,30541.69,31068.75,27999.57,31696.23,16667.54,36023.44,14959.58,8857.41,27417.73,11133.62,23859.54,10636.04,18089.35,32998.07,26605.07,29609.36
Bulgaria,37.4,18.5,5.9,4.3,1.1,1.4,3.5,43,5.3,2.3,6.5,6.9,12.7,3.3,0.9,4.3,6.3,4.6
Burundi,,,,,,,,,,5.3,8.12,2.4,2.29,7.27,27.295,47.32,9.63,2694
"Cape Verde",,,0.01,0.01,0.01,0.03,0.03,0.05,0.0367,0.0233,0.01,0.07,0.11,0.52,0.2,0.8,0.405,0.01
Cambodia,13,347,735,667,941,599,605,775,696,497,328,483,161,374,383,446,318,
Canada,665.33,626.42,2770.41,1743.44,3183.81,1671.52,2250.82,1542.2,1712.06,775.03,3052.47,2428.8,2003.27,4210.14,4563.33,3861.65,1416.05,3371.83
"Central African Republic",,,,666.3,147.5,179.2,594.7,906.7,145.1,384.7,170.1,188.9,91.1,,,,,
Chad,,,,10.82,5.26,21.64,10.48,26.38,7.43,33.6,9.34,12.55,7.79,,,,,
Chile,4.24,2.28,53.52,10.75,16.9,16.42,4.04,27.45,17.2,32.62,25.33,18.73,41.85,4.61,53.04,74.95,11.85,371.79
China,90.12,46.18,47.63,451.02,142.24,73.7,408.26,29.29,52.54,46.16,45.8,26.95,13.95,13.72,19.11,12.94,6.22,24.5
Comoros,,,,0.1,0.08,0.13,0.4067,0.6833,0.96,0.54,0.12,,,,,,,
"Costa Rica",7.75,14.1,9.04,2.5,6.8,1.11,1.15,6.08,1.41,4.4,4.09,1.2,10.5,21.8,4,2,25.82,6.93
"Ivory Coast",,,,44.49,10.07,6.93,38.99,13.05,20.07,20.86,6.87,11.05,10.86,,,,,
Croatia,17.17,3.51,1.77,8.27,0.35,0.38,0.51,2.44,1.47,0.89,0.34,2.31,7.28,0.22,0.05,1.77,0.66,7.54
Cuba,7.99,6.32,23.12,2.34,13.56,11.86,10.4,7.87,3.72,11.81,4.97,20.49,3.51,4.28,2.71,8.39,3.32,6.68
Cyprus,,,,0.09,0.17,0.06,0.14,1.3,0.05,0.07,0.28,0.23,0.25,0.08,0.09,0.03,2.62,0.08
"Czech Republic",0.38,0.09,0.18,1.24,0.34,0.23,0.41,0.32,0.09,0.18,0.21,0.34,0.63,0.09,0.54,0.34,0.14,0.17
"North Korea",11.28,218,29.21,114.06,74.06,48.05,23.46,143.15,308.19,28.77,8.97,319.24,8.04,69.54,112.72,38.35,30.76,
Denmark,,,,,0.16,,,,,,,,,,,,,
"Dominican Republic",3.3,8.1,1.2,6,17.9,30.4,3.3,2,6.5,3.2,3.9,3.6,2.1,11.4,11.6,11.6,1.2,0.8
Estonia,0.68,0.06,2.08,0.21,0.38,0.09,3.1,0.29,1.28,0.06,0.02,0.02,0.05,0.08,0.08,0.08,0.12,0.03
Finland,0.27,0.19,0.59,0.67,0.36,0.49,1.62,0.58,0.83,0.58,0.52,0.59,0.09,0.47,0.89,0.15,0.32,0.47
France,,,,,,,6.72,6.73,4.36,13.68,7.71,6.22,6.25,2.35,4.04,6.21,13.1,21.78
"French Polynesia",,,,,,,,,,,,,0.6,0.01,,,,
Gambia,,,,,,,,,,,151,,,,,,,
Georgia,0.09,0.15,0.61,0.05,0.03,0.05,0.77,0.03,1.27,0.06,0.37,0.01,0.2,0.09,0.72,0.21,0.18,1.3
Germany,0.58,0.12,0.12,1.32,0.27,0.18,0.48,0.26,0.54,0.76,0.52,0.21,0.27,0.2,0.12,0.53,0.28,0.39
Ghana,,,,33.21,2.8,13.78,7.23,10.94,43.65,16.98,5.89,6.06,4.64,,,,,
Grenada,,0.01,0.01,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,5.3,9.8,3.9,9.5,14.6,15.9
Guinea,,,,76.27,41.9,15,49.71,69.42,16.48,108.02,24.85,24.98,52.49,,,,,
"Guinea Bissau",19.79,208.21,267.84,381.08,102.43,206.62,163.75,196.84,142.01,139.22,106.88,62.94,130.67,136.39,143.13,221.55,115.34,
Guyana,0.17,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.39,0.49,0.52,1.13,1.13,
Haiti,0.1,0.1,0.12,0.01,0.16,0.12,0.08,0.07,0.11,0.14,0.03,0.03,0.1,0.18,0.11,0.08,0.07,
Hungary,0.81,0.42,0.38,1.05,0.35,3.53,0.63,2.06,0.4,0.85,0.24,1.19,4.37,0.41,0.76,1.6,0.22,1.24
Iceland,,,,,,,,,0.01,,,,,,,,,
India,2920,2920,2920,3184,3184,2869,2869,3299,3299,3299,3299,3297,3297,3501,3501,3577,3654,3731
Indonesia,3.01,14.33,35.49,3.54,3.34,5.5,4.24,6.97,6.79,3.86,3.49,2.61,8.26,4.76,44.54,,,
Iran,,,,0.79,0.17,0.65,27.52,0.58,1.02,1.34,1.02,0.15,0.35,3.64,8.6,4.79,4.54,4.01
Ireland,0.32,0.83,0.07,0.81,0.59,0.12,0.46,0.57,0.45,0.13,1.48,1.53,0.04,0.39,0.33,0.18,0.04,0.2
Israel,,,,0.74,0.72,1,2.12,0.81,0.63,0.74,5.41,0.63,0.71,2.05,1.42,2.71,2.15,0.46
Italy,58.23,38.19,20.57,44.06,20.87,21.47,16.42,116.6,30.27,31.06,19.37,38.43,74.53,13.44,17.32,25.87,31,113.57
Japan,1.5,1.8,2.6,0.7,1.6,1.1,0.8,0.7,0.8,1.1,0.8,2.1,0.4,1,1.1,0.5,0.4,
Kazakhstan,20.1,10.4,27.6,92.9,59.6,21.7,46.2,139.4,7.7,4.4,11.7,3.1,6.6,1.1,3,9.6,0.6,13.4
Kenya,1.32,37.83,69.4,4.53,2.51,8.94,5.18,2.48,5.16,3.51,0.77,8.5,18.44,35.96,19.41,3.85,2.6,2.15
Kyrgyzstan,0.64,0.552,0.464,0.376,0.288,0.2,0.3467,0.4933,0.64,0.07,0.19,0.18,0.03,0.22,0.54,0.02,0.11,0.2
Laos,4.08,26.7,40.23,21.79,105.7,64.87,29.23,87.43,15.98,32.42,95.6,23.24,21.49,22.38,26.48,12.42,25.15,
Latvia,0.58,0.27,2.23,0.44,0.43,0.11,3.39,0.27,0.31,0.59,0.09,0.09,0.07,0.17,0.28,0.32,0.31,0.17
Lebanon,,,,,,,,,0.06,0.04,0.38,0.02,0.06,0.01,0.18,0.06,0.11,0.02
Lithuania,0.33,0.11,0.75,0.44,0.25,0.05,1.2,0.04,0.11,0.32,0.02,0.29,0.16,0.02,0.16,0.07,0.03,0.05
Madagascar,20.9,21.9333,22.9667,24,7,38.7,9.8,10,10.33,10.66,10.07,0.78,8.42,9.13,2.57,,,
Malawi,,,,46.66,53.49,59.9,71.93,95.49,63.05,29.7,73.33,57.46,84.81,491.6,344.33,412.61,353.39,392.97
Malaysia,0.01,0.3,1.35,1.32,1.3,2.23,1.33,1.35,0.06,1.54,2.48,0.01,0.45,1.44,5.2,0.89,20.85,0.22
Maldives,0.02,,,,,,,,,,,,,,,,,
Martinique,,,,,,,,,,,0.5,,,,,,,
Mauritania,1.6,1.65,1.7,0.19,0.83,0.7,1.12,4.52,1.75,1.63,1.01,0.09,0.35,0.35,0.23,0.47,0.48,0.22
Mauritius,0.03,0.07,0.04,0.13,0.09,0.06,0.09,0.15,0.14,0.12,0.19,0.09,0.15,0.16,0.21,0.08,0.06,
Mayotte,,,,,0.01,0.05,0.035,0.02,0.01,0.035,0.06,0.01,0.02,,,,,
Mexico,40.48,18.81,31.99,88.26,10.51,32.7,42.12,15.15,26.59,42.78,12.25,71.27,281.6,350.34,108.13,59.14,205.36,604.79
Mongolia,660,87,582,320,100,300,300,500,491,161,58,20,300,5,18,45,138,
Montenegro,,,,,,,,,,,,,,,,2.34,1.28,1.64
Morocco,2.86,2.86,2.86,2.86,8.9,6.2,5.36,1.37,1.13,3.11,5.51,3.46,6.7,2.21,1.54,0.99,2.59,2.41
Mozambique,6647.95,13109.38,10398.95,14640.87,13080.08,12913.84,14860.93,15474.83,15668.58,13968.99,17386.44,15058.8,13541.47,14858.53,14544,14103.76,11999.41,
"Burma (Myanmar)",191.1,778.8,648.5,859.6,1717.7,1279.7,973.7,1393,596.6,1385.4,1821.8,971.5,830.3,934,1001.9,1186.9,514.4,
Netherlands,0.02,0.02,0.02,0.02,0.04,0.04,0.0725,0.105,0.1375,0.17,0.16,0.15,0.2333,0.3167,0.4,0.02,,
"New Zealand",0.34,0.22,0.33,0.24,0.33,0.37,0.47,0.96,0.69,1,0.74,0.55,0.52,0.42,0.56,1.54,0.94,0.5
Nigeria,42,40,35,47,7,7,10,26,9,22,6,10,5,6,4,12,4,5
"Macedonia (F.Y.R.O.M.)",4.81,5.26,5.48,1.92,1.8,3.09,3.59,34.44,15.05,1.03,3.28,8.7,19.31,2.84,1.15,3.17,2.17,13.41
Norway,0.17,0.09,0.22,0.94,0.12,0.35,3.88,0.13,3.17,1.33,0.77,0.12,0.06,0.05,0.77,0.14,1.88,0.53
Panama,0.48,2.12,1.89,12.84,1.72,3,3.02,2.7,0.77,1.55,0.73,0.28,0.67,3.37,0.75,2.02,2.02,2.02
"Papua New Guinea",1.95,1.95,1.95,1.95,1.95,1.95,1.945,1.94,1.94,1.94,1.94,3.92,1.96,1.975,1.99,3.92,,
Peru,,,,1.68,0.02,71.44,1.88,2.56,11.55,0.82,2.86,1.35,16.81,18.68,20.55,22.41,24.28,26.15
Philippines,4.88,0.78,2.47,1.04,1.38,2.72,3.01,0.9,0.08,1.2,1.56,0.39,5.82,0.68,1.21,2.97,1.84,4.35
Poland,7.01,3.43,5.2,21.5,3.8,5.8,5.9,3.6,3,4.4,2.1,2.8,7.2,1.29,2.69,5.51,1.45,1.02
Portugal,68.7,45.6,65.2,286.1,56.3,213.9,36.3,9.8,5.5,24.1,46.1,20,48,55.7,8.7,23.5,77.5,329.5
"South Korea",25.95,0.96,4.47,0.13,1.59,2.07,0.25,0.23,0.23,1.38,0.3,1.09,0.07,0.55,0.14,0.42,0.38,1.48
Moldova,,0.06,0.03,0.03,0.09,0.01,0.09,0.79,0.06,0.13,0.05,0.06,0.67,0.46,0.04,0.35,0.17,
Reunion,,,,,0.01,0.05,0.01,0.025,0.04,0.03,1.67,2.72,0.03,0.06,0.01,0.01,0.01,0.01
Romania,3.61,1,3.54,0.76,0.12,0.16,0.95,2.53,0.37,0.97,0.21,2.2,6.62,0.42,0.22,1.67,0.68,2.46
Russia,1328.6,896.8,1369.5,2122.8,543.3,845.3,1493.5,1036.1,2069.8,2111.6,2027.8,1408.4,2101.2,1157.1,3190.7,2748.9,2508.3,3282.1
Rwanda,,,,2.28,2.03,0.98,1.44,0.02,0.27,1.3,0.27,0.13,0.13,,,,,
"Saint Vincent and Grenadines",,,,,,,,,,,,,,,0.02,0.015,0.01,0.01
Serbia,1.77,0.1,1.37,0.43,0.01,0.05,0.54,16.52,0.53,0.38,0.69,1.26,8.18,0.85,0.28,1.85,0.91,0.68
Slovakia,0.9,0.31,0.59,1.57,0.15,0.53,0.18,0.68,0.12,0.51,0.19,0.4,1.68,0.27,0.19,0.35,0.18,0.3
Slovenia,0.3,0.19,0.08,1.59,0.08,0.14,1.02,0.1,0.05,0.11,0.05,0.16,0.61,0.07,0.02,0.06,0.53,0.18
"Solomon Islands",,,,,,,,,,,,,,,,,,1.97
"South Africa",8,20,16,18,28.3,21,30,75,70,19.8,15.8,15.3,9.56,21.3,16.49,11.96,9.9,16.15
Spain,46.14,19.36,25.2,53.67,51.73,69.4,71.06,29.41,8.44,40.4,10.18,18.85,83.06,17.7,8.28,32.88,23.05,66.84
"Sri Lanka",,,,0.01,0.17,0.93,0.23,0.1,0.1,1.07,0.85,0.44,0.9,0.816,0.732,0.648,0.564,0.48
Suriname,,,,,,,,,,0.24,0.6925,1.145,1.5975,2.05,2.275,2.5,2.735,2.97
Sweden,1.11,0.7,1.29,2.32,1.45,1.14,5.18,0.83,5,1.01,0.29,0.65,0.19,0.79,12.62,0.35,0.97,0.6
Switzerland,0.04,0.01,0.42,0.53,0.03,0.04,0.11,0.24,0.04,0.05,0.03,0.17,0.02,0.02,0.04,0.02,0.26,0.1
Thailand,26.59,26.98,40.54,15.76,32.28,30.28,8.62,18.78,11.33,9.77,13.31,4.08,13.14,11.89,10.54,16.58,30.16,18.1
"Trinidad and Tobago",0.76,3,0.03,3.7,1.1,1,0.8,1.9,0.6,0.35,8.7,0.01,0.07,0.89,1.3,1.5,1.6,3.1
Tunisia,1.2,0.21,0.09,0.12,0.05,0.22,0.03,0.36,0.32,0.06,0.67,1.59,1.72,3.42,7.02,5.04,5.81,15.97
Turkey,26.35,7.39,8.51,6.56,4.88,2.82,7.76,11.67,29.75,4.68,3.32,3.61,10.46,11.46,3.12,3.22,9.16,12
Turkmenistan,,,,,,,0.02,0.1,0.17,0.06,0.06,0.08,0.1,,,,,
Ukraine,1.62,3.77,4.98,2.83,0.6,2.32,4.29,13.79,5.53,6.32,3.67,1.05,3.48,0.42,13.8,14.7,1.2,5.94
"United Kingdom",,,,,,,,,,,1,9,5.5,2,1,1,1,
Tanzania,,,,746.8,739.5,928.3,1609.3,953.9,786.4,916.3,9922,628.8,587.3,587.3,587.3,587.3,587.3,587.3
"United States",2992.15,1445.15,2907.65,1602.95,3277.21,3516.6,3995.9,3775.06,2141.86,2396.55,1385.18,3525.49,3774.33,1748.12,1455.14,4097.65,2229.89,4057.56
Uruguay,,,,,,,,,,,10.28,8.16,2.39,0.11,4.84,,,
Uzbekistan,7.29,13.1,0.9,0.3,0.8,11.6,4.1,0.08,0.08,1,0.5,1.3,0.54,2.37,0.29,0.17,12,0.01
Vietnam,1.84,4.22,6.6,1.78,5.56,5.11,1.53,2.32,0.78,0.97,4.55,1.19,1.39,0.5,,,,
Zambia,12484,11662,14114,16745,15798,17823,15309,14916,15999,12208,14799,14582,14645,15528,14248,15077,14253,
Zimbabwe,1638,2175,1702,1653,2592,2279,2468,2916,3317,3071,3351,3160,2845,2174,2357,2830,1685,
