Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,9.15561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,96.21558,95.231,94.2464,93.2617,92.2771,91.2925,90.3079,89.32328,90.8121,92.3009,93.78969,91.99064,,,,
Algeria,,,,,,,,,,,,,19.10371,19.3926,19.6815,19.9705,20.2594,20.5483,20.8372,21.1261,21.4151,21.704,21.9929,22.2818,22.5707,22.8597,23.1486,23.4375,24.1394,24.8413,25.5432,26.24506,28.1844,30.12364,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,47.79661,47.7725,47.7484,47.7243,47.7001,47.676,47.6519,47.6278,47.6037,47.5795,47.5554,47.5313,47.5072,47.48307,,
Anguilla,,,,,,,,,,88.42444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,88.10373,88.4974,88.8911,89.2847,89.6784,90.072,90.4657,90.8594,91.253,91.6467,92.0403,92.434,92.6198,92.8055,92.9913,93.177,93.3628,93.5485,93.7343,93.92,94.1058,94.29155,94.3614,94.4313,94.5012,94.5711,94.641,94.7109,94.7808,94.8507,94.9206,94.9904,95.0603,95.1302,95.2001,95.27,
Armenia,,,,,,,,,,,,,,,93.82691,94.2318,94.6366,95.0415,95.4463,95.8511,96.256,96.6608,97.0657,97.4705,97.8754,98.2802,98.68508,98.7659,98.8466,98.9274,99.0082,99.089,99.1698,99.2506,99.3314,99.4121,99.49292,,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,90.28078,90.2852,90.2896,90.294,90.2984,90.3028,90.3072,90.3116,90.316,90.3204,90.32478,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,95.61058,95.8776,96.1446,96.4115,96.6785,96.9455,97.2125,97.4795,97.74648,98.2947,98.8429,98.73188,98.55921,98.4862,98.57328,98.53618,98.55734,98.61513
Bahrain,,,,,,,20.19207,21.0554,21.9188,22.7821,23.6455,24.5088,25.3722,26.2355,27.0989,27.9622,28.82556,31.243,33.6604,36.0778,38.4952,40.9126,43.33,45.7474,48.1648,50.5822,52.99963,54.5785,56.1574,57.7364,59.3153,60.8942,62.4731,64.052,65.6309,67.20981,,,,,,
Bangladesh,,,,,,,29.95889,30.3014,30.644,30.9865,31.329,31.6716,32.0141,32.3566,32.6991,33.0417,33.38421,33.9655,34.5469,35.1282,35.7095,36.2908,36.8722,37.4535,38.0348,38.6162,39.19748,39.4677,39.7379,40.0081,40.2783,40.5485,40.81871,38.8525,36.8862,34.9199,32.95369,36.8518,40.7499,44.648,48.5461,52.44415
Belarus,,,,,,,,,,,,,,,96.04837,96.3995,96.7507,97.1019,97.4531,97.8043,98.1554,98.5066,98.8578,99.209,99.56014,99.5502,99.5402,99.5303,99.5203,99.5104,99.5005,99.4905,99.4806,99.4706,99.46066,,,,,,,
Belize,,,,,,,,,,,,,,,,,44.82666,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0485,13.2465,13.4444,13.6424,13.84031,13.5249,13.2094,12.894,12.5786,12.2631,11.94767,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6935,28.0631,27.4327,26.8023,26.1719,25.5416,24.9112,24.28077,,,,
Bolivia,,34.69376,35.9235,37.1533,38.3831,39.6129,40.8427,42.0724,43.3022,44.532,45.7618,46.9916,48.2214,49.4511,50.6809,51.9107,53.1405,54.37026,55.6083,56.8463,58.0843,59.3223,60.5603,61.7983,63.0363,64.2744,65.51237,67.2993,69.0862,70.8731,72.66,74.4469,76.23383,73.59643,78.60473,80.42,82.23534,85.15326,84.2949,83.4366,82.5782,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,75.07575,77.3209,79.566,81.8111,84.0562,86.3014,88.5465,90.7916,93.0367,95.28186,95.6312,95.9805,96.3299,96.6792,97.0286,97.3779,97.7273,98.0766,98.4259,98.7753,99.12463,98.075,97.02527,,,
Botswana,,,,,,,,,,,,,,,,,27.14583,27.9096,28.6734,29.4372,30.201,30.9648,31.7286,32.4924,33.2562,34.02,34.7838,35.5476,36.31143,,,,,,,,,,,,,
Brazil,,,,,,52.57467,53.193,53.8114,54.4298,55.0481,55.6665,56.2849,56.9032,57.5216,58.1399,58.7583,59.3767,59.995,60.6134,61.2318,61.8501,62.4685,63.0869,63.7052,64.3236,64.94195,65.8617,66.7815,67.7013,68.62111,69.2267,69.8323,71.31756,71.13477,71.30572,72.26701,73.69012,73.86524,73.40692,74.51312,,
Brunei,,,,,,,32.78689,34.014,35.2412,36.4683,37.6955,38.9226,40.1497,41.3769,42.604,43.8312,45.0583,46.181,47.3038,48.4265,49.5492,50.6719,51.7947,52.9174,54.0401,55.1629,56.28559,58.7389,61.1922,63.6455,66.0988,68.5521,71.0054,73.4587,75.912,78.3653,80.81864,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,97.71113,97.8041,97.8972,97.9902,98.0832,98.1762,98.2692,98.3622,98.4553,98.5483,98.64129,,,,,
"Burkina Faso",6.3565,6.2589,6.1614,6.0638,5.9663,5.8687,5.7712,5.6736,5.5761,5.4785,5.381,5.2834,5.1858,5.0883,4.9907,4.8932,4.79562,4.5973,4.3989,4.2006,4.0023,3.80392,4.3887,4.9735,5.5583,6.1431,6.7278,7.3126,7.89741,7.6242,7.35099,5.04777,12.20507,12.5406,12.8761,13.2116,13.5471,13.8826,14.2181,14.55358,,
Burundi,,,,,4.20452,4.8465,5.4886,6.1306,6.7726,7.4146,8.0567,8.6987,9.3407,9.9827,10.6248,11.2668,12.8145,14.3623,15.91,17.4578,19.0055,20.5532,22.101,23.6487,25.1965,26.74419,26.6914,26.6386,26.5858,26.533,26.4802,26.4274,26.3746,26.32177,28.1887,30.0555,31.9224,33.7893,35.6562,37.5231,,
"Ivory Coast",,,,,,,,,,,,,,10.35403,10.3974,10.4409,10.4843,10.5277,10.5711,10.6145,10.6579,10.7014,10.7448,10.78818,14.0692,17.35016,18.9246,20.4991,22.0736,23.6481,25.2226,26.797,28.3715,29.946,31.5205,33.095,34.6694,36.24392,30.8507,25.45738,,
"Cape Verde",,,,,,,,,,,,,,,,43.89075,44.2714,44.652,45.0327,45.4133,45.794,46.1746,46.5552,46.9359,47.3165,47.6972,48.0778,48.4585,48.8391,49.2197,49.6004,49.981,50.3617,50.7423,51.123,51.5036,51.8842,52.26489,54.0877,55.9104,57.7332,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,58.70626,60.8137,62.9212,65.0286,67.1361,69.2435,71.35099,71.9415,72.532,73.1225,73.713,70.49176,,,,,,,
Cameroon,,15.05032,16.1177,17.185,18.2524,19.3197,20.3871,21.4544,22.5218,23.5891,24.6565,25.7238,26.7911,27.8585,28.9258,29.9932,31.0605,32.1279,33.1952,34.2626,35.3299,36.3973,37.4646,38.532,39.5993,40.66667,39.6898,38.713,37.7361,36.7593,35.7824,34.8056,33.82875,36.7001,39.5714,42.44267,,,,,,
"Cayman Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.62725,,,,,,,,,
"Central African Republic",2.89373,3.5381,4.1824,4.8267,5.471,6.1153,6.7597,7.404,8.0483,8.6926,9.3369,9.9813,10.6256,11.26991,12.2337,13.1975,14.1613,15.1252,16.089,17.0528,18.0166,18.9804,19.9442,20.908,21.8718,22.83563,26.1069,29.3783,32.6496,35.9209,39.1922,42.4635,45.7348,49.0062,52.2775,55.54879,,,,,,
Chad,,,,,,,,,,,,,,,,,,,0.9973,2.3918,3.7862,5.1807,6.5752,7.9696,9.3641,10.75857,9.2751,7.7916,6.3081,4.82456,5.6722,6.5198,7.3674,8.2151,9.0627,9.9103,10.758,11.6056,12.4532,13.3008,14.14847,10.03696
Chile,,,,,,,,75.81683,76.3667,76.9166,77.4664,78.0163,78.5662,79.116,79.6659,80.2158,80.7657,81.31552,81.7428,82.17,82.5973,83.0245,83.4518,83.879,84.3063,84.7335,85.1608,85.58804,87.2,88.8119,90.4238,92.0358,93.6477,95.25961,95.26715,92.7004,90.13369,89.7951,89.45651,,,
China,,,,,,,,43.54611,43.7429,43.9397,44.1364,44.3332,44.53,44.7268,44.9236,45.12034,48.2101,51.3,54.3898,57.4796,60.5694,63.6592,66.749,69.8388,72.9286,76.01843,77.0227,78.0269,79.0312,80.0354,81.0397,82.0439,83.0482,84.0524,85.0567,86.06095,,,,,,
Macau,,,,,,,84.82916,84.571,84.3128,84.0547,83.7965,83.5383,83.2801,83.022,82.7638,82.5056,82.2475,81.9893,81.7311,81.473,81.2148,80.9566,80.6985,80.4403,80.1821,79.9239,79.66578,79.885,80.1041,80.3233,80.5425,80.76168,82.3042,83.8468,85.3893,86.9319,88.47441,89.0449,89.6153,90.1858,90.7563,91.32673
Colombia,,,,,,,,,,,,,,,,,,,75.26085,74.9443,74.6277,74.31115,74.7192,75.1272,75.5353,75.9433,76.3514,76.7594,77.1674,77.57548,77.58946,76.90505,76.88182,78.51805,76.81581,77.44049,79.18657,79.5165,79.8463,80.17621,80.73869,
