Country,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.68999863,41.9875,40.285,38.5825,36.88000107,39.29999924,36.86000061,41.08000183,39.88000107,38.41999817,38.59999847,
Bolivia,,,,,,,,,,,,,,25.11000061,25.37999916,25.57999992,26.11000061,26.73999977,27.70000076,29.35000038,28.22999954,28.90999985,29.57999992,33.09000015,32.81999969,32.86000061,62.66999817,63.20000076,57.95000076,55.11000061,59.04000092,57.47000122,58.27999878,54.90999985,53.41999817,44.265,35.11000061,34.29999924,33.31000137,32.06999969,34.105,36.13999939,35.5,36.97999954,37.5,38.5775,39.655,40.7325,41.81000137,42.45,43.09000015,40.49000168,,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.95999908,33.34000015,
Botswana,,,,,,,,,,,,,,,,,,,,,,,27.42000008,29.4536,31.4873,33.5209,35.5545,37.5882,39.6218,41.6555,43.6891,45.7227,47.7564,49.79000092,47.69,45.59000015,48.145,50.70000076,51.5,47.445,43.38999939,44.16,44.93,45.70000076,45.6825,45.665,45.6475,45.63000107,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,36.41999817,37.24000168,37.95000076,38.22999954,39.34999847,39.34999847,41.08000183,41.59000015,42.72999954,43.77999878,43.18,42.58000183,43.22000122,44.185,45.15000153,46.06999969,46.40000153,47.04999924,47.36999893,48.79999924,49.5,48.63999939,49.08000183,48.29000092,48.68000031,49.59999847,49.75999832,50.09,50.41999817,51.125,51.83000183,51.86999893,51.79999924,52.27999878,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.27999878,66.583,66.886,67.189,67.492,67.795,68.098,68.401,68.704,69.007,69.30999756,69.74,70.17,70.6,71.03,71.46,71.89,72.32,72.75,73.18,73.61,74.04,74.47,74.90000153,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.59999847,51.54999924,50.77000046,50.56999969,50.22000122,50.25999832,50.02999878,49.18000031,47.88999939,48.83000183,51.00999832,53.27999878,54.66999817,55.45999908,54.56000137,54.68000031,
"Burkina Faso",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.22999954,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.35000038,19.2508,20.1515,21.0523,21.9531,22.8538,23.7546,24.6554,25.5562,26.4569,27.3577,28.2585,29.1592,30.05999947,,,,,,
Canada,,,,,,,50.45999908,51.66999817,52.27999878,53.31000137,52.93000031,53.31000137,55.13999939,55.5383,55.9367,56.335,56.7333,57.1317,57.53,57.9283,58.3267,58.725,59.1233,59.5217,59.91999817,59.81000137,59.61000061,60.38000107,61.88000107,62.86999893,63.49000168,63.38000107,63.38999939,63.59999847,63.45000076,63.27999878,63.5,63.38999939,63.97999954,63.81000137,64.04000092,63.97999954,64.08000183,64.83000183,65.45999908,65.43000031,66.62999725,66.80000305,67.05000305,66.77999878,66.69999695,67.01999664,67.58999634,68.19999695
"Cayman Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.93999863,63.4671,62.9943,62.5214,62.0486,61.5757,61.1029,60.63,60.1571,59.6843,59.2114,58.7386,58.2657,57.7929,57.31999969,59.22999954,61.13999939,63.00999832,64.77999878,72.45999908,72.16000366,71.68000031,69.52999878,75.58000183,75.51999664,
Chile,,,,,,,,,,,,,,,,,,51.06999969,51.52000046,56.65999985,57.18999863,55.15000153,49.20000076,47.81999969,45.77000046,44.22999954,43.45000076,44.36999893,43.77999878,44.68000031,45.93000031,47.24000168,47.79999924,47.77000046,47.25,49.27999878,51.83000183,51.77000046,52.56000137,52.40999985,52.56000137,52.72000122,53.77000046,53.38000107,53.43000031,53.88000107,54.375,54.86999893,54.47999954,54.11999893,54.43999863,54.86999893,55.81999969,
Colombia,,,,,,,,,,,,,59.86000061,59.43999863,59.93000031,59.20000076,60.25999832,59.06999969,60.146,61.222,62.298,63.374,64.44999695,65.31999969,63.56000137,63.88999939,64.23000336,63.38000107,64.12999725,62.68000031,62.75999832,62.22999954,61.88999939,64.45999908,66,67.66999817,70.62000275,68.11000061,48.29000092,48.31999969,49.86999893,50.13000107,48.31999969,44.65999985,51.54999924,52.08000183,50.66999817,50.81000137,50.50999832,51.54999924,53.09999847,53.52999878,53.72000122,
"Costa Rica",,,,,,,,,,,,,,,,,,40.02999878,40.81000137,39.68000031,41.70999908,41.24000168,42.52999878,40.95999908,37.70999908,38.97000122,38.72000122,39.18999863,39.29999924,40.5,42.24000168,43.18000031,45.45000076,45.40000153,45.77000046,46.88000107,46.54000092,47.06999969,51.13000107,51.06999969,52.15999985,52.68999863,52.31999969,53.68999863,54.27000046,55.70999908,54.755,53.79999924,54.59999847,56.18999863,57.65999985,61.68999863,57.65000153,58.83000183
"Ivory Coast",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.70999908,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.25999832,46.79999924,47.36999893,46.09000015,49.86000061,47.27999878,46.93000031,45.16999817,45.20000076,46.77999878,47.41999817,48.06999969,47.06999969,47.91999817,48.75,48.52999878,50.47000122,50.27000046,52.22999954,52.25999832,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.77000046,41.91999817,41.90000153,49.18999863,43.86000061,43.77999878,48.79999924,48.68000031,48.56999969,50.02000046,50.97999954,52.38000107,53.49000168,53.40999985,53.33000183,54.25999832,53.54000092,51.63000107,54.13999939,54.13999939,,
Cyprus,,,,,,,,,,,,,,51.40999985,48.40000153,44.79000092,45.04999924,45.59999847,47.04000092,48.04000092,49.04000092,49.36999893,50.38999939,51.34999847,52.31999969,52.86999893,54.04000092,54.79000092,55.04000092,55.59000015,56.31000137,56.86000061,57.63000107,58.65,59.67,60.69,61.71,62.72999954,62.36000061,62.11999893,61.68000031,60.81000137,59.97999954,62.31999969,61.15000153,60.77999878,62.86000061,64.83999634,62.86999893,65.41000366,68.83999634,67.95999908,68.77999878,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.18000031,41.56999969,41.97000122,42.63000107,41.90000153,42.15999985,43.20000076,43.75999832,43.93000031,44.27999878,44.84999847,45.56999969,45.74000168,45.65999985,45.27999878,45.33000183,46.77000046,47.00999832,46.72999954,46.74000168,47.52000046,47.29999924,46.95000076,
Denmark,,,,,,,,,,43.77999878,44.29999924,45.18999863,45.83000183,46.27000046,47.06999969,47.49000168,45.77999878,46.99,48.20000076,49.845,51.49000168,54.08000183,52.72000122,50.91999817,51.31000137,55.04999924,54.70000076,54.65999985,54.61999893,55.61000061,56.20999908,56.40000153,57.15999985,58.95999908,58.34000015,58.09000015,58.15999985,58.86000061,59.79000092,61.97000122,62.18999863,61.52000046,61.40999985,61.88999939,62.68999863,63.52000046,66.48000336,67.01999664,66.77999878,66.98000336,67.09999847,67.73999786,68.18000031,68.41000366
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,29.45000076,30.07,30.69000053,32.245,33.8,35.355,36.91,38.465,40.02000046,41.245,42.47000122,43.185,43.90000153,,,,,,,,,,,,,,,
"Dominican Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.74000168,51.45999908,52.34999847,54.77999878,53.84999847,45.25999832,45.61000061,48.22000122,48.52999878,51,52.75,52.86999893,53.54999924,47.56999969,48.65999985,52.34999847,52.84000015,54.55,56.25999832,56.06000137,56.20999908,56.45999908,57.84999847,57.02999878,57.13999939,58.65000153
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.72999954,60.61999893,61.56999969,59.54999924,62.52999878,64.73000336,64.26999664,63.65000153,62.97000122,60.65999985,59.34999847,59.86000061,61.31999969,61.235,61.15000153,61.59999847,61.04000092,57.978,54.916,51.854,48.792,45.72999954,46.02999878,45.88999939,46.45999908,47.18000031,
Egypt,,,,,,,,28.26000023,28.13999939,28.13999939,29.03000069,31.72999954,30.29999924,31.655,33.00999832,32.81999969,32.47999954,33.15000153,33.25,34.65000153,35.13999939,35.93999863,36.798,37.656,38.514,39.372,40.22999954,40.86999893,43.70999908,40.86000061,42.41999817,42.72999954,43.11999893,39.83000183,44.93999863,46.20000076,46.81999969,47.99000168,48.43000031,49.63000107,49.34999847,48.38000107,47.24000168,45.61999893,45.68000031,44.45000076,44.9633,45.4767,45.99000168,45.88999939,46.86000061,47.06999969,,
"El Salvador",,,,,,,,,,,,,23.03000069,24,24.97,25.94000053,25.30999947,28.09000015,29.042,29.994,30.946,31.898,32.84999847,64.98999786,59.345,53.70000076,52.43999863,54.09999847,52.34999847,29.40999985,31.715,34.02000046,34.72000122,34.36999893,36.65000153,38.29000092,40.45000076,41.86000061,41.47000122,42.74000168,44.93000031,44.86000061,45.40999985,44.77000046,46.06999969,45.44,44.81000137,44.43000031,44.6,44.77000046,46.81000137,,,
"Equatorial Guinea",,,,,,,,,,,,,,,,,,,,,23.17000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,30.42000008,31.17000008,33.66999817,36.02000046,41.24000168,44.04000092,46.18000031,46.43000031,46.36999893,46.36000061,49.18000031,44.54999924,48.74000168,54.15000153,52.95000076,50.29999924,48.59000015,47.93999863,45.61999893,46.59000015,50.34999847,50.95000076,47.93999863,49.13999939,50.65000153,52.36000061,51.41999817,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.45999908,10.52000046,61.40999985,62,62.59,63.18000031,62.43000031,63.93000031,65.09999847,13.60999966,60.97999954,,
"Faroe Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.33000183,,,,,,,,,,,
Finland,,,,,,,,31.44000053,32.75999832,34.34999847,36.04999924,36.40999985,37.61000061,39.31000137,39.84000015,40.54999924,40.81000137,41.15000153,40.66999817,41,42.02000046,43.18000031,44.20000076,44.5,45.93000031,46.90000153,47.11999893,47.47999954,49.40000153,50.72999954,51.59999847,52.16999817,50.36999893,50.43000031,50.29000092,50.43999863,51.68000031,51.27999878,52.91999817,52.97000122,53.18000031,54.16999817,54.93999863,54.90999985,54.52000046,54.75,56.11999893,57.81000137,58.04999924,58.15000153,57.99000168,59.11000061,59.65999985,
