Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Bolivia,134250,136344,139681,137730,143045,138745,134020,120565,125750,130550,133100,148490,152860,158205,168240,171310,168605,188105,195930,202075,217070,202789,136002,212021,229754,211433,211755,215174,201421,182468,200540,196853,195891,194687,184554,184159,184861,189262,183718,182779,181072,184504,184542,184808,187304,186975,190688,192353,229185,225681,229765,237487,237655,246090
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,38200,36400,53000,41000,37500,49107,48783,43736,45129,43362,42649,43282,41352,40670,41291,40412,36704,36217,37127,36787,35351,34175
Botswana,6000,6000,6000,6000,6000,6100,6100,6100,6100,6100,6200,6200,6200,6300,6300,6500,6500,7300,7300,7400,7400,7800,7800,7800,8000,8100,8400,8400,8400,8800,8895,9500,9477,9700,9900,10008,10300,11000,11109,11181,12000,11755,11308,10937,10153,9778,9441,8701,8571,8606,8546,8500,8550,8511
Brazil,1719456,1827171,1980275,2093718,2131539,2166087,2329292,2419873,2448790,2433201,2476670,2443904,2467059,2362297,2402545,2448257,2506023,2476552,2426147,2300186,2342949,2407109,2328853,2093170,2128970,2311603,2209806,2020254,2126795,2182025,2191561,2081057,2051232,2104766,2203175,1744183,1801264,1824480,1815806,1941418,1889852,1905289,1857123,1969946,2114731,2107692,2113058,2105563,1967512,1994498,1952133,1893477,1718076,1765716
Brunei,537,529,519,458,471,961,952,958,978,1015,920,915,835,964,922,927,924,982,939,851,668,584,596,603,563,611,570,515,460,433,402,416,421,430,427,448,460,488,496,508,504,535,552,575,604,608,625,646,658,675,676,670,685,695
Bulgaria,41558,43423,43308,40976,36755,34284,33527,31008,29236,30777,28712,29592,27157,31391,30002,29049,33815,36887,38982,34995,36481,40324,40818,39512,39840,39523,36530,36553,40217,41219,42524,47880,39000,47319,55630,40000,44314,50866,52211,52820,48448,51886,29754,30675,23999,24471,22427,21648,14002,13800,16200,14908,12769,10205
"Burkina Faso",29005,39421,26000,24900,25000,25000,27000,22604,22000,22000,23000,21000,19000,16830,17000,16500,16500,15500,14500,14000,13900,14400,15475,16249,13200,18340,17589,18612,13316,10190,11451,15885,11729,10706,14483,8766,10734,11762,11791,12579,18566,11790,7958,20890,13855,12066,12700,15907,18287,27155,24612,27786,31073,16972
Burundi,129000,129400,131300,136400,137200,136597,139400,140600,139611,133100,136100,123000,138100,123400,138100,140100,142100,163300,147700,152900,158100,160100,159100,168100,177200,192000,198300,203300,210100,206494,210045,216954,211864,192445,204931,207567,219900,197300,213200,213643,232708,237477,243263,239828,246876,215941,220087,251430,302300,295903,274545,427554,452224,413472
"Cape Verde",3500,3550,3600,3600,3600,3480,3100,1806,2400,2024,1310,294,880,1000,1100,1172,1300,1420,1450,3350,3550,1220,1237,1510,1850,1950,2700,2175,2173,2071,1495,990,1048,943,964,990,894,1075,1160,948,1003,1002,1011,1009,1040,1025,1040,1035,1010,1132,1339,1428,1580,1321
Cambodia,3931,4485,4760,5360,5060,3460,4260,6160,5960,6340,4320,4760,5960,6420,6900,9420,12500,13400,14630,28700,36600,20800,17800,10800,13800,19000,16000,36000,18000,20118,21227,27296,19344,21500,23354,24600,20876,18916,25125,24815,22704,29198,35733,31905,40754,108083,120230,190827,172349,216590,379750,350593,337762,342121
Cameroon,298328,306061,357642,334542,308484,313805,442588,440926,422941,437450,439714,457960,473618,572585,535400,483100,415670,360800,360000,364300,395700,444098,312067,259452,266349,284304,280149,299391,280092,351228,299119,303211,367325,380953,384355,373255,381149,409053,383805,392647,491994,567490,608218,652729,557262,586972,545532,485456,563939,620290,650692,767394,732382,793518
Canada,125000,117265,116779,113218,120542,130052,124000,123699,124508,128798,109657,99782,106460,115363,106338,106800,112100,110770,113128,106910,110520,113393,113027,117480,113959,109256,113900,111000,114500,119700,118735,123793,124890,132900,144150,147300,152100,156376,156619,159240,166650,170900,180890,171712,156256,158198,158927,151393,146303,139905,140882,148000,142100,138942
"Cayman Islands",,,,,,9,9,9,9,9,9,8,9,9,9,9,10,8,8,8,7,7,7,6,5,5,4,6,4,9,23,15,15,13,9,7,5,8,10,9,10,10,10,9,10,10,9,11,11,11,12,13,16,13
"Central African Republic",256100,238250,238300,238300,236200,278200,283200,289200,296500,302820,309340,313040,324250,348288,326260,329400,344450,354200,349200,339210,326532,280220,252230,222838,197252,207820,211040,212806,213221,247837,233877,228602,231895,235363,248366,263795,280376,294439,276388,279143,273196,269296,254451,275530,281603,281460,287571,295438,302231,334006,346998,341319,335320,343887
