Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Albania,5.63,5.63,5.63,5.315,5,5,5,5,5,5,5,5,5,5
Algeria,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,6.25,5,5,5,5
Angola,5.63,5.005,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,5,5,5
Argentina,5.63,5.63,5.63,5.94,6.25,6.25,6.25,6.25,6.25,6.88,6.88,6.88,6.25,6.25
Armenia,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,2.5,1.88,1.88,2.5,3.13
Australia,8.75,8.75,8.75,9.065,9.38,9.38,9.38,9.38,8.75,8.75,8.75,8.75,8.75,8.75
Austria,8.75,8.44,8.13,8.13,8.13,8.13,8.13,8.13,7.5,7.5,6.88,6.88,6.88,6.88
Azerbaijan,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75
Bahrain,5,5,5,5,5,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38
Bangladesh,6.25,5,3.75,4.375,5,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38
Belarus,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,6.25,6.25,6.25,5.63,5.63,4.38
Belgium,6.88,7.19,7.5,7.5,7.5,7.5,7.5,7.5,6.88,6.88,6.88,6.88,6.88,6.88
Benin,6.88,6.255,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63
Bhutan,3.75,4.065,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38
Bolivia,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75
"Bosnia and Herzegovina",5,5,5,5,5,5,5,5,4.38,4.38,3.75,3.75,3.75,3.75
Botswana,6.88,6.565,6.25,6.565,6.88,6.88,6.88,7.5,7.5,7.5,7.5,7.5,7.5,7.5
Brazil,5.63,5.63,5.63,5.005,4.38,4.38,4.38,4.38,6.25,3.75,3.75,5,5,5
Bulgaria,5,5.315,5.63,5.005,4.38,4.38,4.38,4.38,5,5,4.38,4.38,4.38,4.38
"Burkina Faso",5.63,5.315,5,4.375,3.75,3.75,3.75,5,5,5.63,5.63,5.63,5.63,5
