Country,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,,,,,,,,,,,,,,,,,,,,0.2,0.2333,0.2667,0.3,0.3333,0.3667,0.4,0.3333,0.2667,0.2,0.1667,0.1333,0.1,0.125,0.15,0.175,0.2,,,,
Algeria,,,,,,,,,,,,0.9,0.9429,0.9857,1.0286,1.0714,1.1143,1.1571,1.2,1.1313,1.0625,0.9938,0.925,0.8563,0.7875,0.7188,0.65,0.5813,0.5125,0.4438,0.375,0.3063,0.2375,0.1688,0.1,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,,,,,,,,
Argentina,,,,0.2,0.2455,0.2909,0.3364,0.3818,0.4273,0.4727,0.5182,0.5636,0.6091,0.6545,0.7,1.2,1.3,1.4,2.4,2.9,2.4,2.3,2.5,2.9,4.9,5.6,4.8,3.2,2.3,1.9,1.8,1.4,1.5,1,0.8,0.8,0.9,1,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,4.1,4.3,4.5,3.2,2,1.8,0.9,0.6,0.7,0.3,0.3,0.4,0.4,0.3,0.6,0.4,0.3,
Australia,,,,,0.5,0.525,0.55,0.575,0.6,0.575,0.55,0.525,0.5,0.5167,0.5333,0.55,0.5667,0.5833,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.7,0.6,0.5,0.4,0.3,0.3,0.3,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.3,0.2,0.5,0.3,0.3,0.2,0.2,0.1,,
Azerbaijan,,,,,,,,,,,,,,,,,,,2.2,1.9167,1.6333,1.35,1.0667,0.7833,0.5,0.4571,0.4143,0.3714,0.3286,0.2857,0.2429,0.2,,,,,,,,
Bangladesh,,,,,,,9.7,8.55,7.4,8.6667,9.9333,11.2,11.2333,11.2667,11.3,10.475,9.65,8.825,8,7.9,7.8,7.7,7.6,7.5,6.94,6.38,5.82,5.26,4.7,4.42,4.14,3.86,3.58,3.3,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,2.7,2.6,1.7,0.7,0.5,0.3,0.1,0.1,,,,,,,,,,,
