Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,2.4,,,
Albania,6.7,8,49.9,18.6,16.1,9,6.8,7.5,4.6,3.8,4.2,2.8,3.3,2.9,2.7,4,
Algeria,,,,,,,,,,,,,1.3,1.5,,,
Andorra,,,,,,,,,,1.3,,,,,,,
Angola,,,,,,,,,,,,,,19,,,
Anguilla,10.2,10,9.8,9.5333,9.2667,9,12.85,16.7,15.9,7.6,7.4,28.6,27.8,6.8,,,
"Antigua and Barbuda",,,,,,6.4,8.8,6.2,6.1,4.8,3.6,12.9,19.8,18.4,18.2,6.8,
Argentina,7.8,8.5,9.1,7.2,7.3,7.2,8.2,9.2,7.6,5.9,5.5,5.3,5.3,5.8,3.4,,
Armenia,3.6,3.6,3.2,3,2.9,3,2.9,2.3,2.2,2.7,1.9,2.6,2.5,2.7,2.7,1.4,
Australia,1.8,1.7,1.7,1.5,1.8,1.6,1.6,1.6,1.5,1.3,1.3,1.4,1.2,1.2,1.2,1,
Austria,1,1.2,0.8,1,0.8,1,0.9,0.8,0.6,0.7,0.7,0.7,0.5,0.5,0.5,0.6,
Azerbaijan,,,,,,,,,,,,,2.1,2.1,2.15,2.2,
Bahamas,,,,,,24.9,14.3,17,16.1,14,16.3,19.1,23.7,21.6,25.7,27.4,
Bahrain,,,,,,,,,0.5,1,0.6,0.9,0.4,0.6,,,
Bangladesh,,,,,,,,,,2.8,2.6,2.9,2.7,2.8,2.9,2.7,
Barbados,,,,7.5,8.6,7.5,9.3,9.3,12.2,8.1,9.2,12.9,9.2,8.5,7,11.3,
Belarus,9.3,9.5,10,10.2,9.6,10.1,9.7,9.9,8.9,8.3,8.4,7.5,6.7,5.6,4.9,,
Belgium,,,,,,2.1,2.8,3.1,2.2,2.6,2.1,2.1,2,1.9,1.7,1.7,
Belize,,,,,,16.4,24.9,33.1,24.9,28.7,28.8,32.1,33.1,34.4,31.8,41.4,
Benin,,,,,,,,,,,,,,15.1,,,
Bermuda,,,,6.4,4,1.6,3.2,4.7,3.1,3.1,4.7,4.7,4.7,7.7,9.3,10.8,12.3
Bhutan,,,,,,3.2,3.2,3.1,0.8,2.3,1.7,1.3,1.2,1,,,
Bolivia,,,,,,,,,,,6.5,5.7,7.6,7.5,6.9,8.9,
"Bosnia and Herzegovina",,,,,,,,,,,1.9,1.9,1.7,1.7,1.8,1.5,
Botswana,,,,,,,,,,,,,,,14.5,,
Brazil,,,,,,,,,,22.5,22.4,22.7,22.3,22.8,21.7,21,
"British Virgin Islands",,10.8,8.8667,6.9333,5,4.9,4.8,4.7,9.2,18,13.3,8.6,,,,,
Brunei,,,,,,,,,0.6,1.4,0.95,0.5,,,,,
Bulgaria,5.9,5.3,4.9,4.7,4.1,4.1,3.9,3.2,3.2,3.1,2.6,2.4,2.3,2.3,2,2,
"Burkina Faso",,,,,,,,,,,,,,18,,,
Burundi,,,,,,,,,,,,,,21.7,,,
Cambodia,3.6,4.7,6.8,6.6,4.8,4.6,3.2,3.3,3.9,3.9,3.4,,,,,,
Cameroon,,,,,,,,,,,,,,19.7,,,
Canada,2,2.1,2,1.9,1.8,1.8,1.8,1.9,1.7,2,2.1,1.9,1.8,1.8,1.8,1.6,
"Cape Verde",,,,,,,,,,,,,11.6,,,,
"Cayman Islands",,,,2.8,6.6,10.4,5,6.05,7.1,11.6,6.9,2.2,4.3,8.4,,,
"Central African Republic",,,,,,,,,,,,,,29.3,,,
Chad,,,,,,,,,,,,,,15.8,,,
Chile,,,,,,,,,,,3.5,3.6,3.7,3.5,3.7,3.2,
China,,,,,,,,2,1.9,1.9,1.6,1.4,1.2,1.1,1.1,1,
Colombia,69.7,71.8,67.2,60.1,62.3,66.7,68.9,70.2,56.4,47.7,42.1,40,38.8,35.9,34.6,33.4,
Comoros,,,,,,,,,,,,,,12.2,,,
"Congo (Brazzaville)",,,,,,,,,,,,,,30.8,,,
"Costa Rica",5.3,5.3,5.8,6,6.4,6.4,6.4,6.3,7.2,6.6,7.8,8,8.3,11.3,11.4,11.3,
"Ivory Coast",,,,,,,,,,,,,,56.9,,,
Croatia,3.6,2.6,2.6,2.9,2.7,2.5,1.9,1.8,1.5,1.9,1.5,1.7,1.4,1.6,1.1,1.4,
Cuba,,,,,,,5.4,5.9,5.7,5.9,6.1,5.1,5,4.6,5,,
Cyprus,,,,,,,,,,1.6,1.9,1.4,1.2,0.8,1.7,,
"Czech Republic",1.7,1.7,1.8,1.7,1.7,1.7,2.3,2.3,2.3,2.2,1.8,2.3,1.9,1.9,1.7,,
"North Korea",,,,,,,,,,,,,,15.2,,,
"Congo (Kinshasa)",,,,,,,,,,,,,,21.7,,,
Denmark,1.1,1.3,1.7,0.9,1,1.1,1,1,1.2,0.8,1,0.5,0.7,1,0.9,,
Djibouti,,,,,,,,,,,,,,3.4,,,
Dominica,,,,,,2.9,1.4,13,11.6,11.6,11.6,7.3,10.2,10.3,19.1,22.1,
"Dominican Republic",12.7,12.8,12.7,13.5,12.6,14.1,12.5,14.4,21.1,24.5,25.8,22.8,22.1,24.8,24.2,24.9,25
Ecuador,,,,,,,,,,18.1,15.8,17.5,16.4,18.5,18.4,18.2,
Egypt,,,,,,,,,0.7,0.4,0.7,0.4,0.9,1,1.2,,
"El Salvador",139.1,117.3,112.6,95,65,59.8,60.2,47.3,55.9,64.6,62.4,64.7,57.3,51.9,70.6,64.7,69.2
"Equatorial Guinea",,,,,,,,,,,,,,20.7,,,
Eritrea,,,,,,,,,,,,,,17.8,,,
Estonia,17.1,15.1,12.7,14.1,11.4,10.4,10.1,10.5,10.9,6.7,8.4,6.8,6.9,6.3,5.2,5.2,
Ethiopia,,,,,,,,,,,,,,25.5,,,
Fiji,,,,,,,,,3.1,2.8,,,,,,,
Finland,2.9,3,2.7,2.2,2.8,2.9,3,2.5,2,2.8,2.3,2.3,2.4,2.5,2.3,2.2,
France,,2,1.7,1.6,1.6,1.8,1.8,1.9,1.6,1.6,1.6,1.4,1.3,1.4,1.1,,
"French Guiana",,,,,,,,,,29.8,22.3,20.1,13.1,14.6,13.3,,
"French Polynesia",,,,,,,,,,,,1.2,2.7,3.4,0.4,,
Gabon,,,,,,,,,,,,,,13.8,,,
Gambia,,,,,,,,,,,,,,10.8,,,
Georgia,7.7,5.4,5.8,5,5.1,5,5.6,6.3,6.6,6.2,9,7.3,7.5,6,4.8,4.3,
Germany,1.7,1.5,1.4,1.2,1.2,1.2,1.1,1.2,1,1.1,1.1,1,0.9,0.9,0.9,0.8,
Ghana,,,,,,,,,,,,,,15.7,,,
