Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Colombia,,,,14.89,13.37,11.42,14.17,13.23,13.81,13.46,16.74,15.03,15.8,17.43,18.04,17.98,18.37,18.67,18.8,15.5,16.36,17.22,18.08,17.835,17.59,17.7,17.49,17.44,17.15,16.86,16.57,16.28,15.99,15.7,15.41,16.26,14.87,15.93,14.1,14.14,13.97,13.86,12.91,13.12,12.47,12.32,11.49,10.68,10.43,10.6,11.22,10.15,10.08,9.8,9.5,9.36,9.23,8.87,8.37,7.8,7.4,7,,
"Costa Rica",,,,,,,,,,,,24.52,22.31,23.42,24.48,22.05,22.66,21.88,23.16,19.56,22.44,22.99,25.89,19.79,19.43,18.93,17.73,14.43,18.77,19.41,13.95,16.55,14.29,19.44,19.72,20,20.32,17.01,18.3,18.94,13.52,16.9,14.74,16.11,15.07,16.07,15.44,11.91,13.89,12.66,11.76,13.2,10.69,10.21,11.14,9.46,8.36,7.88,8.71,8.05,9.25,7.6,9,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.51,11.6,11.2,10.2,9.79,10.09,8.96,7.64,7.91,7.88,7.86,7.88,7.88,7.6,6.46,6.74,6.92,7.46,6.74,6.26,6.12,5.4,5.29,6.28,5.56,5.19,5.4,4.9,5.3
Cuba,,,,,,,,,,,,,,,8.35,7.8775,7.405,6.9325,6.46,6.08,5.94,6.04,6.01,5.53,5.45,5.03,4.95,4.46,4.66,4.54,4.4,4.18,4.4,3.85,3.97,3.37,3.16,3.43,3.43,3.76,3.5,3.69,3.58,3.39,3.08,3.18,3.28,3.41,3.39,3.9,3.21,3.41,3.16,3.09,3.39,2.81,3.02,3.17,3.25,3.06,2.99,2.9,3.2,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.02,9.32,9.34,9.1,8.73,8.29,7.54,7.87,7.38,7.77,6.89,6.76,5.92,5.92,5.78,5.64,5.56,4.9,4.77,4.58,4.49,4.05,4.06,4.02,3.75,3.5,3.8,3.3
Czechoslovakia,,,,26.86,26.55,25.92,24.72,26.01,25.38,24.41,24.5,23.42,23.69,23.1,22.95,21.98,21.87,20.73,20.9,18.84,18.89,17.78,16.91,17.24,16.06,14.85,14.25,13.78,13.38,12.54,12.5,11.27,11.09,10.38,11.46,9.93,9.51,9.03,8.93,8.9,8.98,7.97,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,21.59,21.66,23.02,19.6,18.92,18.96,17.4,16.41,16.31,16.33,14.85,14.4,14.01,12.88,11.73,10.19,10,9.36,10.01,8.73,8.5,8.17,8.41,7.53,7.03,6.66,7.49,6.21,6.3,5.68,5.19,5.31,5.06,4.48,5.39,4.59,4,4.27,3.85,4.48,3.86,3.39,3,3.16,3,2.84,2.68,2.82,2.1,2.75,2.15,2.73,2.01,2.78,2.41,2.31,2.59,2.31,2.11,1.9,2.3,
"Dominican Republic",,,,,,,,,,,,,,,,1.55,1.31,2.33,2.38,1.87,1.5,2.48,2.02,1.54,1.96,1.87,1.59,2.03,1.64,2.53,2.03,2.36,2.28,2.78,3.36,3.17,3.18,2.49,2.04,2.99,2.35,2.38,2.48,2.46,2.44,1.98,2.46,3.05,3.29,2.63,2.72,2.67,2.6,2.53,2.67,3.15,2.994,2.838,2.682,2.526,2.37,2.3,,
Ecuador,,,,,,,,,,,,,,,,,,,10.56,11.54,12.9,11.5,11.14,12.46,11.8,14.15,13.705,13.26,13.61,14.98,15.76,15.11,16.76,14.93,16.12,15.64,16.88,15.89,17.34,15.16,15.04,14.15,16.17,13.97,13.6,14.8,14.85,13.79,13.16,12.76,11.51,11.81,12.2,11.19,10.76,10.57,11.02,10.44,10.19,9.83,8.83,9.1,9,
Egypt,,,,,,0.96,1.07,1.08,0.96,0.74,0.54,0.73,0.53,0.5437,0.5574,0.5711,0.5847,0.5984,0.6121,0.6258,0.6395,0.6532,0.6668,0.6805,0.6942,0.7079,0.7216,0.7353,0.7489,0.7626,0.7763,0.79,0.8037,0.8174,0.8311,0.8447,0.8584,0.8721,0.8858,0.8995,0.9132,0.9268,0.9405,0.9542,0.9679,0.9816,0.9953,1.0089,1.0226,1.0363,1.05,1.2,1.17,1.42,1.48,1.56,1.47,1.48,1.66,1.87,1.77,1.8,,
