Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,1,1,2,3,4,4,5,7
Albania,,,,,,,,,,,,,,,,,30
Algeria,,,,,,,10,13,14,18,24,28,33,43,53,65,76
Angola,,,,,,,3,4,7,9,11,12,13,17,21,23,22
Argentina,26,30,34,39,42,44,47,49,51,53,55,56,58,60,61,63,64
Armenia,,,,,,1,2,2,3,5,8,10,14,19,24,29,36
Australia,42,44,43,43,44,48,52,52,52,54,59,59,65,72,76,79,90
Azerbaijan,,,,,,,,2,4,6,10,15,19,23,29,34,30
Bahamas,1,2,2,12,15,18,22,22,25,27,20,19,22,26,30,29,28
Bahrain,9,10,15,13,13,15,18,20,22,25,28,30,32,34,38,42,42
Bangladesh,,,,,,,1,1,3,4,5,7,8,10,12,13,16
Barbados,,,4,23,28,29,31,33,36,37,40,41,43,44,44,44,46
Belarus,,,,,2,4,14,16,19,23,29,30,34,36,36,42,45
Belize,1,2,4,9,7,11,12,13,15,20,22,24,25,27,28,29,32
Benin,,,,,,,,,21,28,33,42,44,39,44,51,57
Bolivia,,,1,1,1,2,3,4,5,7,8,7,12,14,17,22,25
Botswana,,1,2,6,12,19,25,30,37,44,50,54,61,65,70,77,83
Brazil,27,30,31,32,34,35,33,33,33,35,38,40,43,47,51,57,60
Bulgaria,9,10,9,12,12,12,10,9,9,11,12,14,16,19,21,24,26
"Burkina Faso",,,,1,3,7,11,14,20,26,31,37,39,43,48,55,60
Burundi,,,1,1,3,6,8,11,15,19,25,29,33,37,43,50,61
"Cape Verde",,,,,,6,9,14,18,19,24,28,34,38,46,50,57
Cambodia,,,,2,6,14,23,32,38,46,53,59,63,67,71,76,80
Cameroon,,,,,3,5,5,8,11,14,16,19,22,23,26,30,37
"Central African Republic",,,,,,1,2,4,9,10,11,11,13,13,19,22,24
Chad,,,,2,1,2,6,7,18,24,30,30,33,36,44,54,39
Chile,9,12,17,20,22,30,29,30,31,33,35,35,40,45,47,49,53
Colombia,,2,3,4,6,7,13,11,12,14,20,28,33,39,45,53,
Comoros,,,,,,3,6,9,11,10,13,16,20,22,24,32,35
"Congo (Kinshasa)",,,,,1,2,3,4,5,7,10,12,16,20,26,32,42
"Congo (Brazzaville)",,,,1,1,4,5,7,13,17,20,22,22,24,23,29,23
"Costa Rica",12,18,21,24,26,28,29,32,34,36,45,46,46,45,45,45,49
"Ivory Coast",,,1,1,2,6,9,12,18,16,16,19,22,22,29,34,41
Croatia,22,26,28,30,31,34,37,38,44,45,48,50,53,56,59,65,70
Cuba,2,11,22,29,32,34,39,42,47,51,54,58,59,60,65,69,70
"Czech Republic",36,35,34,32,31,33,51,45,40,34,41,46,43,43,44,46,52
Djibouti,,,,1,1,2,4,6,8,9,10,11,14,15,18,22,26
"Dominican Republic",,,,,1,3,5,10,14,17,22,27,31,34,39,46,46
Ecuador,2,2,2,2,4,6,8,12,17,22,28,34,34,36,42,50,52
Egypt,,,,,,,5,5,6,7,9,11,13,14,19,21,27
"El Salvador",,,1,3,7,12,17,22,26,32,37,38,39,43,44,45,48
"Equatorial Guinea",,,,,1,3,4,7,9,14,9,14,20,36,35,32,43
