"Data Item",1470,1471,1472,1473,1474,1475,1476,1477,1478,1479,1480,1481,1482,1483,1484,1485,1486,1487,1488,1489,1490,1491,1492,1493,1494,1495,1496,1497,1498,1499,1500,1501,1502,1503,1504,1505,1506,1507,1508,1509,1510,1511,1512,1513,1514,1515,1516,1517,1518,1519,1520,1521,1522,1523,1524,1525,1526,1527,1528,1529,1530,1531,1532,1533,1534,1535,1536,1537,1538,1539,1540,1541,1542,1543,1544,1545,1546,1547,1548,1549,1550,1551,1552,1553,1554,1555,1556,1557,1558,1559,1560,1561,1562,1563,1564,1565,1566,1567,1568,1569,1570,1571,1572,1573,1574,1575,1576,1577,1578,1579,1580,1581,1582,1583,1584,1585,1586,1587,1588,1589,1590,1591,1592,1593,1594,1595,1596,1597,1598,1599,1600,1601,1602,1603,1604,1605,1606,1607,1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620,1621,1622,1623,1624,1625,1626,1627,1628,1629,1630,1631,1632,1633,1634,1635,1636,1637,1638,1639,1640,1641,1642,1643,1644,1645,1646,1647,1648,1649,1650,1651,1652,1653,1654,1655,1656,1657,1658,1659,1660,1661,1662,1663,1664,1665,1666,1667,1668,1669,1670,1671,1672,1673,1674,1675,1676,1677,1678,1679,1680,1681,1682,1683,1684,1685,1686,1687,1688,1689,1690,1691,1692,1693,1694,1695,1696,1697,1698,1699,1700,1701,1702,1703,1704,1705,1706,1707,1708,1709,1710,1711,1712,1713,1714,1715,1716,1717,1718,1719,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739,1740,1741,1742,1743,1744,1745,1746,1747,1748,1749,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790
"Number of books in English published",,,,,,,,,,,28.02102,29.4221,30.8231,32.2242,33.6252,35.0263,36.4273,37.8284,39.2294,40.6305,42.03152,42.03152,42.03152,42.03152,42.03152,42.03152,42.03152,42.03152,42.03152,42.03152,42.03152,42.03152,42.03152,42.03152,42.03152,42.03152,42.03152,42.03152,42.03152,42.03152,42.03152,44.8336,47.6357,50.4378,53.2399,56.042,58.8441,61.6462,64.4483,67.2504,70.05254,72.8546,75.6567,78.4588,81.2609,84.063,86.8651,89.6672,92.4693,95.2714,98.07355,100.8757,103.6778,106.4799,109.282,112.0841,114.8862,117.6883,120.4904,123.2925,126.0946,127.4957,128.8967,130.2978,131.6988,133.0999,134.5009,135.902,137.303,138.7041,140.1051,141.5062,142.9072,144.3083,145.7093,147.1104,148.5114,149.9125,151.3135,152.7146,154.1156,158.3188,162.5219,166.7251,170.9282,175.1314,179.3345,183.5377,187.7408,191.944,196.1471,205.9545,215.7618,225.5692,235.3765,245.1839,254.9913,264.7986,274.606,284.4133,294.2207,297.0228,299.8249,302.627,305.4291,308.2312,311.0333,313.8354,316.6375,319.4396,322.2417,332.0491,341.8564,351.6638,361.4711,371.2785,381.0858,390.8932,400.7005,410.5079,420.3152,427.3205,434.3257,441.331,448.3362,455.3415,462.3468,469.352,476.3573,483.3625,490.3678,497.3731,504.3783,511.3836,518.3888,525.3941,532.3993,539.4046,546.4098,553.4151,560.4203,568.8266,577.2329,585.6392,594.0455,602.4518,610.8581,619.2644,627.6707,636.077,644.4833,787.3905,930.2976,1073.2048,1216.112,1359.0192,1501.9263,1644.8335,1787.7407,1930.6478,2073.555,2003.5025,1933.45,1863.3975,1793.345,1723.2925,1653.24,1583.1875,1513.135,1443.0825,1373.03,1349.2121,1325.3942,1301.5763,1277.7584,1253.9405,1230.1226,1206.3047,1182.4868,1158.6689,1134.851,1151.6636,1168.4762,1185.2888,1202.1014,1218.914,1235.7266,1252.5392,1269.3518,1286.1644,1302.977,1370.2275,1437.478,1504.7285,1571.979,1639.2295,1706.48,1773.7305,1840.981,1908.2315,1975.482,1964.2735,1953.065,1941.8565,1930.648,1919.4395,1908.231,1897.0225,1885.814,1874.6055,1863.397,1890.017,1916.637,1943.257,1969.877,1996.497,2023.117,2049.737,2076.357,2102.977,2129.597,2149.2117,2168.8264,2188.4411,2208.0558,2227.6705,2247.2852,2266.8999,2286.5146,2306.1293,2325.744,2299.1241,2272.5042,2245.8843,2219.2644,2192.6445,2166.0246,2139.4047,2112.7848,2086.1649,2059.545,2060.946,2062.347,2063.748,2065.149,2066.55,2067.951,2069.352,2070.753,2072.154,2073.555,2090.3676,2107.1802,2123.9928,2140.8054,2157.618,2174.4306,2191.2432,2208.0558,2224.8684,2241.681,2265.4989,2289.3168,2313.1347,2336.9526,2360.7705,2384.5884,2408.4063,2432.2242,2456.0421,2479.86,2530.2978,2580.7356,2631.1734,2681.6112,2732.049,2782.4868,2832.9246,2883.3624,2933.8002,2984.238,3043.0821,3101.9262,3160.7703,3219.6144,3278.4585,3337.3026,3396.1467,3454.9908,3513.8349,3572.679,3644.1326,3715.5862,3787.0398,3858.4934,3929.947,4001.4006,4072.8542,4144.3078,4215.7614,4287.215,4549.2115,4811.208,5073.2045,5335.201,5597.1975,5859.194,6121.1905,6383.187,6645.1835,6907.18
