Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,1939,1464,1563,1940,555,3179,1053,1272,661,286,368,21,30,39,48,57,66,75,84,297,84,469,854,79,26,179,53,104,93.7,83.4,73.1,62.8,52.5,42.2,31.9,21.6,11.3,1,3,
Albania,3,6,2,1,3,3,4,4,3,5,17,23,48,18,14,4,4,3.3333,2.6667,2,4,,,,,,,,,,,,,,,,,,,
Algeria,116,114,71,132,108,66,30,35,5,4,30,9,16,264,951,529,107,30,57,17,10,3,5,7,8,7,3,2.6,2.2,1.8,1.4,1,,,,,,,,
Angola,,28,32,11,4,9,3,30,38,105,64,40,31.5,23,22.3,21.6,20.9,20.2,19.5,18.8,18.1,17.4,16.7,16,13,10,7,4,69,55.5,42,28.5,15,20,,,,,,
Argentina,86,79,36,22,13,10,14,10,8,20,31,2,4,3,3,3,2.6667,2.3333,2,1.8,1.6,1.4,1.2,1,,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,7,5,3,1,36,29,11,12,5,3,4.5,6,1,1,1,1,1,1,1,1,,,,,,,,,,
Australia,1,18,2,1,9,17,44,32,61,1,7,8,14,39,34.25,29.5,24.75,20,15.25,10.5,5.75,1,1.3,1.6,1.9,2.2,2.5,2.8,3.1,3.4,3.7,4,2.5,1,2,2,8,8,11,7
Austria,,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0476,1.0952,1.1429,1.1905,1.2381,1.2857,1.3333,1.381,1.4286,1.4762,1.5238,1.5714,1.619,1.6667,1.7143,1.7619,1.8095,1.8571,1.9048,1.9524,2,2,2,,,
Azerbaijan,,,,,,,,,,,4,66,72,170,841,883,146,38,20,19,7,6.5714,6.1429,5.7143,5.2857,4.8571,4.4286,4,3,,,,,,,,,,,
Bahrain,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,1559,1342,1860,3520,1209,204,1124,24,613,1229,711,801,855,497,295,282,164,96,123,58,21,122,73,78,117,125,34,86,43,23,27,11,16,2,13,6,2,5,36,14
Barbados,,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,22,26,66,120,230,322,179,96,36,38,52,25,7,6,15,11,6,5,3,3,1,,,,,,,,,
Belgium,1,1.6667,2.3333,3,3.5,4,4.5,5,4.75,4.5,4.25,4,3.75,3.5,3.25,3,2.7143,2.4286,2.1429,1.8571,1.5714,1.2857,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,6,3,2,
Belize,,,4,3.4,2.8,2.2,1.6,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,127,1,3,2,2,16,6,47,14,59,44.5,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
